Experiment,Link,Author,New_Link
GABP1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
FOXN1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
FOXN2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
FOXP1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
GRHL1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
GRHL2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
GRHL3_B,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
JUN,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
JUNB,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
JUND,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
KLF4_B,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
LRRFLP1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
PBX1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
OVOL1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
OVOL2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
NR3C1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
RUNX1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
RORA,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
RELB,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
RBL1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
RARG,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
PRDM1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
PBX2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
STAT3,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
STAT1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
SP3,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
SP1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
SOX6,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
SOX11,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
SMAD4,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
RUNX2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
XBP1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
TP63,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
TCF7L2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
TCF4,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
STAT6,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
