"Gene","NR3C1"
"APOBEC3C",0.8194583
"APOBEC3F",0.737335773
"APOBEC3G",0.785689997
"APOC1",0.650924034
"APOC3",-0.416559148
"APOC4",-0.105457648
"APOE",-1.706348748
"APOL6",0.253978531
"APP",-1.886541226
"APPBP2",-0.229924815
"AQP12A",-0.199799185
"AQP2",-0.834715928
"AQP3",-0.018087062
"AQP6",0.007712573
"AQP9",-0.740997729
"AR",0.135235396
"AREG",0.017312199
"ARF4",0.049350287
"ARF6",-1.753829956
"ARFGEF1",-0.494725116
"ARFGEF2",-0.249392012
"ARHGAP11A",-0.201293762
"ARHGAP12",1.444302557
"ARHGAP18",0.758205068
"ARHGAP21",0.073332389
"ARHGAP22",0.744424391
"ARHGAP24",-0.011576744
"ARHGAP25",-4.455566653
"ARHGAP5",-0.28732363
"ARHGAP9",-0.095730862
"ARHGDIG",-0.352814484
"ARHGEF1",0.065477188
"ARHGEF10",-0.236264203
"ARHGEF11",-0.213057284
"ARHGEF12",-0.09677705
"ARHGEF16",0.161541914
"ARHGEF18",-0.100041833
"ARHGEF19",0.291658797
"ARHGEF2",-0.390073153
"ARHGEF4",-0.07548793
"ARHGEF5",-3.11728084
"ARID1A",-0.405073905
"ARID1B",-0.055837764
"ARID2",0.122117259
"ARID3A",-0.345360213
"ARID3B",0.102350251
"ARID4A",-0.236844757
"ARID4B",-0.608910879
"ARID5A",0.328643906
"ARID5B",-0.38938888
"ARIH1",0.019020031
"ARL13B",-0.088212548
"ARL15",-0.18949708
"ARL2",-0.276835037
"ARL4A",-0.445311729
"ARL4C",-2.846045095
"ARL6IP4",0.096095546
"ARL6IP5",0.035320218
"ARL8A",-0.54431639
"ARL8B",-0.050306445
"ARMC6",-0.343811332
"ARMC8",-0.17813765
"ARMC9",-0.131670947
"ARMCX1",0.603312902
"ARMCX2",-1.450868888
"ARMET",-0.06053183
"ARNT",-0.312719644
"ARNT2",0.181332629
"ARNTL",-0.453274898
"ARNTL2",-0.63620435
"ARPM1",-0.124542149
"ARRB1",-0.175053541
"ARRB2",-7.086658194
"ARRDC1",-0.302935293
"ARRDC3",0.331315142
"ARRDC4",1.103451023
"ARSD",-0.542730633
"ARSI",0.367675865
"ART1",-0.174907999
"ARTS-1",0.328114389
"ARV1",-0.32724022
"ARX",0.008103981
