"Gene","RUNX1"
"A2ML1",4.362660683
"AACS",0.76340451
"AADACL1",-0.069270202
"AADAT",-0.101458368
"AARS",-2.765198432
"AASDH",-0.223420523
"AASS",0.624025241
"AATF",0.867777861
"AATK",0.598141014
"ABAT",-4.295001198
"ABCA1",-0.115225761
"ABCA12",-4.062133268
"ABCA2",-0.027679051
"ABCA5",-0.60639722
"ABCC4",0.281662549
"ABCG1",0.391578272
"ABCG4",-0.022834821
"ABHD1",0.020409962
"ABHD10",0.055785044
"ABHD11",0.585086679
"ABHD3",-0.232297401
"ABHD6",3.261478438
"ABHD7",-0.516225565
"ABHD9",0.21148522
"ABI1",-1.382043093
"ABI2",0.55067904
"ABI3",0.480507344
"ABL1",0.024747738
"ABL2",-0.23659963
"ABLIM1",0.415636288
"ABLIM2",-0.949176349
"ABLIM3",-1.110498073
"ABO",-0.638989573
"ABR",-0.000392805
"ABRA",0.044559823
"ABT1",-0.328954516
"ACAA1",1.361371464
"ACAA2",-2.278386914
"ACAD8",0.042335839
"ACBD3",0.174071897
"ACBD5",-0.136452344
"ACBD6",-0.004585578
"ACBD7",3.621853678
"ACE",-0.275249201
"ACE2",-0.22515382
"ACN9",0.147937213
"ACO1",-0.127372422
"ACOT8",-0.306272954
"ACOT9",0.008898415
"ACOX1",-3.58696223
"ACP1",0.301549714
"ACP2",0.145306767
"ACPP",-0.002678753
"ACRV1",0.020463513
"ACSL1",0.278673805
"ACSL3",0.870332779
"ACSL6",0.04785031
"ACSS2",0.445857065
"ACTA1",-0.291865998
"ACTA2",3.480415174
"ACTG2",-0.113373824
"ACTL6A",0.04521999
"ACTL6B",0.129808486
"ACTL7B",-0.064003036
"ACTR3",0.37236547
"ACTR3B",0.21137747
"ACTR5",0.294031044
"ACTR8",-0.191903881
"ACVR1",-0.405158736
"ACVR1B",-2.961147463
"ACVR2B",0.872672478
"ACVRL1",-0.291589594
"ADA",-0.872559759
"ADAM33",0.046564881
"ADAM9",5.975099293
"ADAMDEC1",-0.245677527
"ADAMTS1",-0.748464291
"ADAMTS3",0.008043107
"ADAMTS6",-0.091936679
"ADAMTS9",-0.071090243
"ADAMTSL1",0.26028879
"ADAMTSL3",0.056323749
"ADAMTSL4",-0.322464074
"ADARB1",0.776634399
"ADC",-0.013456608
"ADCK1",0.127506126
"ADCK2",3.641045207
"ADCY2",-0.274594775
"ADCY3",-0.751099267
"ADD1",-0.064435839
"ADD3",0.988461162
"ADM",1.122143468
"ADNP",1.87235024
"ADORA2A",-1.0333338
"ADPRH",-0.065333045
"ADRB1",0.756687445
"ADRB2",0.029078242
"ADRBK1",0.306916091
"ADRM1",-0.672384412
"ADSSL1",1.730591054
"AEBP1",1.58992166
"AEBP2",-0.200321177
"AES",-0.925163777
"AFAR3",-0.383952939
"AFF1",0.193203983
"AFF3",0.022586872
"AFF4",-0.380971213
"AGER",-0.762816468
"AGGF1",0.318299727
"AGPAT3",0.160135868
"AGPAT6",1.550703404
"AGR2",-2.244667174
"AGRIN",3.359631564
"AGRP",0.155236186
"AGT",0.050699842
"AGTR1",-0.017200323
"AGXT2L2",-0.030627953
"AHCTF1",0.343111491
"AHCY",-0.027598861
"AHCYL1",-0.000869275
"AHDC1",-0.684570182
"AHR",-3.194824053
"AHRR",0.080138195
"AIFM3",-0.06789963
"AIG1",0.292115531
"AIM1",0.313348354
"AIM1L",2.080274351
"AIP",0.796770254
"AIRE",0.497625968
"AJAP1",-0.274705626
"AK2",3.058813143
"AK3",-0.256483436
"AK5",0.153416859
"AKAP12",0.311699173
"AKAP13",-0.124213407
"AKAP7",0.345141227
"AKAP8L",-0.423625553
"AKAP9",2.444622371
"AKNA",0.269853313
"AKR1A1",-0.176710419
"AKR1C1",-0.141984521
"AKR1C3",-0.887099697
"AKT3",0.027761762
"ALDH1A3",1.456934467
"ALDH1B1",0.167419783
"ALDH1L2",-0.25403718
"ALDH3A1",0.566299274
"ALDH3A2",-0.252105534
"ALDH3B2",-0.439124644
"ALDH4A1",-0.903331548
"ALDH6A1",0.594773822
"ALDH7A1",-0.508125977
"ALDH9A1",-2.226085516
"ALG13",-2.050345308
"ALG2",-1.097936123
"ALG9",0.637422192
"ALK",0.037703873
"ALKBH4",0.842304414
"ALMS1",0.938428512
"ALOX15B",0.033572276
"ALOX5AP",0.885113782
"ALOXE3",0.163963101
"ALPI",-0.057425802
"ALS2CR13",0.104781653
"ALS2CR8",0.284421693
"ALX3",-0.081249057
"AMAC1L2",0.016662357
"AMACR",-0.506752249
"AMH",0.369525289
"AMIGO2",1.02061075
"AMOT",-1.07323294
"AMOTL2",0.445621365
"AMPD3",0.339251879
"AMT",-0.005570264
"AMZ1",-0.515307263
"ANAPC1",-0.104679497
"ANAPC11",-0.214477068
"ANAPC13",-1.429691711
"ANAPC5",-0.118033852
"ANAPC7",-0.161254932
"ANG",1.111174141
"ANGPTL4",0.730001752
"ANK3",-0.662450675
"ANKDD1A",-0.185515505
"ANKH",-0.186538767
"ANKHD1",-0.822865839
"ANKMY2",0.202543024
"ANKRD1",0.04216756
"ANKRD10",0.542732022
"ANKRD12",0.363467465
"ANKRD13A",-0.125090131
"ANKRD15",0.267780816
"ANKRD17",-0.339240452
"ANKRD22",0.736719584
"ANKRD28",-0.028199822
"ANKRD30A",0.037873057
"ANKRD40",0.067693795
"ANKRD43",0.262111555
"ANKRD47",0.783490079
"ANKRD49",-0.831114119
"ANKRD57",0.285026668
"ANLN",-0.654641222
"ANP32A",1.408496247
"ANTXR2",0.395381563
"ANXA1",0.075952572
"ANXA11",-0.140849724
"ANXA2P1",0.226401379
"ANXA3",0.351658345
"ANXA4",0.721460327
"ANXA5",-0.054233247
"ANXA8",-0.020809524
"ANXA9",-1.504594467
"AOF1",-0.164297655
"AOF2",-0.871536281
"AP1GBP1",-0.139060341
"AP1M1",-1.533119511
"AP2S1",-0.206683889
"AP3D1",-0.363608847
"AP3M2",-0.113177956
"AP4B1",1.098880629
"AP4M1",0.134053263
"AP4S1",0.021389012
"APBA2",-0.174465092
"APBB1",0.111234472
"APBB2",0.510825044
"APCDD1",-2.285129171
"APEH",-0.526241219
"APLN",1.213666735
"APLP2",1.86839759
"APOA1BP",0.039916937
"APOA4",-0.035084444
"APOBEC3A",-0.424976787
"APOBEC3B",-0.429766165
"APOBEC3C",1.27437952
"APOBEC3F",0.870171635
"APOBEC3G",1.429898257
"APOC1",0.238180304
"APOC3",-0.31152463
"APOC4",0.123824614
"APOE",-0.147003932
"APOL6",0.264742081
"APP",1.926900307
"APPBP2",-0.141426003
"AQP12A",-0.00374853
"AQP2",-0.512001548
"AQP3",0.398416217
"AQP6",0.261913355
"AQP9",-1.704939976
"AR",0.046549354
"AREG",0.031507054
"ARF4",0.176651461
"ARF6",0.445518751
"ARFGEF1",2.076581866
"ARFGEF2",0.045742142
"ARHGAP11A",-0.413500232
"ARHGAP12",0.119245879
"ARHGAP18",0.054272182
"ARHGAP21",-0.264841696
"ARHGAP22",1.639196806
"ARHGAP24",0.050854499
"ARHGAP25",0.292441802
"ARHGAP5",-0.367780999
"ARHGAP9",0.032094597
"ARHGDIG",0.232625135
"ARHGEF1",0.228188826
"ARHGEF10",-0.23049374
"ARHGEF11",0.101940787
"ARHGEF12",-0.133839225
"ARHGEF16",-1.385043844
"ARHGEF18",-0.424830049
"ARHGEF19",1.249363206
"ARHGEF2",-0.49044271
"ARHGEF4",-0.127196199
"ARHGEF5",-3.470720592
"ARID1A",-0.510403039
"ARID1B",-0.036170499
"ARID2",-0.020826075
"ARID3A",-0.069915344
"ARID3B",0.357122326
"ARID4A",-0.133872042
"ARID4B",-0.308054669
"ARID5A",0.968404107
"ARID5B",-0.153106886
"ARIH1",-0.232987101
"ARL13B",0.088767769
"ARL15",-0.154152981
"ARL2",-1.118703607
"ARL4A",-0.869027432
"ARL4C",-2.828971823
"ARL6IP4",-0.032909553
"ARL6IP5",2.615224398
"ARL8A",0.447438765
"ARL8B",0.36044711
"ARMC6",-1.160993805
"ARMC8",-0.136640235
"ARMC9",-1.915907721
"ARMCX1",1.505452537
"ARMCX2",1.218519728
"ARMET",-0.343479908
"ARNT",-0.297792022
"ARNT2",1.027646132
"ARNTL",0.282307602
"ARNTL2",0.200177849
"ARPM1",0.108347349
"ARRB1",-0.503370245
"ARRB2",-4.675467204
"ARRDC1",0.067050935
"ARRDC3",-0.264943152
"ARRDC4",1.239472832
"ARSD",0.011232855
"ARSI",0.50375552
"ART1",0.030187596
"ARTS-1",0.222212722
"ARV1",-0.092201974
"ARX",0.463437559
"AS3MT",-0.233535594
"ASAHL",-1.160897504
"ASAM",0.2093196
"ASB1",-2.177110085
"ASB13",0.116918817
"ASB16",-0.442916267
"ASB3",0.475378761
"ASB8",-0.142706604
"ASCC1",3.327846131
"ASCC2",-0.282049213
"ASCC3",0.603041669
"ASCL1",0.005315803
"ASCL2",0.352015391
"ASCL3",-0.108628606
"ASCL5",-1.792785926
"ASF1A",2.848680699
"ASF1B",-0.700502372
"ASGR2",0.385524704
"ASH1L",-0.064978496
"ASH2L",-0.54475461
"ASL",-0.5306625
"ASNA1",-0.753352825
"ASNS",0.273579118
"ASPHD2",0.144943482
"ASS1",-0.376557965
"ASXL1",0.667723978
"ASXL2",-1.03545121
"ATAD2",-0.146586088
"ATAD2B",-0.190881984
"ATAD3A",-0.323152043
"ATAD3B",-0.094847907
"ATAD3C",-1.283298212
"ATBF1",4.530372406
"ATF2",2.431810505
"ATF3",0.471084034
"ATF7",0.04973352
"ATF7IP",-0.593271416
"ATF7IP2",-0.089072029
"ATG16L1",0.75227927
"ATG5",-0.149703762
"ATG7",1.215264272
"ATHL1",-0.63280597
"ATM",0.315075379
"ATN1",-1.339031331
"ATOH1",-0.058760652
"ATOH7",0.365737179
"ATOH8",0.192075924
"ATOX1",0.334971095
"ATP10B",-0.782245163
"ATP10D",0.159620506
"ATP11A",0.173326049
"ATP11C",0.009178111
"ATP1A3",-0.625637852
"ATP1B1",-2.293982836
"ATP1B4",0.080006963
"ATP2A2",3.336474798
"ATP2B4",-0.177579917
"ATP2C1",1.947660367
"ATP4A",0.019303246
"ATP5A1",0.016321645
"ATP5G2",-0.125201426
"ATP5H",-0.24182596
"ATP5I",-0.274482253
"ATP5J2",-0.020503239
"ATP5L",-2.740891178
"ATP6AP1",0.098455214
"ATP6V0C",0.018913266
"ATP6V0E1",0.426676563
"ATP6V0E2",-0.410112242
"ATP6V1A",0.311301751
"ATP6V1B2",0.697404094
"ATP6V1C2",-0.809960037
"ATP6V1G1",0.566186435
"ATP6V1H",-1.404402737
"ATP7B",-1.281963696
"ATP8B1",-0.002224086
"ATPIF1",-0.079465656
"ATRNL1",0.043381344
"ATRX",0.110163033
"ATXN1",-0.43621981
"ATXN3",2.193864491
"ATXN3L",-0.02091916
"ATXN7",0.229720884
"ATXN7L1",0.173831868
"ATXN7L3",0.306043056
"ATXN7L4",0.046806984
"AURKA",0.10958114
"AVIL",-0.146285677
"AVPR1A",0.082799814
"AXUD1",0.584801222
"AZGP1",-0.354460292
"AZIN1",2.932887442
"B3GALNT1",0.191550755
"B3GALT4",-0.140661929
"B3GAT2",-0.077019118
"B3GAT3",1.078421428
"B3GNT2",-1.084097286
"B3GNT5",-0.002954211
"B3GNT6",-0.127123545
"B4GALNT2",-0.059712427
"B4GALT2",1.674251261
"B4GALT4",0.482667932
"B4GALT5",-0.582973702
"B4GALT6",0.176064796
"BACH1",-1.831733045
"BACH2",0.00686225
"BAG3",-0.352649255
"BAHD1",0.575239849
"BAMBI",-0.717124032
"BANK1",-0.437479523
"BAP1",1.493406885
"BAPX1",0.046669572
"BARD1",1.0277471
"BARHL1",0.283360193
"BARHL2",-0.025079056
"BARX1",-0.009488257
"BARX2",0.312434576
"BASP1",0.065682957
"BAT1",-0.729902102
"BATF",0.013558732
"BATF2",0.558922934
"BAZ1A",-0.973312269
"BAZ1B",1.640571055
"BAZ2A",-0.1756728
"BAZ2B",0.046246343
"BBOX1",-1.69706208
"BBS10",-0.269275137
"BBS2",-1.218086811
"BBX",0.153346875
"BCAR1",-1.261147741
"BCAR3",-0.018698396
"BCAS2",-0.014938684
"BCAS3",-0.059417039
"BCAT1",0.480630393
"BCDIN3",1.164278753
"BCKDHB",-0.276006271
"BCL10",-0.175269972
"BCL11A",-0.246977529
"BCL11B",4.460922262
"BCL2",0.180408606
"BCL2L11",0.197769146
"BCL3",-0.782567002
"BCL6",-0.834174791
"BCL6B",0.199932162
"BCL7A",-0.3218878
"BCL9",0.095498538
"BCL9L",-0.341447037
"BCLAF1",0.162050704
"BCOR",-0.032713856
"BCORL1",-0.02933495
"BCR",-1.938794874
"BDH1",-0.028126355
"BDKRB1",-1.488223396
"BDKRB2",-1.793950561
"BDP1",0.224249367
"BEST4",0.173357293
"BFSP1",-3.210503424
"BHLHB2",-2.17658986
"BHLHB3",-0.46683034
"BHLHB4",-1.258567958
"BHLHB5",0.051903896
"BHLHB8",-0.206972443
"BICC1",-0.012625982
"BID",0.131207034
"BIN1",1.207727747
"BIRC2",-0.249617584
"BIRC3",0.70225904
"BIRC5",-0.250608536
"BLM",0.745355115
"BLMH",3.896640031
"BLNK",-0.767086885
"BLOC1S2",-0.026263496
"BLZF1",-1.169952199
"BMI1",0.515453615
"BMP10",0.219644998
"BMP15",0.032745069
"BMP2",-0.023462009
"BMP2K",-0.441086585
"BMP3",0.101523678
"BMP4",-0.308787289
"BMP5",0.005007249
"BMP6",-0.676830699
"BMP7",-0.413009636
"BMPER",0.361777373
"BMPR1A",-0.481942188
"BNC1",0.42305675
"BNC2",-0.12012933
"BNIPL",-1.335122511
"BPHL",0.076411395
"BPIL1",0.241747112
"BPTF",-0.122094695
"BRAF",-0.309060316
"BRCA1",2.222320947
"BRCA2",0.345373003
"BRD3",0.396690641
"BRD7",-0.143224708
"BRD8",-0.73390778
"BRDT",0.113137026
"BRF1",0.641068517
"BRF2",-0.344646951
"BRI3",-0.127787906
"BRI3BP",0.236926789
"BRIP1",0.055816292
"BRMS1L",-0.334034333
