"Gene","RORA"
"APOBEC3C",0.991846603
"APOBEC3F",0.711865739
"APOBEC3G",-0.090613279
"APOC1",1.459770379
"APOC3",-0.378795861
"APOC4",-0.240943376
"APOE",-0.343225741
"APOL6",0.137541268
"APP",2.202302387
"APPBP2",-0.291345565
"AQP12A",0.130449593
"AQP2",-0.315983335
"AQP3",0.127584815
"AQP6",0.47625105
"AQP9",0.169009497
"AR",-0.005768597
"AREG",0.117786434
"ARF4",0.224157099
"ARF6",-2.730713204
"ARFGEF1",0.424409399
"ARFGEF2",0.087944616
"ARHGAP11A",-0.344498535
"ARHGAP12",-0.307169499
"ARHGAP18",-0.218539945
"ARHGAP21",-0.395243374
"ARHGAP22",0.275790641
"ARHGAP24",-0.006295813
"ARHGAP25",0.260408366
"ARHGAP5",-0.233263615
"ARHGAP9",-0.083643564
"ARHGDIG",0.127332225
"ARHGEF1",-0.10315898
"ARHGEF10",-0.649903674
"ARHGEF11",-0.057069175
"ARHGEF12",-0.142205912
"ARHGEF16",2.220219789
"ARHGEF18",-0.373017756
"ARHGEF19",1.861064397
"ARHGEF2",-0.732110572
"ARHGEF4",-0.294745393
"ARHGEF5",-3.443485227
"ARID1A",-0.167625438
"ARID1B",0.329926759
"ARID2",-0.170691736
"ARID3A",0.216041106
"ARID3B",0.447014284
"ARID4A",-0.215934084
"ARID4B",-0.405066613
"ARID5A",-0.127039937
"ARID5B",-0.184616935
"ARIH1",-0.096536838
"ARL13B",-0.300316576
"ARL15",-0.262066561
"ARL2",-0.396487529
"ARL4A",-0.365315684
"ARL4C",-0.469139248
"ARL6IP4",0.053936673
"ARL6IP5",0.486216361
"ARL8A",0.139157462
"ARL8B",0.207601546
"ARMC6",-0.921400604
"ARMC8",-0.164001355
"ARMC9",2.48761606
"ARMCX1",-3.98615304
"ARMCX2",-2.258103583
"ARMET",-0.233754428
"ARNT",-0.318703703
"ARNT2",-0.086650897
"ARNTL",-0.286519285
"ARNTL2",-1.223257524
"ARPM1",-0.029690317
"ARRB1",0.116719211
"ARRB2",-6.932887732
"ARRDC1",-0.040433954
"ARRDC3",-0.022195926
"ARRDC4",0.66117746
"ARSD",-0.643910859
"ARSI",0.234787603
"ART1",0.524107471
"ARTS-1",-0.022213003
"ARV1",-0.039564811
"ARX",0.462048286
"AS3MT",-0.261918295
"ASAHL",-0.418024937
"ASAM",-0.105725438
"ASB1",0.683929199
"ASB13",0.16571731
"ASB16",-0.954562094
"ASB3",-0.627606101
"ASB8",0.059133994
"ASCC1",-1.626681191
"ASCC2",-0.263788643
"ASCC3",0.807544797
"ASCL1",-0.478017444
"ASCL2",0.266509996
"ASCL3",-0.23669277
"ASCL5",2.757603642
"ASF1A",0.510740435
"ASF1B",0.655283667
"ASGR2",0.362265114
"ASH1L",0.229333744
"ASH2L",1.248728766
"ASL",-0.652200617
"ASNA1",-0.834908083
"ASNS",-0.392796663
"ASPHD2",-0.019234005
"ASS1",0.073226719
"ASXL1",-0.459582217
"ASXL2",-0.59493639
"ATAD2",-0.622144504
"ATAD2B",-0.323434026
"ATAD3A",-0.219808401
"ATAD3B",0.558741077
"ATAD3C",-1.02009335
"ATBF1",-0.389221668
"ATF2",-0.452392776
"ATF3",0.700158622
"ATF7",-0.005960909
"ATF7IP",0.014555021
"ATF7IP2",-0.136254205
"ATG16L1",-4.842907533
"ATG5",-0.512738769
"ATG7",0.082607333
"ATHL1",-0.98633053
"ATM",0.30720746
"ATN1",-1.147956727
"ATOH1",0.226328422
"ATOH7",0.258020763
"ATOH8",0.096715556
"ATOX1",0.202883169
"ATP10B",0.087308823
"ATP10D",0.25877384
"ATP11A",-0.10200707
"ATP11C",-0.05614075
"ATP1A3",-0.383303791
"ATP1B1",0.308113974
"ATP1B4",-0.237516728
"ATP2A2",-0.187784108
"ATP2B4",-0.084737151
"ATP2C1",1.04692495
"ATP4A",0.027647131
"ATP5A1",-0.036876803
"ATP5G2",-0.155380203
"ATP5H",-0.183727161
"ATP5I",-0.363068932
"ATP5J2",-0.170272783
"ATP5L",-2.246967698
"ATP6AP1",-0.178144892
"ATP6V0C",-0.143696899
"ATP6V0E1",-0.291733774
"ATP6V0E2",0.198780809
"ATP6V1A",-0.106931295
"ATP6V1B2",1.120565112
"ATP6V1C2",0.286527463
"ATP6V1G1",0.61088267
"ATP6V1H",-1.070493982
"ATP7B",-0.855758467
"ATP8B1",-0.003534877
"ATPIF1",-0.106174511
"ATRNL1",-0.012699906
"ATRX",-0.079904785
"ATXN1",-0.715440327
"ATXN3",-2.364068976
"ATXN3L",-0.073678181
"ATXN7",0.30561119
"ATXN7L1",-0.023000352
"ATXN7L3",-0.032656461
"ATXN7L4",0.038827428
"AURKA",0.284779407
"AVIL",0.019283606
"AVPR1A",-0.024615668
"AXUD1",0.233412548
"AZGP1",-0.512378395
"AZIN1",-1.572337072
"B3GALNT1",-0.128472097
"B3GALT4",-0.26702449
"B3GAT2",-0.232039446
"B3GAT3",0.037894066
"B3GNT2",-0.652365118
"B3GNT5",-0.056241414
"B3GNT6",-0.263215425
"B4GALNT2",-0.004045491
"B4GALT2",0.055945791
"B4GALT4",-0.636470719
"B4GALT5",-0.685716626
"B4GALT6",-0.301325961
"BACH1",1.041520127
"BACH2",-0.326216214
"BAG3",-0.033538736
"BAHD1",1.038080009
"BAMBI",-0.739371418
