"Gene","CBX4_Over"
"ADAM32",1.5395
"ADAM33",0
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",2.8754
"ADAM9",1.6987
"ADAM9",1.6987
"ADAMDEC1",0
"ADAMTS1",1.5079
"ADAMTS1",1.5079
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0
"ADAMTS14",0
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",2.1323
"ADAMTS3",0
"ADAMTS3",0
"ADAMTS4",-2.2228
"ADAMTS5",0
"ADAMTS6",-1.7433
"ADAMTS6",-1.7433
"ADAMTS7",0
"ADAMTS8",0
"ADAMTS9",0
"ADAMTS9",0
"ADAMTSL1",0
"ADAMTSL1",0
"ADAMTSL2",0
"ADAMTSL3",0
"ADAMTSL3",0
"ADAMTSL4",-2.7066
"ADAMTSL4",-2.7066
"ADAMTSL4",-2.7066
"ADAMTSL5",0
"ADAP1",0
"ADAP2",-1.5754
"ADAR",0
"ADAR3",0
"ADARB1",-1.6404
"ADARB1",-1.6404
"ADARB2",0
"ADAT1",0
"ADAT2",-2.4475
"ADAT3",0
"ADC",0
"ADC",0
"ADCK1",0
"ADCK2",0
"ADCK2",0
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",0
"ADCY3",-1.8469
"ADCY4",1.9171
"ADCY5",0
"ADCY6",0
"ADCY7",-1.7031
"ADCY8",0
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",0
"ADD1",0
"ADD2",0
"ADD3",0
"ADD3",0
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",0
"ADH6",0
"ADH7",0
"ADHFE1",2.8635
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",2.0393
"ADIPOR2",1.553
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",2.5113
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",-1.7715
"ADNP",-1.7715
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",0
"ADORA2A",0
"ADORA2B",-3.0694
"ADPGK",0
"ADPRH",0
"ADPRHL1",1.5639
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",2.008
"ADRA1D",0
"ADRA2B",0
"ADRA2C",1.8079
"ADRB1",0
"ADRB2",-1.8744
"ADRB3",0
"ADRBK1",0
"ADRM1",0
"ADRM1",0
"ADSL",-1.5728
"ADSS",0
"ADSSL1",0
"ADTRP",0
"AEBP1",3.1597
"AEBP1",3.1597
"AEBP2",0
"AEBP2",0
"AEGL1",0
"AEN",1.7371
"AES",0
"AES",0
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",-1.8126
"AF086205",2.0767
"AF086216",0
"AF086321",0
"AF086429",1.5353
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",1.6735
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",1.8508
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",1.8122
"AF15Q14",0
"AF227517",1.8212
"AF241539",1.6116
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",0
"AFDN",0
"AFF1",1.8726
"AFF1",1.8726
"AFF1",1.8726
"AFF2",0
"AFF3",0
"AFF4",1.6949
"AFF4",1.6949
"AFG3L2",0
"AFM",0
"AFMID",-1.5633
"AFP",0
"AFTPH",1.6944
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",-1.6321
"AGFG1",1.7799
"AGFG2",-1.5029
"AGGF1",0
"AGGF1",0
"AGK",0
"AGL",0
"AGMAT",-1.9227
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",0
"AGPAT3",0
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",-2.0553
"AGPAT6",1.5026
"AGPAT6",1.5026
"AGPAT9",1.6888
"AGPS",0
"AGR2",2.3905
"AGR3",0
"AGRIN",0
"AGRIN",0
"AGRN",0
"AGRP",0
"AGS1",0
"AGT",0
"AGTPBP1",0
"AGTR1",0
"AGTR1B",0
"AGTR2",0
"AGTRAP",0
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",0
"AHCTF1",0
"AHCTF1",0
"AHCY",0
"AHCY",0
"AHCYL1",0
"AHCYL2",2.3421
"AHDC1",0
"AHDC1",0
"AHI1",0
"AH0.0K",0
"AH0.0K2",-2.5026
"AHR",1.5489
"AHRR",0
"AHSA1",0
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0
"AIDA",0
"aie-75",0
"AIF1",0
"AIF1L",-1.8619
"AIFM1",0
"AIFM2",1.9718
"AIFM3",0
"AIG1",-1.8196
"aik2",0
"aik3",0
"AIM1",0
"AIM1L",1.6257
"AIM2",0
"AIMP1",0
"AIMP2",0
"AIP",0
"AIP",0
"AIP-1",0
"AIPC",0
"AIPL1",0
"AIRE",0
"AIRE",0
"airm",0
"AJ227863",0
"AJ293393",-2.1171
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",1.5399
"AJUBA",0
