"Gene","STAT3"
"APOBEC3C",0.535094093
"APOBEC3F",0.489221852
"APOBEC3G",0.235124235
"APOC1",2.281210813
"APOC3",-0.41021018
"APOC4",0.40088499
"APOE",-0.172956847
"APOL6",0.291661269
"APP",1.844529424
"APPBP2",-0.183121236
"AQP12A",0.144559163
"AQP2",-0.547388166
"AQP3",0.016512808
"AQP6",0.234713527
"AQP9",0.80729489
"AR",-0.039880285
"AREG",0.12641722
"ARF4",0.285528865
"ARF6",1.527096217
"ARFGEF1",0.981249881
"ARFGEF2",-0.006618981
"ARHGAP11A",-0.30281918
"ARHGAP12",-0.868937724
"ARHGAP18",0.550157026
"ARHGAP21",-0.248198667
"ARHGAP22",2.038222573
"ARHGAP24",0.124574708
"ARHGAP25",0.533535574
"ARHGAP5",-0.545287783
"ARHGAP9",-0.217571581
"ARHGDIG",0.218696076
"ARHGEF1",0.044616812
"ARHGEF10",-0.583380334
"ARHGEF11",-0.214384726
"ARHGEF12",-0.137462845
"ARHGEF16",-0.788050288
"ARHGEF18",-0.196926576
"ARHGEF19",0.638168849
"ARHGEF2",-0.421673179
"ARHGEF4",-0.14790559
"ARHGEF5",-2.98898037
"ARID1A",-0.275378747
"ARID1B",-0.172249878
"ARID2",0.042148606
"ARID3A",0.113934843
"ARID3B",-0.254544119
"ARID4A",-0.187730815
"ARID4B",-0.432985795
"ARID5A",0.02788179
"ARID5B",-0.405352263
"ARIH1",-0.156826359
"ARL13B",-0.129265585
"ARL15",-0.343974927
"ARL2",-0.757563033
"ARL4A",-0.469610565
"ARL4C",-3.028810081
"ARL6IP4",0.003291462
"ARL6IP5",0.471723776
"ARL8A",0.487640846
"ARL8B",-0.009085269
"ARMC6",-0.794855706
"ARMC8",-0.316261813
"ARMC9",1.239827535
"ARMCX1",-1.240893514
"ARMCX2",1.204440995
"ARMET",-0.136996644
"ARNT",-0.343613947
"ARNT2",-0.087171827
"ARNTL",0.339678127
"ARNTL2",-1.146335517
"ARPM1",-0.287989025
"ARRB1",0.35565495
"ARRB2",-6.318608856
"ARRDC1",0.024340854
"ARRDC3",-0.313572444
"ARRDC4",-0.191736855
"ARSD",-0.705415435
"ARSI",0.241528583
"ART1",0.606160427
"ARTS-1",-0.051313936
"ARV1",0.065850698
"ARX",0.404281618
"AS3MT",-0.175786019
"ASAHL",-0.536083429
"ASAM",0.181861593
"ASB1",-0.051823499
"ASB13",0.056562302
"ASB16",-0.437176216
"ASB3",-0.253507535
"ASB8",0.031812531
"ASCC1",-1.393326784
"ASCC2",-0.529346577
"ASCC3",0.414378294
"ASCL1",-0.015373568
"ASCL2",0.208040164
"ASCL3",-0.336228682
"ASCL5",4.092076429
"ASF1A",0.241660098
"ASF1B",1.861831773
"ASGR2",0.365250284
"ASH1L",0.277099819
"ASH2L",1.197769082
"ASL",-0.178881869
"ASNA1",-0.458805346
"ASNS",-0.617746138
"ASPHD2",0.037934022
"ASS1",1.265179642
"ASXL1",-0.307763874
"ASXL2",-0.967194879
"ATAD2",-0.251545755
"ATAD2B",-0.250394588
"ATAD3A",-0.104275857
"ATAD3B",0.060827257
"ATAD3C",-0.57469866
"ATBF1",4.293414674
"ATF2",-0.751008391
"ATF3",-0.07423273
"ATF7",-0.045766537
"ATF7IP",-0.214435559
"ATF7IP2",-0.171720866
"ATG16L1",-2.48866297
"ATG5",-0.524314392
"ATG7",1.226554849
"ATHL1",-0.864925259
"ATM",0.182313221
"ATN1",-0.96318277
"ATOH1",0.132164416
"ATOH7",0.254003939
"ATOH8",0.161595075
"ATOX1",0.201988436
"ATP10B",-0.013479943
"ATP10D",0.362541121
"ATP11A",0.113122584
"ATP11C",-0.133267364
"ATP1A3",-0.00424483
"ATP1B1",-3.326638916
"ATP1B4",-0.268791158
"ATP2A2",-0.007532872
"ATP2B4",-0.023529602
"ATP2C1",1.425111932
"ATP4A",0.006190215
"ATP5A1",-0.014812934
"ATP5G2",-0.16922619
"ATP5H",-0.173332828
"ATP5I",-0.223812187
"ATP5J2",0.004137277
"ATP5L",-1.84813355
"ATP6AP1",-0.093091491
"ATP6V0C",-0.061055411
"ATP6V0E1",0.152997566
"ATP6V0E2",-0.048532951
"ATP6V1A",0.050482295
"ATP6V1B2",0.682952404
"ATP6V1C2",0.531377689
"ATP6V1G1",0.311599591
"ATP6V1H",-1.103761127
"ATP7B",-1.393911792
"ATP8B1",-0.091722125
"ATPIF1",-0.072640372
"ATRNL1",-0.05123713
"ATRX",-0.003869724
"ATXN1",-0.377260851
"ATXN3",-0.008987077
"ATXN3L",-0.103678094
"ATXN7",0.109161539
"ATXN7L1",-0.156535927
"ATXN7L3",-0.185383785
"ATXN7L4",-0.086217359
"AURKA",0.248107206
"AVIL",0.1590242
"AVPR1A",-0.056079635
"AXUD1",0.237805772
"AZGP1",-0.288578014
"AZIN1",4.286074408
"B3GALNT1",-0.172820433
"B3GALT4",-0.614161417
"B3GAT2",-0.22376964
"B3GAT3",0.034506896
"B3GNT2",-1.048139437
"B3GNT5",-0.038701124
"B3GNT6",-0.306338775
"B4GALNT2",0.116405301
"B4GALT2",0.184303503
"B4GALT4",-0.525096501
"B4GALT5",-0.622763136
"B4GALT6",0.014287654
"BACH1",1.96164484
"BACH2",-0.087549698
"BAG3",0.191258909
"BAHD1",0.430744547
"BAMBI",-0.257513939
"BANK1",0.05776475
"BAP1",0.407142826
"BAPX1",-0.036752452
"BARD1",-1.128590866
"BARHL1",-0.144910819
"BARHL2",-0.394527923
"BARX1",-0.09325378
"BARX2",-0.362243182
"BASP1",0.195627421
"BAT1",-1.368340674
"BATF",-0.005885877
"BATF2",-0.053456015
"BAZ1A",-1.135470101
"BAZ1B",-4.119039443
"BAZ2A",-0.208442661
"BAZ2B",-0.071951817
"BBOX1",0.114994593
"BBS10",0.103862435
"BBS2",-0.31857964
"BBX",-0.007918013
"BCAR1",-0.143264908
"BCAR3",0.250791687
"BCAS2",0.458113837
"BCAS3",-0.231974391
"BCAT1",0.225784828
"BCDIN3",-0.26985653
"BCKDHB",-0.308750457
"BCL10",-0.71123615
"BCL11A",-0.160765802
"BCL11B",4.386979928
"BCL2",0.181917177
"BCL2L11",-0.013081149
"BCL3",0.92572287
