"Gene","CEBPG"
"ACTL9",0
"ACTN1",0
"ACTN2",0
"ACTN3",0
"ACTN4",0
"ACTR10",0
"ACTR1A",0
"ACTR1B",0
"ACTR2",0
"ACTR3",-0.0267
"ACTR3",0.0608
"ACTR3",0.2662
"ACTR3B",-0.4687
"ACTR3B",-0.2323
"ACTR3C",0
"ACTR5",-0.2856
"ACTR6",0
"ACTR8",-0.1681
"ACTRT1",0
"ACTRT2",0
"ACTRT3",0
"ACVR1",-0.4923
"ACVR1B",-0.2431
"ACVR1B",-0.2924
"ACVR1C",0
"ACVR2A",0
"ACVR2B",0.0347
"ACVRL1",-0.2032
"ACVRL1",-0.0611
"ACY1",0
"ACY3",0
"ACYP1",0
"ACYP2",0
"AD013",0
"AD023",0
"AD3LPAD5",0
"AD7C-NTP",0
"ADA",-0.3818
"ADAD1",0
"ADAD2",0
"ADAL",0
"ADAM10",0
"ADAM11",0
"ADAM12",0
"ADAM15",0
"ADAM17",0
"ADAM18",0
"ADAM19",0
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0
"ADAM23",0
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",-0.4722
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",0
"ADAM9",-6.6777
"ADAM9",0.249
"ADAMDEC1",-0.5938
"ADAMTS1",1.6123
"ADAMTS1",1.0486
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0
"ADAMTS14",0
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",0
"ADAMTS3",0.1533
"ADAMTS3",-0.1086
"ADAMTS4",0
"ADAMTS5",0
"ADAMTS6",0.0571
"ADAMTS6",0.2332
"ADAMTS7",0
"ADAMTS8",0
"ADAMTS9",-0.0271
"ADAMTS9",-0.1494
"ADAMTSL1",0.025
"ADAMTSL1",-0.2505
"ADAMTSL2",0
"ADAMTSL3",0.1868
"ADAMTSL3",0.0153
"ADAMTSL4",0.1791
"ADAMTSL4",-0.1357
"ADAMTSL4",0.0559
"ADAMTSL5",0
"ADAP1",0
"ADAP2",0
"ADAR",0
"ADAR3",0
"ADARB1",-0.7918
"ADARB1",-0.3516
"ADARB2",0
"ADAT1",0
"ADAT2",0
"ADAT3",0
"ADC",-0.5511
"ADC",-0.484
"ADCK1",-0.1902
"ADCK2",-0.0255
"ADCK2",-0.2799
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",0.0365
"ADCY3",0.2531
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",0
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",-0.3552
"ADD1",-0.0091
"ADD2",0
"ADD3",0.0058
"ADD3",-0.1271
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
