"Gene","MAFB1"
"DCTN1",0
"DCTN2",0
"DCTN3",0
"DCTN4",0
"DCTN5",0
"DCTN6",0
"DCTPP1",0
"DCUN1D1",0
"DCUN1D2",0
"DCUN1D3",0
"DCUN1D4",0
"DCUN1D5",0
"DCX",0
"DCXR",0
"DD96",0.1074
"DDA1",0
"DDAH1",0
"DDAH2",0
"DDB1",0
"DDB2",0
"DDB27",-0.0268
"DDC",0
"DDC-AS1",0
"DDEF1IT1",0
"DDEF2",-0.0855
"DDHD1",0
"DDHD2",0
"DDHD2",0
"DDI1",0
"DDI2",0
"DDIAS",0
"DDIT3",0
"DDIT4",0
"DDIT4L",0
"DDN",0
"DDO",0.0436
"DDOST",0
"DDR1",-0.049
"DDR2",0
"DDRGK1",0
"DDT",0
"DDTL",0
"DDX1",0
"DDX10",0
"DDX11",-0.0402
"DDX11",-0.0402
"DDX17",-0.0575
"DDX17",-0.0575
"DDX18",0
"DDX19A",0
"DDX19B",0
"DDX20",0
"DDX21",-0.0194
"DDX21",-0.0194
"DDX23",0
"DDX24",0
"DDX25",0
"DDX26",0.0237
"DDX26B",0
"DDX27",0
"DDX28",0
"DDX3",0
"DDX31",0
"DDX39",0
"DDX39A",0
"DDX39B",0
"DDX3X",0
"DDX3Y",0
"DDX4",0
"DDX41",0
"DDX42",0
"DDX43",0
"DDX46",0
"DDX47",0
"DDX49",0
"DDX5",0
"DDX50",0
"DDX51",0
"DDX52",0
"DDX52",0
"DDX52",0
"DDX53",0
"DDX54",0
"DDX54",0
"DDX55",0
"DDX56",0
"DDX58",0
"DDX59",0
"DDX6",0
"DDX60",0
"DDX60L",0
"DDX7",0.0346
"DDXBP1",0.0481
"DEAF1",0
"DEAF1",0
"43070.0000",-0.1044
"DECR1",0
"DECR2",-0.1068
"DEDD",0
"DEDD2",0
"DEF6",-0.0484
"DEF8",0
"DEFA1",0
"DEFA1B",0
"DEFA4",0.0281
"DEFA5",-0.1407
"DEFA6",-0.0204
"DEFB1",0
"DEFB103A",0
"DEFB103B",0
"DEFB104A",0
"DEFB104B",0
"DEFB105A",0
"DEFB105B",0
"DEFB106A",0
"DEFB106B",0
"DEFB107A",0
"DEFB108B",0
"DEFB109P1B",0
"DEFB110",0
"DEFB112",0
"DEFB113",0
"DEFB114",0
"DEFB115",0
"DEFB116",0
"DEFB118",0
"DEFB119",0
"DEFB121",0
"DEFB123",0
"DEFB124",0
"DEFB125",0
"DEFB126",0
"DEFB126",0
"DEFB127",0
"DEFB128",0
"DEFB129",0
"DEFB130",0
"DEFB131",0
"DEFB132",0
"DEFB133",0
"DEFB134",0
"DEFB135",0
"DEFB136",0
"DEFB2",0.2518
"DEFB4",0
"DEFB4A",0
"DEFB4B",0
"DEFT1P",0
"DEGS",0.1875
"DEGS1",0
"DEGS2",0
"DEK",0
"DelGEF",-0.0246
"DELGEF",-0.0342
"DENND1A",0
"DENND1A",0
"DENND1A",0
"DENND1B",0
"DENND1C",0
"DENND2A",0
"DENND2C",0
"DENND2C",0
"DENND2C",0
"DENND2D",0
"DENND2D",0
"DENND3",0
"DENND4A",0
"DENND4A",0
"DENND4A",0
"DENND4B",0
"DENND4C",0
"DENND5A",0
"DENND5B",0
"DENND6A",0
"DENND6B",0
"DENR",0
"DENR",0
"DEPDC1",0
"DEPDC1",0
"DEPDC1B",0
"DEPDC4",0
"DEPDC5",0
"DEPDC7",0
"DEPTOR",0
"DERA",0
"DERL1",0
"DERL2",0
"DERL3",0
"DES",0
"DESC1",0.047
"DESI1",0
"DESI2",0
"DET1",0
"DEUP1",0
"DEXI",0
"DFF35",-0.0437
"DFFA",0
"DFFB",-0.1263
"DF0.05",0
"DFNB31",0
"DFNB59",0
"DGAT1",0
"DGAT2",0
"DGAT2L6",0
"DGCR14",0
"DGCR2",0
"DGCR6",-0.0373
"DGCR6L",0
"DGCR8",-0.0306
"DGCR8",-0.0306
"DGKA",0
"DGKA",0
"DGKB",0
"DGKD",-0.074
"DGKE",0
"DGKG",0.0201
"DGKH",0
"DGKI",0.04
"DGKK",0
"DGKQ",-0.0616
"DGKZ",-0.0849
"DGUOK",0
"DHCR24",0
"DHCR7",0
"DHDDS",0
"DHDH",0
"DHFR",0
"DHFR2",0
"DHFRL1",0
"DHFRP1",0.0252
"DHH",0
"DHODH",0
"DHPS",-0.0561
"DHRS1",0
"DHRS1",0
"DHRS11",0
"DHRS12",0
"DHRS13",0
"DHRS2",0
"DHRS2",0
"DHRS3",0
"DHRS4",0
"DHRS4L2",0
"DHRS7",0
"DHRS7B",0
"DHRS7B",0
"DHRS7B",0
"DHRS7C",0
"DHRS9",0
"DHRSX",0
"DHTKD1",0
"DHX15",0
"DHX16",0
"DHX29",0
"DHX30",0
"DHX32",0
"DHX33",0
"DHX34",0
"DHX35",0
"DHX36",0
"DHX37",0
"DHX38",0
"DHX40",0
"DHX57",0
"DHX58",0
"DHX8",0
"DHX9",0
"DIABLO",0
"DIAPH1",0
"DIAPH2",0
"DIAPH2-AS1",0
"DIAPH3",0
"DIAPH3",0
"DIAPH3",0
"DICER1",0
"DICER1",0
"DIDO1",0
"DIEXF",0
"DIF14",0.0548
"Diff33",-0.0224
"DIMT1",0
"DIMT1L",0
"DINB1",-0.165
"DIO1",-0.0018
"DIO2",0
"DIO3",-0.0142
"DIP",0
"DIP",0
"DIP13B",0
"DIP2A",0
"DIP2A",0
"DIP2B",0
"DIP2C",0
"DIRAS1",0
"DIRAS2",0
"DIRAS3",0
"DIRC1",0
"DIRC2",0
"DIS3",0
"DIS3L",0
"DIS3L2",0
"DISC1",0
"DISC1",0
"DISP1",0
"DISP2",0
"DISP3",0
"DIXDC1",0
"DJ031130",0
"DJ102H19.4",0.046
"DJ122O8.2",0.0468
"DJ462O23.2",-0.0168
"DJ473B4",0.1529
"DJ742C19.2",0.0314
"DJ796I17.1",0.0884
"DKC1",0
"DKFZp313A2432",0
"DKFZP434A0131",-0.0358
"DKFZp434A0312",-0.0301
"DKFZp434A045",0.0203
"DKFZp434A0530",-0.045
"DKFZp434A0610",-0.0638
"DKFZp434A0612",-0.3651
"DKFZp434A062",-0.0363
"DKFZp434A0926",-0.0952
"DKFZp434A1010",0
"DKFZp434A1014",0.0643
"DKFZP434A1022",-0.038
"DKFZp434A128",-0.0303
"DKFZp434A1315",-0.0126
"DKFZp434A1319",-0.0552
"DKFZp434A1520",0.08
"DKFZp434A155",0.0065
"DKFZp434A171",0.019
"DKFZp434A1721",0.0246
"DKFZp434A196",-0.0663
"DKFZp434A236",-0.0198
"DKFZp434A2410",0.0065
"DKFZp434B0417",0.0382
"DKFZp434B044",0.004
"DKFZp434B0610",0.3367
"DKFZp434B094",0.0675
"DKFZp434B105",0.0971
"DKFZp434B1113",0.0062
"DKFZp434B1222",-0.0711
"DKFZp434B1272",-0.0133
"DKFZp434B1612",-0.0262
"DKFZp434B172",0.0127
"DKFZp434B1727",-0.0396
"DKFZP434B195",-0.0247
"DKFZp434B203",0.1548
"DKFZp434B204",-0.0088
"DKFZp434B2131",0.0154
"DKFZp434C0118",-0.0717
"DKFZp434C031",-0.0174
"DKFZp434C0328",0.4833
"DKFZp434C0515",-0.1016
"DKFZp434C0826",-0.0245
"DKFZp434C091",0.0645
"DKFZp434C0923",-0.026
"DKFZP434C0931",-0.0635
"DKFZp434C128",-0.0569
"DKFZp434C131",0.1884
"DKFZP434C135",0.0155
"DKFZp434C1415",-0.1391
"DKFZp434C1418",0.0173
"DKFZp434C153",0.0885
"DKFZp434C171",0.0927
"DKFZp434C1715",0.0376
"DKFZp434C196",-0.025
"DKFZp434C198",0.1713
"DKFZp434C2019",-0.0789
"DKFZp434C229",0.0075
"DKFZp434C2322",-0.0075
"DKFZp434C245",-0.0616
"DKFZp434D0127",-0.0145
"DKFZP434D0421",-0.0634
"DKFZp434D0513",-0.0686
"DKFZp434D0617",0.056
"DKFZp434D064",-0.1058
"DKFZp434D0727",-0.0771
"DKFZp434D105",0.1438
"DKFZp434D1319",0.0065
"DKFZp434D1335",0.046
"DKFZp434D1428",-0.0813
"DKFZp434D152",-0.0036
"DKFZP434D156",-0.0117
"DKFZp434D166",0.0855
"DKFZp434D177",0.107
"DKFZp434D1812",-0.0104
"DKFZp434D193",-0.0572
"DKFZp434D199",-0.0293
"DKFZp434D2030",-0.0375
"DKFZp434D2050",0.11
"DKFZp434D2328",-0.0098
"DKFZp434D2426",-0.029
"DKFZp434D2472",-0.0103
"DKFZp434E026",-0.1013
"DKFZp434E0519",0.0536
"DKFZp434E098",-0.0121
"DKFZp434E1315",0.1112
"DKFZp434E1512",-0.0327
"DKFZp434E169",0.0371
"DKFZp434E1822",0.0909
"DKFZp434E192",0.0042
"DKFZp434E202",-0.0659
"DKFZp434E2118",0.0166
"DKFZP434E2135",0.005
"DKFZp434E2220",0.0895
"DKFZp434E229",-0.0482
"DKFZp434E2318",0.1021
"DKFZp434E248",0.0635
"DKFZp434F011",0.0352
"DKFZp434F0116",-0.0568
"DKFZP434F0318",0.0221
"DKFZp434F0427",-0.0944
"DKFZp434F054",-0.0466
"DKFZp434F0616",-0.0077
"DKFZp434F0621",-0.0717
"DKFZp434F075",0.0407
"DKFZp434F097",-0.0373
"DKFZp434F1017",0.037
"DKFZp434F122",-0.0354
"DKFZp434F142",0.045
"DKFZP434F162",0.0269
"DKFZp434F1719",-0.0427
"DKFZP434F1735",-0.0285
"DKFZp434F1819",-0.0549
"DKFZp434F2015",0.0257
"DKFZp434F222",-0.0564
"DKFZp434F2427",-0.0342
"DKFZp434G0128",0.0113
"DKFZp434G0222",0.0474
"DKFZP434G032",0.0634
"DKFZp434G0326",0.0949
"DKFZp434G0514",-0.144
"DKFZp434G0522",-0.054
"DKFZp434G0625",-0.0163
"DKFZp434G0719",0.055
"DKFZp434G072",-0.0351
"DKFZp434G0920",0.0609
"DKFZP434G099",0.0406
"DKFZp434G118",0
"DKFZP434G131",0.0086
"DKFZp434G1411",-0.0162
"DKFZP434G1415",-0.0685
"DKFZp434G171",-0.0701
"DKFZp434G179",-0.01
"DKFZp434G1930",-0.0374
"DKFZP434G2226",-0.0492
"DKFZp434G232",0.1534
"DKFZp434H0115",0.0644
"DKFZp434H0117",0.0284
"DKFZp434H0311",0.0333
"DKFZp434H0350",-0.0806
"DKFZp434H0510",0.1757
"DKFZp434H0512",0.0319
"DKFZp434H052",0.0266
"DKFZp434H0735",0.0741
"DKFZp434H1215",-0.0174
"DKFZp434H1220",0.0675
"DKFZp434H1419",-0.1061
"DKFZp434H152",-0.0061
"DKFZp434H168",-0.0333
"DKFZp434H2010",-0.018
"DKFZp434H2215",-0.0175
"DKFZp434H2226",0.2131
"DKFZp434H2410",2e-04
"DKFZp434H2450",0.0216
"DKFZp434I042",-0.1612
"DKFZp434I062",-0.0135
"DKFZp434I0714",-0.0132
"DKFZp434I0812",0.0227
"DKFZp434I099",0.0046
"DKFZp434I1019",0.0745
"DKFZp434I1110",-0.1454
"DKFZp434I1116",-0.0765
"DKFZp434I1117",-0.0335
"DKFZp434I1122",-0.0129
"DKFZp434I1230",0.0716
"DKFZp434I1610",0.0396
"DKFZp434I1816",0.0096
"DKFZp434I1820",-0.0064
"DKFZp434I1930",0.0238
"DKFZp434J0113",-0.0142
"DKFZP434J037",0.0403
"DKFZp434J0450",-0.0129
"DKFZp434J0617",0.0069
"DKFZp434J087",0.1501
"DKFZp434J1015",-0.0121
"DKFZp434J1027",-0.0064
"DKFZp434J1521",-0.0492
"DKFZp434J1815",-0.0373
"DKFZp434J193",0.0128
"DKFZp434K028",-0.0917
"DKFZp434K031",0.0492
"DKFZp434K0322",-0.1007
"DKFZp434K0410",0.0016
"DKFZp434K0423",0.0103
"DKFZp434K0427",0.0653
"DKFZp434K111",0.0079
"DKFZp434K1115",-0.0536
"DKFZp434K114",-0.0236
"DKFZP434K1172",-0.0511
"DKFZp434K1210",0.0621
"DKFZp434K1235",-0.0935
"DKFZp434K1421",0.0927
"DKFZp434K156",-0.0279
"DKFZp434K1822",0.0023
"DKFZp434K225",-0.0011
"DKFZp434K2323",-0.0511
"DKFZp434K2435",0.0661
"DKFZp434L0117",-0.0449
"DKFZP434L0117",-0.0895
"DKFZp434L0610",0.0623
"DKFZp434L0650",0.0152
"DKFZp434L0718",0.0066
"DKFZp434L0735",-0.0125
"DKFZp434L0850",-0.0336
"DKFZP434L1021",-0.002
"DKFZp434L1072",-0.0178
"DKFZp434L1123",0.0586
"DKFZp434L134",-0.0807
"DKFZp434L151",0.0113
"DKFZp434L1550",-0.0017
"DKFZp434L1717",-0.0011
"DKFZp434L1850",-0.0182
"DKFZp434L187",-0.0175
"DKFZp434L194",0.0736
"DKFZp434L2050",-0.0109
"DKFZp434M0126",0.0588
"DKFZp434M0219",0.0042
"DKFZp434M0223",0.0321
"DKFZp434M0320",-0.0412
"DKFZp434M0331",0.0197
"DKFZp434M0572",0.0136
"DKFZp434M0813",-0.0238
"DKFZp434M0927",-0.0496
"DKFZp434M131",-0.0389
"DKFZp434M1526",0.1432
"DKFZp434M182",-0.038
"DKFZp434M1820",-0.0155
"DKFZp434N0223",-0.1917
"DKFZp434N0250",-0.0284
"DKFZp434N031",-0.0349
"DKFZp434N035",-0.0342
"DKFZp434N035",-0.0342
"DKFZp434N0410",0.0879
"DKFZp434N0435",-0.0066
"DKFZp434N0535",-0.049
"DKFZp434N061",-0.0376
"DKFZp434N0615",-0.0456
"DKFZp434N0650",0.0382
"DKFZp434N093",0.0412
"DKFZp434N101",0
"DKFZp434N1010",0
"DKFZp434N1131",0.151
"DKFZp434N1217",0
"DKFZP434N1235",-0.013
"DKFZp434N127",-0.0291
"DKFZp434N1415",-0.0454
"DKFZP434N161",0.0161
"DKFZp434N178",0.0015
"DKFZp434N1817",0.0378
"DKFZP434N185",-0.0298
"DKFZP434N1923",-0.0824
"DKFZp434N2321",-0.0583
"DKFZp434N2435",-0.0216
"DKFZp434O0213",0.0108
"DKFZp434O0320",0
"DKFZP434O047",0.0141
"DKFZp434O0710",-0.1067
"DKFZp434O1221",-0.0067
"DKFZp434O1230",-0.0209
"DKFZp434O1427",0.0471
"DKFZP434O1427",0.117
"DKFZp434O171",0.0033
"DKFZp434O1826",0
"DKFZp434O194",0.0123
"DKFZp434O2417",0.008
"DKFZp434P0116",0.1476
"DKFZp434P0316",-0.0871
"DKFZp434P0630",0.0368
"DKFZp434P0714",-0.0273
"DKFZp434P072",-0.0251
"DKFZp434P078",0
"DKFZp434P101",2e-04
"DKFZp434P116",-0.0442
"DKFZp434P1219",-0.2056
"DKFZp434P1414",-0.0179
"DKFZp434P144",0.0403
"DKFZp434P1735",0.0339
"DKFZP434P1750",-0.0718
"DKFZP434P211",0.0095
"DKFZP434P211",0.0095
"DKFZp434P2235",0.0121
"DKFZp434P2326",0.0172
"DKFZp434P2350",0.0131
"DKFZp547A1913",-0.0384
"DKFZp547C074",0.0132
"DKFZp547C176",0.6141
"DKFZp547D104",-0.0377
"DKFZp547D147",0.0017
"DKFZp547D155",-0.0159
"DKFZp547F072",0
"DKFZp547G183",-0.0095
"DKFZp547H025",-0.0239
"DKFZp547H027",0.1321
"DKFZp547H236",-0.1473
"DKFZp547I014",0.1121
"DKFZp547I094",-0.0167
"DKFZp547I194",-0.0281
"DKFZp547J222",-0.0708
"DKFZp547J2313",-0.0462
"DKFZp547L112",-0.0191
"DKFZp547M236",-0.0522
"DKFZp547N043",0.148
"DKFZp547O146",-0.0514
"DKFZp547P082",0.1101
"DKFZp547P193",-0.0835
"DKFZP564A022",0.2022
"DKFZp564A063",-0.0725
"DKFZp564A1164",0.0097
"DKFZp564A176",-0.0567
"DKFZp564B0482",0.0291
"DKFZp564B052",0.0878
"DKFZp564B1023",0.0204
"DKFZP564B1162",0.0827
"DKFZP564B147",-0.0736
"DKFZp564B1471",0.0819
"DKFZp564B162",0.0897
"DKFZp564C0464",-0.0251
"DKFZp564C047",0.1255
"DKFZp564C1278",-0.0083
"DKFZp564C1362",-0.0094
"DKFZp564C152",0.0597
"DKFZP564C152",0
"DKFZp564C1616",0.0292
"DKFZp564C196",-0.1191
"DKFZp564C2478",0.2681
"DKFZP564D0372",-0.0774
"DKFZp564D0478",-0.0838
"DKFZp564D066",-0.0186
"DKFZp564D0782",-4e-04
"DKFZp564D116",-0.0544
"DKFZp564D1378",0.0518
"DKFZp564D152",0.029
"DKFZP564D166",-0.1125
"DKFZp564D172",-0.0023
"DKFZp564E0178",-0.0351
"DKFZp564E1878",0.011
"DKFZp564E1962",0.056
"DKFZp564E227",0.1173
"DKFZp564F0522",0.0174
"DKFZp564F1422",-0.041
"DKFZp564F2116",0.1793
"DKFZP564G092",0.0354
"DKFZp564G0982",-0.0472
"DKFZp564G1272",-0.0181
"DKFZp564G1816",0.1222
"DKFZp564G182",0.0236
"DKFZp564G196",0.0959
"DKFZp564G2022",0.009
"DKFZp564H1322",-0.0516
"DKFZp564I0422",0.0666
"DKFZp564I052",0.0193
"DKFZp564I0682",-0.1853
"DKFZp564I2064",0.0288
"DKFZp564I2423",-0.1066
"DKFZp564J047",-0.0377
"DKFZp564J0863",-0.046
"DKFZp564J102",-0.0384
"DKFZp564J1516",0.0299
"DKFZP564J157",-0.0498
"DKFZp564J1864",0.0185
"DKFZp564K0164",0.1007
"DKFZp564K0322",-0.0996
"DKFZP564K0822",-0.0904
"DKFZp564K1216",0.17
"DKFZp564K142",0.1686
"DKFZp564K1522",-0.0193
"DKFZp564K1672",-0.079
"DKFZp564K192",-0.0462
"DKFZp564K2364",0.0647
"DKFZP564K247",0.0596
"DKFZp564L023",0.0346
"DKFZp564L1878",-0.0713
"DKFZp564L1962",0.0567
"DKFZp564L2362",-0.036
"DKFZP564L2423",0.0244
"DKFZp564M0163",0.0687
"DKFZp564M1462",0.0428
"DKFZp564M1916",-0.0022
"DKFZp564M2422",0.0057
"DKFZp564N0582",0.0124
"DKFZP564N1363",0.0043
"DKFZp564N1623",-0.0077
"DKFZp564N1916",0.053
"DKFZP564O0463",0.05
"DKFZp564O0523",0.1934
"DKFZp564O1278",0.0526
"DKFZP564O1664",-0.0344
"DKFZp564P0562",-0.0783
"DKFZp564P1263",-0.1401
"DKFZp564P1916",-0.0575
"DKFZP564P1916",9e-04
"DKFZp566A093",-0.0233
"DKFZp566A0946",-0.0705
"DKFZP566A1524",0.1315
"DKFZp566B1524",0.0803
"DKFZp566C0424",-0.0409
"DKFZp566D133",0.1259
"DKFZp566D1346",0.2635
"DKFZp566D143",-0.0242
"DKFZp566D244",0.1313
"DKFZp566E0847",-0.003
"DKFZp566E104",0.0516
"DKFZP566E144",0.0125
"DKFZp566E2324",-0.0312
"DKFZP566F0546",0.0122
"DKFZp566F0947",8e-04
"DKFZp566G013",0.0136
"DKFZp566G0346",0.0509
"DKFZp566H0824",-0.0479
"DKFZp566I1024",-0.0331
"DKFZP566I133",0.0801
"DKFZP566J091",0.0529
"DKFZp566J164",0.0836
"DKFZp566K013",0.2235
"DKFZp566K0524",0.0498
"DKFZp566K113",0.0384
"DKFZp566K144",0.0729
"DKFZp566K1946",0.0756
"DKFZp566L1246",-0.0755
"DKFZp566M1046",-0.0306
"DKFZp566M114",2e-04
"DKFZp566N1047",0.0262
"DKFZp566N2024",-0.0417
"DKFZP566O084",-0.025
"DKFZp566O224",0.0133
"DKFZp566P0524",0.0943
"DKFZP586A011",-0.0557
"DKFZP586A0522",0.2871
"DKFZp586A181",-0.0221
"DKFZp586B0319",0.0807
"DKFZP586B0319",0
"DKFZP586B1621",-0.1297
"DKFZp586B1824",-0.0386
"DKFZp586B1920",-0.0672
"DKFZp586C051",-0.0073
"DKFZp586C1924",-0.0258
"DKFZp586D0222",-0.0287
"DKFZp586D1022",-0.1147
"DKFZp586E041",0.1453
"DKFZp586E1222",0.0078
"DKFZP586E1923",0.0195
"DKFZp586F0424",0.1455
"DKFZp586F1018",-0.0164
"DKFZp586F1019",0.0661
"DKFZP586F1524",-0.0595
"DKFZp586F1918",0.0496
"DKFZp586G1024",0.0586
"DKFZp586G1123",-0.0812
"DKFZp586G1517",0.0198
"DKFZp586G2120",-0.0111
"DKFZp586G2122",-0.0379
"DKFZp586H0623",-0.1212
"DKFZp586H1320",-0.0609
"DKFZp586H1322",-0.1983
"DKFZp586H1719",-0.0269
"DKFZP586H2123",0
"DKFZp586I021",-0.0244
"DKFZp586I0418",0.0238
"DKFZp586I111",-0.0579
"DKFZp586I1420",0.1121
"DKFZP586I1420",0
"DKFZp586J0624",0.3645
"DKFZp586J1119",-0.087
"DKFZp586J151",0.0983
"DKFZP586J1624",-0.1407
"DKFZp586J1923",0.0298
"DKFZP586K0717",0.0178
"DKFZp586K0922",0.0128
"DKFZp586K1520",-0.0491
"DKFZp586L0118",0.0184
"DKFZP586M0622",-0.0267
"DKFZP586M1120",0
"DKFZp586M2023",0.0298
"DKFZP586N0721",-0.0428
"DKFZP586N0819",-0.0726
"DKFZp586N1922",-0.0762
"DKFZp586O0222",-0.0769
"DKFZp586O1422",-0.021
"DKFZp586P0123",-0.0288
"DKFZP586P0123",0
"DKFZP586P0123",0
"DKFZP586P0123",0
"DKFZP586P1522",-0.0431
"DKFZp667C165",-0.0077
"DKFZp667H046",-0.1137
"DKFZp667H242",-0.0292
"DKFZp667K087",-0.0144
"DKFZp667O116",-0.1277
"DKFZP686A01247",0
"DKFZP686A01247",0
"DKFZp686D0972",0
"DKFZP686E2158",0
"DKFZP686E2158",0
"DKFZp686L1814",0
"DKFZp727G051",-0.0355
"DKFZp727K101",-0.0116
"DKFZP727M111",-0.1028
"DKFZp727M231",-0.036
"DKFZp761A132",-0.058
"DKFZp761A1623",0.0244
"DKFZp761A19121",0.0185
"DKFZp761B039",-0.039
"DKFZp761B0514",-0.0479
"DKFZp761B15121",-0.0804
"DKFZp761C07121",0.024
"DKFZp761C10121",-0.1247
"DKFZp761C121",-0.0406
"DKFZp761C241",0.0799
"DKFZp761D081",0.0637
"DKFZp761D112",-0.0144
"DKFZp761D221",-0.0222
"DKFZp761E0611",0.0314
"DKFZp761E10121",-0.0152
"DKFZp761E13121",-0.0139
"DKFZp761E1824",0.1279
"DKFZp761E198",0
"DKFZp761E198",0
"DKFZp761E198",0
"DKFZP761E2110",-0.0301
"DKFZp761F0123",0.0747
"DKFZp761F0324",-0.0436
"DKFZp761F2014",-0.0422
"DKFZp761F241",0.0545
"DKFZp761G122",0.021
"DKFZp761G18121",0.0495
"DKFZp761G1913",0.0121
"DKFZp761G2113",-0.0488
"DKFZp761G2423",0.0911
"DKFZp761H039",0.0026
"DKFZp761H087",0.2175
"DKFZP761H1710",-0.0246
"DKFZp761H172",-0.0288
"DKFZp761H2024",-0.0066
"DKFZp761H221",-0.027
"DKFZp761I1011",-0.0886
"DKFZp761I172",0.2637
"DKFZp761I2123",-0.0873
"DKFZp761I2124",0.1228
"DKFZp761I241",-0.0505
"DKFZp761J1523",0.0038
"DKFZp761J17121",0.1797
"DKFZp761J191",-0.1014
"DKFZp761J197",-0.0742
"DKFZp761K0722",-0.0569
"DKFZp761K1423",-0.0066
"DKFZp761K1824",0.0035
"DKFZp761K2424",-0.1004
"DKFZp761L0424",0.0542
"DKFZp761L0812",0.0479
"DKFZp761L08121",0.0349
"DKFZp761M02121",0.0153
"DKFZp761M0423",-0.045
"DKFZp761N0624",0.07
"DKFZp761N09121",-0.0183
"DKFZp761N1024",-0.0336
"DKFZp761N1814",-6e-04
"DKFZp761O0113",0.0535
"DKFZp761O132",-0.0814
"DKFZp761O15121",-0.1263
"DKFZp761O17121",0.0102
"DKFZp761P0212",0.0168
"DKFZp761P0710",0.0019
"DKFZp761P1010",0.3122
"DKFZp761P19121",-0.0494
"DKFZp762B0211",-0.0572
"DKFZp762B2310",0.0606
"DKFZp762B245",-0.037
"DKFZp762D1011",-0.0107
"DKFZp762E1112",0.0319
"DKFZp762E1312",-0.0398
"DKFZp762G106",0.0294
"DKFZp762H186",-0.0088
"DKFZp762K222",0.0441
"DKFZp762L106",0.0253
"DKFZp762M2311",-0.129
"DKFZp762N2316",-0.1111
"DKFZp762P2111",0
"DKFZp779O175",0
"DKFZp779O175",0
"DKK1",0
"DKK2",0.0145
"DKK3",0
"DKK4",-0.0868
"DKKL1",0
"DL492380",0
"DLAT",0
"DLC1",0
"DLC1",0
"DLD",0
"DLEC1",0.007
"DLEU1",0
"DLEU2",0
"DLEU7",0
"DLG1",0
"DLG1",0
"DLG2",0
"DLG3",0.0774
"DLG4",0
"DLG5",0
"DLG5",0
"DLGAP1",-0.0396
"DLGAP2",0
"DLGAP3",0
"DLGAP4",0
"DLGAP5",0
"dlk",0.0032
"DLK1",0
"DLK2",0
"DLL1",0.0038
"DLL3",-0.0675
"DLL4",0
"DLM1",-0.063
"DLST",0
"DLST",0
"DLSTP",0
"DLX1",0
"DLX1",0
"DLX2",0.2522
"DLX2",0.2522
"DLX2",0.2522
"DLX3",0
"DLX3",0
"DLX4",0.1144
"DLX5",0.2449
"DLX6",0.1138
"DMAP1",0
"DMBT1",-0.049
"DMBX1",0
"DMC1",-0.0146
"DMC1",-0.0146
"DMD",-0.0365
"DMGDH",0
"DMKN",0
"DMP1",-0.0786
"DMPK",0
"DMRT1",0.0103
"DMRT2",-0.0337
"DMRT3",0
"DMRT3",0
"DMRTA1",0
"DMRTA2",0
"DMRTB1",0
"DMRTB1",0
"DMRTC1",0
"DMRTC1B",0
"DMRTC2",0
"DMTF1",0
"DMTN",0
"DMWD",0
"DMXL1",0
"DMXL2",0
"D0.02",0
"D0.0AF1",0
"D0.0AF2",0
"D0.0AF3",0
"D0.0AF5",0
"D0.0H1",0
"D0.0H10",0
"D0.0H11",0
"D0.0H12",0
"D0.0H17",0
"D0.0H2",0
"D0.0H3",0
"D0.0H5",0
"D0.0H6",0
"D0.0H7",0
"D0.0H8",0
"D0.0H9",0
"D0.0I1",0
"D0.0I2",0
"D0.0JA1",0
"D0.0JA1",0
"D0.0JA2",0
"D0.0JA3",0
"D0.0JA4",0
"D0.0JB1",0
"D0.0JB11",0
"D0.0JB12",0
"D0.0JB13",0
"D0.0JB14",0
"D0.0JB2",0
"D0.0JB2",0
"D0.0JB3",0
"D0.0JB4",0
"D0.0JB5",0
"D0.0JB6",0
"D0.0JB6",0
"D0.0JB6",0
"D0.0JB7",0
"D0.0JB8",0
"D0.0JB9",0
"D0.0JC1",0
"D0.0JC10",0
"D0.0JC11",0
"D0.0JC11",0
"D0.0JC12",0
"D0.0JC13",0
"D0.0JC14",0
"D0.0JC15",0
"D0.0JC16",0
"D0.0JC16",0
"D0.0JC17",0
"D0.0JC18",0
"D0.0JC19",0
"D0.0JC2",0
"D0.0JC21",0
"D0.0JC22",0
"D0.0JC24",0
"D0.0JC25",0
"D0.0JC27",0
"D0.0JC28",0
"D0.0JC3",0
"D0.0JC30",0
"D0.0JC4",0
"D0.0JC5",0
"D0.0JC5B",0
"D0.0JC5G",0
"D0.0JC6",0
"D0.0JC6",0
"D0.0JC7",0
"D0.0JC8",0
"D0.0JC8",0
"D0.0JC9",0
"D0.0L1",0
"D0.0L4",0
"D0.0LI1",0
"D0.0PTP6",0
"D0.0se I",-0.0197
"D0.0SE1",0
"D0.0SE1L1",0
"D0.0SE1L2",0
"D0.0SE1L3",0
"D0.0SE2",0
"D0.0SE2B",0
"DND1",0
"DNER",0
"DNHD1",0
"DNJ3CPR3",0.0815
"DNLZ",0
"DNM1",0
"DNM1L",0
"DNM2",0
"DNM3",0
"DNMBP",0
"DNMT1",0
"DNMT3A",-0.2189
"DNMT3B",0.0614
"DNMT3L",-0.0132
"DNPEP",0
"DNPH1",0
"DNPI",-0.0436
"DNTT",0
"DNTTIP1",0
"DNTTIP2",0
"DOC2A",0
"DOC2B",-0.0268
"DOCK1",0
"DOCK10",0
"DOCK11",0
