"Gene","MAFB1"
"ADAM20",-0.012
"ADAM21",0.0046
"ADAM22",-0.0389
"ADAM23",0
"ADAM28",-0.0032
"ADAM29",0
"ADAM30",-0.0391
"ADAM32",0
"ADAM33",0
"ADAM3A",0
"ADAM5",0
"ADAM7",0.0029
"ADAM8",0
"ADAM9",0
"ADAM9",0
"ADAMDEC1",0
"ADAMTS1",0
"ADAMTS1",0
"ADAMTS10",-0.0658
"ADAMTS12",-0.0131
"ADAMTS13",0
"ADAMTS14",0
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",0.0017
"ADAMTS3",0
"ADAMTS3",0
"ADAMTS4",0
"ADAMTS5",0.0177
"ADAMTS6",0.0102
"ADAMTS6",0.0102
"ADAMTS7",-0.02
"ADAMTS8",-0.0216
"ADAMTS9",-0.0739
"ADAMTS9",-0.0739
"ADAMTSL1",0
"ADAMTSL1",0
"ADAMTSL2",0
"ADAMTSL3",0
"ADAMTSL3",0
"ADAMTSL4",0
"ADAMTSL4",0
"ADAMTSL4",0
"ADAMTSL5",0
"ADAP1",0
"ADAP2",0
"ADAR",0
"ADAR3",-0.0442
"ADARB1",0.0142
"ADARB1",0.0142
"ADARB2",0
"ADAT1",-0.0445
"ADAT2",0
"ADAT3",0
"ADC",0
"ADC",0
"ADCK1",0
"ADCK2",0
"ADCK2",0
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",0
"ADCY3",0
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",-0.0051
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0.0027
"ADD1",0.0398
"ADD1",0.0398
"ADD2",-0.0231
"ADD3",0
"ADD3",0
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",-0.0752
"ADH4",0.0554
"ADH5",-0.0472
"ADH6",-0.0671
"ADH7",0.3297
"ADHFE1",0
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADIR",-0.0492
"ADIRF",0
"ADK",0
"adk2",-0.0651
"ADM",0
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",0
"ADNP",0
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",0
"ADORA2A",0
"ADORA2B",0
"ADPGK",0
"ADPRH",0
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",-0.0525
"ADRA1A",0
"ADRA1B",-0.041
