"Gene","FDXR"
"ACVR1B",0.0379
"ACVR1C",0
"ACVR2A",1.491
"ACVR2B",0.0719
"ACVRL1",0
"ACVRL1",0
"ACY1",0
"ACY3",0
"ACYP1",0.5118
"ACYP2",5.9869
"AD013",0
"AD023",0
"AD3LPAD5",0
"AD7C-NTP",0
"ADA",3.0519
"ADAD1",0
"ADAD2",0.4132
"ADAL",3e-04
"ADAM10",0.1129
"ADAM11",0
"ADAM12",0
"ADAM15",0
"ADAM17",5.9088
"ADAM18",0
"ADAM19",0.2246
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0
"ADAM23",0.0668
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",0
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",0.694
"ADAM9",10.5394
"ADAM9",10.5394
"ADAMDEC1",0
"ADAMTS1",10.8449
"ADAMTS1",10.8449
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0.2608
"ADAMTS14",0.1399
"ADAMTS15",0.1104
"ADAMTS16",0
"ADAMTS17",0.07
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",0.0307
"ADAMTS3",0.1075
"ADAMTS3",0.1075
"ADAMTS4",0.0976
"ADAMTS5",0.0213
"ADAMTS6",0.0558
"ADAMTS6",0.0558
"ADAMTS7",0.0805
"ADAMTS8",0
"ADAMTS9",0
"ADAMTS9",0
"ADAMTSL1",0.1012
"ADAMTSL1",0.1012
"ADAMTSL2",0
"ADAMTSL3",0
"ADAMTSL3",0
"ADAMTSL4",7.6817
"ADAMTSL4",7.6817
"ADAMTSL4",7.6817
"ADAMTSL5",6.7403
"ADAP1",2.0915
"ADAP2",0.0031
"ADAR",8.4095
"ADAR3",0
"ADARB1",10.0379
"ADARB1",10.0379
"ADARB2",0.0245
"ADAT1",7.3847
"ADAT2",0.5468
"ADAT3",9.8134
"ADC",0
"ADC",0
"ADCK1",0
"ADCK2",5.3466
"ADCK2",5.3466
"ADCK5",0.5954
"ADCY1",0
"ADCY10",0
"ADCY2",1e-04
"ADCY3",3.7346
"ADCY4",0.3437
"ADCY5",0
"ADCY6",2.3759
"ADCY7",3.974
"ADCY8",0
"ADCY9",8.4059
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",12.9232
"ADD1",12.9232
"ADD2",1e-04
"ADD3",0.0342
"ADD3",0.0342
"ADGB",0
"ADGRA1",0
"ADGRA2",1e-04
"ADGRA3",2.6375
"ADGRB1",0.0378
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",1.3935
"ADGRF1",4.8811
"ADGRF2",0.2103
"ADGRF3",0.2658
"ADGRF4",8.1466
"ADGRF5",0
"ADGRG1",73.821
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0.0207
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0.7186
"ADGRL2",1e-04
"ADGRL3",0.1502
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",22.9431
"ADH6",0
"ADH7",0
"ADHFE1",0.3911
"ADI1",25.8022
"ADIG",0
"ADIPOQ",0
"ADIPOR1",80.9107
"ADIPOR2",16.3027
"ADIR",0
"ADIRF",84.2871
"ADK",4.9709
"adk2",0
"ADM",157.6555
"ADM2",8.7566
"ADM5",0.2119
"ADMR",0
"ADNP",12.9137
"ADNP",12.9137
"ADNP2",6.2317
"ADO",3.6084
"ADORA1",0
"ADORA2A",0
"ADORA2A",0
"ADORA2B",4.3324
"ADPGK",0.003
"ADPRH",0.0716
"ADPRHL1",0.0013
"ADPRHL2",32.7759
"ADPRM",9.562
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0.1153
"ADRB1",0
"ADRB2",0
"ADRB3",0
"ADRBK1",0
"ADRM1",19.3291
"ADRM1",19.3291
"ADSL",3.409
"ADSS",10.3274
"ADSSL1",3.5235
"ADTRP",1.4377
"AEBP1",1.8927
"AEBP1",1.8927
"AEBP2",0
"AEBP2",0
"AEGL1",0
"AEN",5.776
"AES",3.4191
"AES",3.4191
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",5.1494
"AFAP1L1",2.7984
"AFAP1L2",0.5686
"AFAR3",0
"AFDN",2.2842
"AFF1",2.9228
"AFF1",2.9228
"AFF1",2.9228
"AFF2",0
"AFF3",0
"AFF4",10.3971
"AFF4",10.3971
"AFG3L2",9.0319
"AFM",0.1128
"AFMID",0
"AFP",0.1552
"AFTPH",5.9092
"AGA",0.0032
"AGAP1",1.1501
