"Gene","FDXR"
"DEK",10.0657
"DelGEF",0
"DELGEF",0
"DENND1A",0
"DENND1A",0
"DENND1A",0
"DENND1B",0
"DENND1C",0
"DENND2A",0.0101
"DENND2C",2.4623
"DENND2C",2.4623
"DENND2C",2.4623
"DENND2D",0.0069
"DENND2D",0.0069
"DENND3",0.6949
"DENND4A",0.4314
"DENND4A",0.4314
"DENND4A",0.4314
"DENND4B",4.093
"DENND4C",0.001
"DENND5A",0.0428
"DENND5B",0.1438
"DENND6A",5.5599
"DENND6B",3.0806
"DENR",23.5669
"DENR",23.5669
"DEPDC1",0
"DEPDC1",0
"DEPDC1B",5.5091
"DEPDC4",0
"DEPDC5",0
"DEPDC7",5.6701
"DEPTOR",0.3326
"DERA",14.238
"DERL1",0.0173
"DERL2",6.6322
"DERL3",0
"DES",0
"DESC1",0
"DESI1",0.0083
"DESI2",0.0078
"DET1",0.6377
"DEUP1",0.1397
"DEXI",9.8452
"DFF35",0
"DFFA",12.1832
"DFFB",0.4577
"DF0.05",26.5364
"DFNB31",0
"DFNB59",0.9835
"DGAT1",2.7708
"DGAT2",1.631
"DGAT2L6",0
"DGCR14",4.2514
"DGCR2",0.3637
"DGCR6",0.1291
"DGCR6L",5.1056
"DGCR8",14.2179
"DGCR8",14.2179
"DGKA",19.0415
"DGKA",19.0415
"DGKB",0
"DGKD",0.2453
"DGKE",1.1793
"DGKG",0
"DGKH",1e-04
"DGKI",0
"DGKK",0
"DGKQ",0.0592
"DGKZ",0.1072
"DGUOK",21.097
"DHCR24",61.9169
"DHCR7",85.7656
"DHDDS",0
"DHDH",1.8564
"DHFR",0
"DHFR2",3.8475
"DHFRL1",0
"DHFRP1",0
"DHH",0
"DHODH",0.9994
"DHPS",0
"DHRS1",28.0517
"DHRS1",28.0517
"DHRS11",6.169
"DHRS12",0.3191
"DHRS13",2.4972
"DHRS2",0
"DHRS2",0
"DHRS3",16.9979
"DHRS4",0
"DHRS4L2",0
"DHRS7",29.2946
"DHRS7B",2.5956
"DHRS7B",2.5956
"DHRS7B",2.5956
"DHRS7C",0
"DHRS9",0.1737
"DHRSX",0
"DHTKD1",0
"DHX15",14.1617
"DHX16",1.4239
"DHX29",7.579
"DHX30",4.1401
"DHX32",13.345
"DHX33",4.483
"DHX34",1.179
"DHX35",0.0072
"DHX36",4e-04
"DHX37",3.2193
"DHX38",5.2426
"DHX40",5e-04
"DHX57",4.6886
"DHX58",2.4265
"DHX8",4.0051
"DHX9",4.694
"DIABLO",0.7672
"DIAPH1",0.1571
"DIAPH2",3.1666
"DIAPH2-AS1",0
"DIAPH3",0.0015
"DIAPH3",0.0015
"DIAPH3",0.0015
"DICER1",0.4483
"DICER1",0.4483
"DIDO1",3.4695
"DIEXF",1.4198
"DIF14",0
"Diff33",0
"DIMT1",11.5169
"DIMT1L",0
"DINB1",0
"DIO1",0
"DIO2",0.0422
"DIO3",0
"DIP",0
"DIP",0
"DIP13B",0
"DIP2A",0.6729
"DIP2A",0.6729
"DIP2B",2.4181
"DIP2C",2.047
"DIRAS1",4.7778
"DIRAS2",0
"DIRAS3",0
"DIRC1",0
"DIRC2",4.5427
"DIS3",0.0092
"DIS3L",1.1479
"DIS3L2",0.0122
"DISC1",0.0037
"DISC1",0.0037
"DISP1",0.128
"DISP2",0.1252
"DISP3",0.0766
"DIXDC1",0.0011
"DJ031130",0
"DJ102H19.4",0
"DJ122O8.2",0
"DJ462O23.2",0
"DJ473B4",0
"DJ742C19.2",0
"DJ796I17.1",0
"DKC1",0.2175
"DKFZp313A2432",0
"DKFZP434A0131",0
"DKFZp434A0312",0
"DKFZp434A045",0
"DKFZp434A0530",0
"DKFZp434A0610",0
"DKFZp434A0612",0
"DKFZp434A062",0
"DKFZp434A0926",0
"DKFZp434A1010",0
"DKFZp434A1014",0
"DKFZP434A1022",0
"DKFZp434A128",0
"DKFZp434A1315",0
"DKFZp434A1319",0
"DKFZp434A1520",0
"DKFZp434A155",0
"DKFZp434A171",0
"DKFZp434A1721",0
"DKFZp434A196",0
"DKFZp434A236",0
"DKFZp434A2410",0
"DKFZp434B0417",0
"DKFZp434B044",0
"DKFZp434B0610",0
"DKFZp434B094",0
"DKFZp434B105",0
"DKFZp434B1113",0
"DKFZp434B1222",0
"DKFZp434B1272",0
"DKFZp434B1612",0
"DKFZp434B172",0
"DKFZp434B1727",0
"DKFZP434B195",0
"DKFZp434B203",0
"DKFZp434B204",0
"DKFZp434B2131",0
"DKFZp434C0118",0
"DKFZp434C031",0
"DKFZp434C0328",0
"DKFZp434C0515",0
"DKFZp434C0826",0
"DKFZp434C091",0
"DKFZp434C0923",0
"DKFZP434C0931",0
"DKFZp434C128",0
"DKFZp434C131",0
"DKFZP434C135",0
"DKFZp434C1415",0
"DKFZp434C1418",0
"DKFZp434C153",0
"DKFZp434C171",0
"DKFZp434C1715",0
"DKFZp434C196",0
"DKFZp434C198",0
"DKFZp434C2019",0
"DKFZp434C229",0
"DKFZp434C2322",0
"DKFZp434C245",0
"DKFZp434D0127",0
"DKFZP434D0421",0
"DKFZp434D0513",0
"DKFZp434D0617",0
"DKFZp434D064",0
"DKFZp434D0727",0
"DKFZp434D105",0
"DKFZp434D1319",0
"DKFZp434D1335",0
"DKFZp434D1428",0
"DKFZp434D152",0
"DKFZP434D156",0
"DKFZp434D166",0
"DKFZp434D177",0
"DKFZp434D1812",0
"DKFZp434D193",0
"DKFZp434D199",0
"DKFZp434D2030",0
"DKFZp434D2050",0
"DKFZp434D2328",0
"DKFZp434D2426",0
"DKFZp434D2472",0
"DKFZp434E026",0
"DKFZp434E0519",0
"DKFZp434E098",0
"DKFZp434E1315",0
"DKFZp434E1512",0
"DKFZp434E169",0
"DKFZp434E1822",0
"DKFZp434E192",0
"DKFZp434E202",0
"DKFZp434E2118",0
"DKFZP434E2135",0
"DKFZp434E2220",0
"DKFZp434E229",0
"DKFZp434E2318",0
"DKFZp434E248",0
"DKFZp434F011",0
"DKFZp434F0116",0
"DKFZP434F0318",0
"DKFZp434F0427",0
"DKFZp434F054",0
"DKFZp434F0616",0
"DKFZp434F0621",0
"DKFZp434F075",0
"DKFZp434F097",0
"DKFZp434F1017",0
"DKFZp434F122",0
"DKFZp434F142",0
"DKFZP434F162",0
"DKFZp434F1719",0
"DKFZP434F1735",0
"DKFZp434F1819",0
"DKFZp434F2015",0
"DKFZp434F222",0
"DKFZp434F2427",0
"DKFZp434G0128",0
"DKFZp434G0222",0
"DKFZP434G032",0
"DKFZp434G0326",0
"DKFZp434G0514",0
"DKFZp434G0522",0
"DKFZp434G0625",0
"DKFZp434G0719",0
"DKFZp434G072",0
"DKFZp434G0920",0
"DKFZP434G099",0
"DKFZp434G118",0
"DKFZP434G131",0
"DKFZp434G1411",0
"DKFZP434G1415",0
"DKFZp434G171",0
"DKFZp434G179",0
"DKFZp434G1930",0
"DKFZP434G2226",0
"DKFZp434G232",0
"DKFZp434H0115",0
"DKFZp434H0117",0
"DKFZp434H0311",0
"DKFZp434H0350",0
"DKFZp434H0510",0
"DKFZp434H0512",0
"DKFZp434H052",0
"DKFZp434H0735",0
"DKFZp434H1215",0
"DKFZp434H1220",0
"DKFZp434H1419",0
"DKFZp434H152",0
"DKFZp434H168",0
"DKFZp434H2010",0
"DKFZp434H2215",0
"DKFZp434H2226",0
"DKFZp434H2410",0
"DKFZp434H2450",0
"DKFZp434I042",0
"DKFZp434I062",0
"DKFZp434I0714",0
"DKFZp434I0812",0
"DKFZp434I099",0
"DKFZp434I1019",0
"DKFZp434I1110",0
"DKFZp434I1116",0
"DKFZp434I1117",0
"DKFZp434I1122",0
"DKFZp434I1230",0
"DKFZp434I1610",0
"DKFZp434I1816",0
"DKFZp434I1820",0
"DKFZp434I1930",0
"DKFZp434J0113",0
"DKFZP434J037",0
"DKFZp434J0450",0
"DKFZp434J0617",0
"DKFZp434J087",0
"DKFZp434J1015",0
"DKFZp434J1027",0
"DKFZp434J1521",0
"DKFZp434J1815",0
"DKFZp434J193",0
"DKFZp434K028",0
"DKFZp434K031",0
"DKFZp434K0322",0
"DKFZp434K0410",0
"DKFZp434K0423",0
"DKFZp434K0427",0
"DKFZp434K111",0
"DKFZp434K1115",0
"DKFZp434K114",0
"DKFZP434K1172",0
"DKFZp434K1210",0
"DKFZp434K1235",0
"DKFZp434K1421",0
"DKFZp434K156",0
"DKFZp434K1822",0
"DKFZp434K225",0
"DKFZp434K2323",0
"DKFZp434K2435",0
"DKFZp434L0117",0
"DKFZP434L0117",0
"DKFZp434L0610",0
"DKFZp434L0650",0
"DKFZp434L0718",0
"DKFZp434L0735",0
"DKFZp434L0850",0
"DKFZP434L1021",0
"DKFZp434L1072",0
"DKFZp434L1123",0
"DKFZp434L134",0
"DKFZp434L151",0
"DKFZp434L1550",0
"DKFZp434L1717",0
"DKFZp434L1850",0
"DKFZp434L187",0
"DKFZp434L194",0
"DKFZp434L2050",0
"DKFZp434M0126",0
"DKFZp434M0219",0
"DKFZp434M0223",0
"DKFZp434M0320",0
"DKFZp434M0331",0
"DKFZp434M0572",0
"DKFZp434M0813",0
"DKFZp434M0927",0
"DKFZp434M131",0
"DKFZp434M1526",0
"DKFZp434M182",0
"DKFZp434M1820",0
"DKFZp434N0223",0
"DKFZp434N0250",0
"DKFZp434N031",0
"DKFZp434N035",0
"DKFZp434N035",0
"DKFZp434N0410",0
"DKFZp434N0435",0
"DKFZp434N0535",0
"DKFZp434N061",0
"DKFZp434N0615",0
"DKFZp434N0650",0
"DKFZp434N093",0
"DKFZp434N101",0
"DKFZp434N1010",0
"DKFZp434N1131",0
"DKFZp434N1217",0
"DKFZP434N1235",0
"DKFZp434N127",0
"DKFZp434N1415",0
"DKFZP434N161",0
"DKFZp434N178",0
"DKFZp434N1817",0
"DKFZP434N185",0
"DKFZP434N1923",0
"DKFZp434N2321",0
"DKFZp434N2435",0
"DKFZp434O0213",0
"DKFZp434O0320",0
"DKFZP434O047",0
"DKFZp434O0710",0
"DKFZp434O1221",0
"DKFZp434O1230",0
"DKFZp434O1427",0
"DKFZP434O1427",0
"DKFZp434O171",0
"DKFZp434O1826",0
"DKFZp434O194",0
"DKFZp434O2417",0
"DKFZp434P0116",0
"DKFZp434P0316",0
"DKFZp434P0630",0
"DKFZp434P0714",0
"DKFZp434P072",0
"DKFZp434P078",0
"DKFZp434P101",0
"DKFZp434P116",0
"DKFZp434P1219",0
"DKFZp434P1414",0
"DKFZp434P144",0
"DKFZp434P1735",0
"DKFZP434P1750",0
"DKFZP434P211",0
"DKFZP434P211",0
"DKFZp434P2235",0
"DKFZp434P2326",0
"DKFZp434P2350",0
"DKFZp547A1913",0
"DKFZp547C074",0
"DKFZp547C176",0
"DKFZp547D104",0
"DKFZp547D147",0
"DKFZp547D155",0
"DKFZp547F072",0
"DKFZp547G183",0
"DKFZp547H025",0
"DKFZp547H027",0
"DKFZp547H236",0
"DKFZp547I014",0
"DKFZp547I094",0
"DKFZp547I194",0
"DKFZp547J222",0
"DKFZp547J2313",0
"DKFZp547L112",0
"DKFZp547M236",0
"DKFZp547N043",0
"DKFZp547O146",0
"DKFZp547P082",0
"DKFZp547P193",0
"DKFZP564A022",0
"DKFZp564A063",0
"DKFZp564A1164",0
"DKFZp564A176",0
"DKFZp564B0482",0
"DKFZp564B052",0
"DKFZp564B1023",0
"DKFZP564B1162",0
"DKFZP564B147",0
"DKFZp564B1471",0
"DKFZp564B162",0
"DKFZp564C0464",0
"DKFZp564C047",0
"DKFZp564C1278",0
"DKFZp564C1362",0
"DKFZp564C152",0
"DKFZP564C152",0
"DKFZp564C1616",0
"DKFZp564C196",0
"DKFZp564C2478",0
"DKFZP564D0372",0
"DKFZp564D0478",0
"DKFZp564D066",0
"DKFZp564D0782",0
"DKFZp564D116",0
"DKFZp564D1378",0
"DKFZp564D152",0
"DKFZP564D166",0
"DKFZp564D172",0
"DKFZp564E0178",0
"DKFZp564E1878",0
"DKFZp564E1962",0
"DKFZp564E227",0
"DKFZp564F0522",0
"DKFZp564F1422",0
"DKFZp564F2116",0
"DKFZP564G092",0
"DKFZp564G0982",0
"DKFZp564G1272",0
"DKFZp564G1816",0
"DKFZp564G182",0
"DKFZp564G196",0
"DKFZp564G2022",0
"DKFZp564H1322",0
"DKFZp564I0422",0
"DKFZp564I052",0
"DKFZp564I0682",0
"DKFZp564I2064",0
"DKFZp564I2423",0
"DKFZp564J047",0
"DKFZp564J0863",0
"DKFZp564J102",0
"DKFZp564J1516",0
"DKFZP564J157",0
"DKFZp564J1864",0
"DKFZp564K0164",0
"DKFZp564K0322",0
"DKFZP564K0822",0
"DKFZp564K1216",0
"DKFZp564K142",0
"DKFZp564K1522",0
"DKFZp564K1672",0
"DKFZp564K192",0
"DKFZp564K2364",0
"DKFZP564K247",0
"DKFZp564L023",0
"DKFZp564L1878",0
"DKFZp564L1962",0
"DKFZp564L2362",0
"DKFZP564L2423",0
"DKFZp564M0163",0
"DKFZp564M1462",0
"DKFZp564M1916",0
"DKFZp564M2422",0
"DKFZp564N0582",0
"DKFZP564N1363",0
"DKFZp564N1623",0
"DKFZp564N1916",0
"DKFZP564O0463",0
"DKFZp564O0523",0
"DKFZp564O1278",0
"DKFZP564O1664",0
"DKFZp564P0562",0
"DKFZp564P1263",0
"DKFZp564P1916",0
"DKFZP564P1916",0
"DKFZp566A093",0
"DKFZp566A0946",0
"DKFZP566A1524",0
"DKFZp566B1524",0
"DKFZp566C0424",0
"DKFZp566D133",0
"DKFZp566D1346",0
"DKFZp566D143",0
"DKFZp566D244",0
"DKFZp566E0847",0
"DKFZp566E104",0
"DKFZP566E144",0
"DKFZp566E2324",0
"DKFZP566F0546",0
"DKFZp566F0947",0
"DKFZp566G013",0
"DKFZp566G0346",0
"DKFZp566H0824",0
"DKFZp566I1024",0
"DKFZP566I133",0
"DKFZP566J091",0
"DKFZp566J164",0
"DKFZp566K013",0
"DKFZp566K0524",0
"DKFZp566K113",0
"DKFZp566K144",0
"DKFZp566K1946",0
"DKFZp566L1246",0
"DKFZp566M1046",0
"DKFZp566M114",0
"DKFZp566N1047",0
"DKFZp566N2024",0
"DKFZP566O084",0
"DKFZp566O224",0
"DKFZp566P0524",0
"DKFZP586A011",0
"DKFZP586A0522",0
"DKFZp586A181",0
"DKFZp586B0319",0
"DKFZP586B0319",0
"DKFZP586B1621",0
"DKFZp586B1824",0
"DKFZp586B1920",0
"DKFZp586C051",0
"DKFZp586C1924",0
"DKFZp586D0222",0
"DKFZp586D1022",0
"DKFZp586E041",0
"DKFZp586E1222",0
"DKFZP586E1923",0
"DKFZp586F0424",0
"DKFZp586F1018",0
"DKFZp586F1019",0
"DKFZP586F1524",0
"DKFZp586F1918",0
"DKFZp586G1024",0
"DKFZp586G1123",0
"DKFZp586G1517",0
"DKFZp586G2120",0
"DKFZp586G2122",0
"DKFZp586H0623",0
"DKFZp586H1320",0
"DKFZp586H1322",0
"DKFZp586H1719",0
"DKFZP586H2123",0
"DKFZp586I021",0
"DKFZp586I0418",0
"DKFZp586I111",0
"DKFZp586I1420",0
"DKFZP586I1420",0
"DKFZp586J0624",0
"DKFZp586J1119",0
"DKFZp586J151",0
"DKFZP586J1624",0
"DKFZp586J1923",0
"DKFZP586K0717",0
"DKFZp586K0922",0
"DKFZp586K1520",0
"DKFZp586L0118",0
"DKFZP586M0622",0
"DKFZP586M1120",0
"DKFZp586M2023",0
"DKFZP586N0721",0
"DKFZP586N0819",0
"DKFZp586N1922",0
"DKFZp586O0222",0
"DKFZp586O1422",0
"DKFZp586P0123",0
"DKFZP586P0123",0
"DKFZP586P0123",0
"DKFZP586P0123",0
"DKFZP586P1522",0
"DKFZp667C165",0
"DKFZp667H046",0
"DKFZp667H242",0
"DKFZp667K087",0
"DKFZp667O116",0
"DKFZP686A01247",0
"DKFZP686A01247",0
"DKFZp686D0972",0
"DKFZP686E2158",0
"DKFZP686E2158",0
"DKFZp686L1814",0
"DKFZp727G051",0
"DKFZp727K101",0
"DKFZP727M111",0
"DKFZp727M231",0
"DKFZp761A132",0
"DKFZp761A1623",0
"DKFZp761A19121",0
"DKFZp761B039",0
"DKFZp761B0514",0
"DKFZp761B15121",0
"DKFZp761C07121",0
"DKFZp761C10121",0
"DKFZp761C121",0
"DKFZp761C241",0
"DKFZp761D081",0
"DKFZp761D112",0
"DKFZp761D221",0
"DKFZp761E0611",0
"DKFZp761E10121",0
"DKFZp761E13121",0
"DKFZp761E1824",0
"DKFZp761E198",0
"DKFZp761E198",0
"DKFZp761E198",0
"DKFZP761E2110",0
"DKFZp761F0123",0
"DKFZp761F0324",0
"DKFZp761F2014",0
"DKFZp761F241",0
"DKFZp761G122",0
"DKFZp761G18121",0
"DKFZp761G1913",0
"DKFZp761G2113",0
"DKFZp761G2423",0
"DKFZp761H039",0
"DKFZp761H087",0
"DKFZP761H1710",0
"DKFZp761H172",0
"DKFZp761H2024",0
"DKFZp761H221",0
"DKFZp761I1011",0
"DKFZp761I172",0
"DKFZp761I2123",0
"DKFZp761I2124",0
"DKFZp761I241",0
"DKFZp761J1523",0
"DKFZp761J17121",0
"DKFZp761J191",0
"DKFZp761J197",0
"DKFZp761K0722",0
"DKFZp761K1423",0
"DKFZp761K1824",0
"DKFZp761K2424",0
"DKFZp761L0424",0
"DKFZp761L0812",0
"DKFZp761L08121",0
"DKFZp761M02121",0
"DKFZp761M0423",0
"DKFZp761N0624",0
"DKFZp761N09121",0
"DKFZp761N1024",0
"DKFZp761N1814",0
"DKFZp761O0113",0
"DKFZp761O132",0
"DKFZp761O15121",0
"DKFZp761O17121",0
"DKFZp761P0212",0
"DKFZp761P0710",0
"DKFZp761P1010",0
"DKFZp761P19121",0
"DKFZp762B0211",0
"DKFZp762B2310",0
"DKFZp762B245",0
"DKFZp762D1011",0
"DKFZp762E1112",0
"DKFZp762E1312",0
"DKFZp762G106",0
"DKFZp762H186",0
"DKFZp762K222",0
"DKFZp762L106",0
"DKFZp762M2311",0
"DKFZp762N2316",0
"DKFZp762P2111",0
"DKFZp779O175",0
"DKFZp779O175",0
"DKK1",2.6544
"DKK2",0
"DKK3",8.84
"DKK4",0.3332
"DKKL1",1e-04
"DL492380",0
"DLAT",2.6004
"DLC1",0
"DLC1",0
"DLD",3.9655
"DLEC1",0
"DLEU1",0
"DLEU2",0
"DLEU7",0
"DLG1",15.6545
"DLG1",15.6545
"DLG2",0
"DLG3",0
"DLG4",0
"DLG5",15.4335
"DLG5",15.4335
"DLGAP1",0
"DLGAP2",0
"DLGAP3",0
"DLGAP4",0
"DLGAP5",1.0094
"dlk",0
"DLK1",0
"DLK2",30.6122
"DLL1",6.5151
"DLL3",2e-04
"DLL4",0.0627
"DLM1",0
"DLST",0.001
"DLST",0.001
"DLSTP",0
"DLX1",9e-04
"DLX1",9e-04
"DLX2",15.5676
"DLX2",15.5676
"DLX2",15.5676
"DLX3",26.8814
"DLX3",26.8814
"DLX4",6.5446
"DLX5",22.8055
"DLX6",0
"DMAP1",0.0154
"DMBT1",0.046
"DMBX1",0.0373
"DMC1",5e-04
"DMC1",5e-04
"DMD",0.0392
"DMGDH",0.3506
"DMKN",0
"DMP1",0
"DMPK",0
"DMRT1",0
"DMRT2",0
"DMRT3",0
"DMRT3",0
"DMRTA1",0.1926
"DMRTA2",0
"DMRTB1",0
"DMRTB1",0
"DMRTC1",0
"DMRTC1B",0
"DMRTC2",0
"DMTF1",0.2364
"DMTN",0.0025
"DMWD",22.617
"DMXL1",0.6601
"DMXL2",0.2881
"D0.02",0
"D0.0AF1",0
"D0.0AF2",0.001
"D0.0AF3",0.4358
"D0.0AF5",2.4233
"D0.0H1",0
"D0.0H10",0
"D0.0H11",0.0337
"D0.0H12",0.0277
"D0.0H17",0
"D0.0H2",0.0457
"D0.0H3",0
"D0.0H5",0.0149
"D0.0H6",0.016
"D0.0H7",0
"D0.0H8",0.0072
"D0.0H9",0
"D0.0I1",0
"D0.0I2",0
"D0.0JA1",7.1401
"D0.0JA1",7.1401
"D0.0JA2",17.4387
"D0.0JA3",0.0019
"D0.0JA4",1e-04
"D0.0JB1",165.5915
"D0.0JB11",13.4752
"D0.0JB12",0.6849
"D0.0JB13",0.1211
"D0.0JB14",0.2187
"D0.0JB2",0.0015
"D0.0JB2",0.0015
"D0.0JB3",0
"D0.0JB4",5.3734
"D0.0JB5",14.807
"D0.0JB6",0.0014
"D0.0JB6",0.0014
"D0.0JB6",0.0014
"D0.0JB7",0
"D0.0JB8",0
"D0.0JB9",17.932
"D0.0JC1",5.497
"D0.0JC10",0.9107
"D0.0JC11",0.0056
"D0.0JC11",0.0056
"D0.0JC12",0.2016
"D0.0JC13",5.1181
"D0.0JC14",10.962
"D0.0JC15",15.3669
"D0.0JC16",5.6906
"D0.0JC16",5.6906
"D0.0JC17",0.2503
"D0.0JC18",0.617
"D0.0JC19",0
"D0.0JC2",7e-04
"D0.0JC21",2.7277
"D0.0JC22",0
"D0.0JC24",3.6077
"D0.0JC25",2.0596
"D0.0JC27",1.7069
"D0.0JC28",0.4222
"D0.0JC3",10.349
"D0.0JC30",3.6793
"D0.0JC4",7.6128
"D0.0JC5",16.9507
"D0.0JC5B",0
"D0.0JC5G",0
"D0.0JC6",0.1399
"D0.0JC6",0.1399
"D0.0JC7",0
"D0.0JC8",8.36
"D0.0JC8",8.36
"D0.0JC9",9.0201
"D0.0L1",0.0054
"D0.0L4",16.2585
"D0.0LI1",0
"D0.0PTP6",0
"D0.0se I",0
"D0.0SE1",3.8277
"D0.0SE1L1",34.8002
"D0.0SE1L2",0
"D0.0SE1L3",0.001
"D0.0SE2",9.7242
"D0.0SE2B",0
"DND1",0.1448
"DNER",7.0973
"DNHD1",0.0885
"DNJ3CPR3",0
"DNLZ",20.2595
"DNM1",0
"DNM1L",0
"DNM2",0.1627
"DNM3",0
"DNMBP",18.7958
"DNMT1",1.634
"DNMT3A",1.1892
"DNMT3B",0
"DNMT3L",0
"DNPEP",0.005
"DNPH1",22.0819
"DNPI",0
"DNTT",0
"DNTTIP1",6.6276
"DNTTIP2",7.5552
"DOC2A",0.7111
"DOC2B",0
"DOCK1",2.2217
"DOCK10",0.0024
"DOCK11",0.1032
"DOCK11",0.1032
"DOCK2",0
"DOCK3",0.6932
"DOCK4",0
"DOCK4",0
"DOCK5",0.7998
"DOCK6",4.6489
"DOCK8",0
"DOCK9",1.4737
"DOHH",3.1532
"DOK1",0.1012
"DOK2",0
"DOK3",0.1906
"DOK4",15.844
"DOK4",15.844
"DOK5",0
"DOK6",0
"DOK7",1e-04
"DOKDEL",0
"DOLK",2.0209
"DOLPP1",5.2172
"DOM3Z",0
"DONSON",12.7527
"DONSON",12.7527
"DOPEY1",2.2963
"DOPEY2",3.8215
"Dorfin",0
"DORFIN",0
"DOT1L",0.231
"DP103",0
"DPAGT1",6.1503
"DPCD",29.025
"DPCR1",0.1189
"DPEP1",0.2972
"DPEP2",0
"DPF1",7e-04
"DPF2",1.8461
"DPF3",0
"DPH1",3.7596
"DPH2",4e-04
"DPH3",0.0073
"DPH3P1",0.4712
"DPH5",0.485
"DPH6",2.9895
"DPH7",3.8087
"DPM1",5.0533
"DPM2",10.1164
"DPM3",64.1407
"DPP10",0
"DPP3",0.0034
"DPP4",4.3078
"DPP6",0
"DPP7",14.4803
"DPP8",1e-04
"DPP9",0
"DPPA2",0
"DPPA3",0
"DPPA3P1",0
"DPPA4",0
"DPPA5",0
"DPRX",0
"DPT",0
"DPY19L1",0.4755
"DPY19L2",0
"DPY19L2P1",0
"DPY19L2P2",0
"DPY19L2P4",0
"DPY19L3",0.2159
"DPY19L4",5.9646
"DPY30",11.7167
"DPYD",0.1425
"DPYD",0.1425
"DPYS",0
"DPYSL2",3.0013
"DPYSL3",0.3738
"DPYSL4",2.6048
"DPYSL5",0
"DQ680071",0
"DQX1",0.5816
"DR1",50.9906
"DR1",50.9906
"DR3",0
"DR422536",0
"DR760832",0
"DRAM1",0.6279
"DRAM2",9.9513
"DRAP1",23.1235
"DRAXIN",0
"DRC1",0.0883
"DRC3",0.0563
"DRC7",6e-04
"DRCTNNB1A",0
"DRD1",0
"DRD2",8e-04
"DRD3",0
"DRD4",0
"DRD4",0
"DRD5",0
"DRD5",0
"DREV1",0
"DRG1",20.7246
"DRG2",2.4812
"DRGX",0
"DRICH1",0
"DRIL2",0
"DRIP80",0
"DRIP92",0
"DRM",0
"DROSHA",0.318
"DRP2",0
"DRPLA",0
"DRT",0
"DRY12",0
"DSC1",21.687
"DSC2",73.5895
"DSC3",326.753
"DSCAM",8e-04
"DSCAML1",0
"DSCC1",2.5883
"DSCR1",0
"DSCR1L2",0
"DSCR1L2",0
"DSCR3",5.6514
"DSCR4",0
"DSCR5b",0
"DSCR6",0
"DSE",17.9145
"DSG1",39.289
"DSG2",42.2003
"DSG3",221.4605
"DSG4",0.2277
"DSIPI",0
"DSN1",0.0035
"DSP",484.346
"DSPG3",0
"DSPP",0
"DST",1.3134
"DSTN",15.6534
"DSTYK",0.0083
"DTD1",13.686
"DTD2",11.9702
"DTHD1",0
"DTL",0.5573
"DTN-B2",0
"DT0.0",0
"DT0.0",0
"DTNB",2.9968
"DTNB",2.9968
"DTNBP1",0
"DTWD1",1.3489
"DTWD2",0.4223
"DTX1",0
"DTX2",0
"DTX3",7.7028
"DTX3L",3.025
"DTX4",4.4662
"DTYMK",5e-04
"DUOX1",15.8745
"DUOX2",2.2917
"DUOXA1",11.5714
"DUOXA2",0.3241
"DUPD1",0
"DUS1L",3.8152
"DUS2",2.1358
"DUS2L",0
"DUS3L",2.3497
"DUS4L",1.2311
"DUSP1",195.3575
"DUSP10",1.8951
"DUSP10",1.8951
"DUSP12",12.4203
"DUSP13",0.007
"DUSP14",75.4885
"DUSP15",0
"DUSP16",5.7738
"DUSP18",5.9331
"DUSP19",1e-04
"DUSP2",0.957
"DUSP2",0.957
"DUSP21",0
"DUSP22",4.2728
"DUSP23",35.3356
"DUSP26",0
"DUSP27",0
"DUSP28",5.1665
"DUSP3",17.1904
"DUSP4",4.0692
"DUSP5",34.0369
"DUSP6",6.8654
"DUSP7",157.817
"DUSP8",0.897
"DUSP9",0.5568
"DUT",28.5307
"DUX1",0
"DUX2",0
"DUX3",0
"DUX4",0
"DUX4L2",0
"DUX4L24",0
"DUX4L3",0
"DUX4L4",0
"DUX4L5",0
"DUX4L6",0
"DUX4L7",0
"DUXA",0
"DVL1",41.3615
"DVL1",41.3615
"DVL2",0.1775
"DVL3",7.4095
"DVL3",7.4095
"DVS27",0
"DXO",0.5885
"DXS6984E",0
"DXS9879E",0
"DYDC1",0
"DYDC2",0
"DYM",2.4726
"DYM",2.4726
"DY0.0P",0
"DYNC1H1",12.9441
"DYNC1I1",0
"DYNC1I1",0
"DYNC1I2",0.002
"DYNC1LI1",12.9776
"DYNC1LI2",13.775
"DYNC2H1",1.2597
"DYNC2H1",1.2597
"DYNC2LI1",0.5743
"DYNLL1",287.009
"DYNLL1",287.009
"DYNLL1-AS1",0
"DYNLL2",32.5688
"DYNLRB1",44.8461
"DYNLRB2",0.3188
"DYNLT1",49.3477
"DYNLT3",9.8335
"DYRK1A",6.5467
"DYRK1B",9.9523
"DYRK2",1.2663
"DYRK3",1.8509
"DYRK3",1.8509
"DYRK4",0
"DYSF",0
"DYSF",0
"dystrophin",0
"DYTN",0
"DYX1C1",0
"DZANK1",1e-04
"DZIP1",0.013
"DZIP1L",0.0612
"DZIP3",1.9004
"E2F1",0.4853
"E2F2",0.2019
"E2F2",0.2019
"E2F3",0.3361
"E2F4",21.5069
"E2F4",21.5069
"E2F5",0.4512
"E2F6",5e-04
"E2F7",3.3527
"E2F8",1e-04
"E2IG3",0
"E2IG4",0
"E2IG5",0
"E2k",0
"E4F1",2.8206
"EAA3",0
"Eab1",0
"EAF1",1.5401
