"Gene","STAT1"
"A2ML1",0.26396462
"AACS",-0.043564801
"AADACL1",-1.313302245
"AADAT",-0.205369162
"AARS",6.786250193
"AASDH",0.059440852
"AASS",0.123421142
"AATF",-0.108000712
"AATK",0.222975429
"ABAT",-2.774196902
"ABCA1",0.013774904
"ABCA12",-3.921034533
"ABCA2",0.25496319
"ABCA5",0.035732441
"ABCC4",0.083349887
"ABCG1",-0.408989384
"ABCG4",0.374161159
"ABHD1",-0.302141051
"ABHD10",0.098438854
"ABHD11",0.227419831
"ABHD3",-0.293737449
"ABHD6",-1.538802813
"ABHD7",-0.043265745
"ABHD9",-0.060131205
"ABI1",-0.933899192
"ABI2",-0.002765312
"ABI3",0.747536386
"ABL1",0.004433832
"ABL2",0.306926634
"ABLIM1",0.165828432
"ABLIM2",0.45844811
"ABLIM3",0.472847129
"ABO",0.20128504
"ABR",0.152992582
"ABRA",0.904651259
"ABT1",0.135438033
"ACAA1",0.566500279
"ACAA2",-1.237108424
"ACAD8",-0.079645676
"ACBD3",0.097678032
"ACBD5",-0.081957494
"ACBD6",0.030053746
"ACBD7",1.600101154
"ACE",-0.17258967
"ACE2",-0.063790235
"ACN9",0.171477178
"ACO1",0.034986702
"ACOT8",-0.782001404
"ACOT9",-0.093172746
"ACOX1",-2.082899399
"ACP1",0.704079265
"ACP2",0.02303582
"ACPP",0.241334755
"ACRV1",0.759697822
"ACSL1",2.65707262
"ACSL3",0.568899802
"ACSL6",0.50527916
"ACSS2",1.150362
"ACTA1",0.104831973
"ACTA2",0.533774291
"ACTG2",-0.47538075
"ACTL6A",-0.05134059
"ACTL6B",1.147124359
"ACTL7B",-0.01279451
"ACTR3",0.284653449
"ACTR3B",-0.35438058
"ACTR5",-0.000963243
"ACTR8",0.322094083
"ACVR1",-0.459872298
"ACVR1B",2.26141208
"ACVR2B",0.619688572
"ACVRL1",0.143214493
"ADA",-0.400357909
"ADAM33",-0.191738968
"ADAM9",-4.764213924
"ADAMDEC1",-0.016626444
"ADAMTS1",0.265559558
"ADAMTS3",0.449147351
"ADAMTS6",0.557594248
"ADAMTS9",0.721125476
"ADAMTSL1",0.279842523
"ADAMTSL3",0.41486906
"ADAMTSL4",-0.042482967
"ADARB1",-0.268099202
"ADC",0.062807001
"ADCK1",0.270925049
"ADCK2",0.60062686
"ADCY2",0.122947828
"ADCY3",-0.29842854
"ADD1",0.116844527
"ADD3",0.438406126
"ADM",0.017194877
"ADNP",1.674574496
"ADORA2A",-1.133814374
"ADPRH",0.558333797
"ADRB1",1.051954572
"ADRB2",-0.072416155
"ADRBK1",-0.023779464
"ADRM1",0.048472907
"ADSSL1",0.302012024
"AEBP1",0.410605783
"AEBP2",-0.28476579
"AES",-0.956514857
"AFAR3",-0.041106956
"AFF1",0.209621683
"AFF3",0.672881495
"AFF4",-0.051925391
"AGER",0.053337467
"AGGF1",0.212135268
"AGPAT3",0.390116627
"AGPAT6",0.672472157
"AGR2",-0.884033774
"AGRIN",3.156627155
"AGRP",1.237715225
"AGT",0.439001356
"AGTR1",0.281295882
"AGXT2L2",-0.21678082
"AHCTF1",0.310188162
"AHCY",0.064680096
"AHCYL1",0.151560542
"AHDC1",0.45013699
"AHR",-3.125957632
"AHRR",0.288623783
"AIFM3",0.235970002
"AIG1",-0.080936282
"AIM1",-0.31760541
"AIM1L",-0.214249224
"AIP",-0.363365884
"AIRE",0.566460945
"AJAP1",0.841894312
"AK2",0.594857303
"AK3",0.170629667
"AK5",0.616524196
"AKAP12",0.325273209
"AKAP13",0.556742109
"AKAP7",-0.065878569
"AKAP8L",-0.401124757
"AKAP9",0.481304598
"AKNA",0.689265279
"AKR1A1",-0.192746686
"AKR1C1",-0.113455984
"AKR1C3",-1.13668948
"AKT3",0.369677185
"ALDH1A3",0.001637421
"ALDH1B1",-0.630785484
"ALDH1L2",-0.014698615
"ALDH3A1",0.454500972
"ALDH3A2",0.046515835
"ALDH3B2",-0.424868891
"ALDH4A1",-0.099
"ALDH6A1",0.305493955
"ALDH7A1",-0.139812634
"ALDH9A1",-1.61233213
"ALG13",-1.94622835
"ALG2",-1.516472385
"ALG9",0.907116108
"ALK",0.129107748
"ALKBH4",0.279850694
"ALMS1",0.161884371
"ALOX15B",-0.130557201
"ALOX5AP",0.299418436
"ALOXE3",0.389746369
"ALPI",0.142134921
"ALS2CR13",0.765759269
"ALS2CR8",0.222981311
