"Gene","PBX1"
"ADA",-0.593
"ADAD1",0
"ADAD2",0
"ADAL",0
"ADAM10",0
"ADAM11",0
"ADAM12",0
"ADAM15",0
"ADAM17",0
"ADAM18",0
"ADAM19",0
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0
"ADAM23",0
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",-0.1602
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",0
"ADAM9",-5.3954
"ADAM9",0.0996
"ADAMDEC1",-0.687
"ADAMTS1",0.1786
"ADAMTS1",-0.011
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0
"ADAMTS14",0
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",0
"ADAMTS3",0.0623
"ADAMTS3",0.1147
"ADAMTS4",0
"ADAMTS5",0
"ADAMTS6",0.0232
"ADAMTS6",0.0463
"ADAMTS7",0
"ADAMTS8",0
"ADAMTS9",-0.1123
"ADAMTS9",-0.3684
"ADAMTSL1",-0.133
"ADAMTSL1",-0.0568
"ADAMTSL2",0
"ADAMTSL3",0.0951
"ADAMTSL3",-0.0212
"ADAMTSL4",-0.2046
"ADAMTSL4",-0.12
"ADAMTSL4",-0.3668
"ADAMTSL5",0
"ADAP1",0
"ADAP2",0
"ADAR",0
"ADAR3",0
"ADARB1",1.3586
"ADARB1",-0.082
"ADARB2",0
"ADAT1",0
"ADAT2",0
"ADAT3",0
"ADC",-0.3613
"ADC",-0.1729
"ADCK1",-0.161
"ADCK2",-0.4608
"ADCK2",-0.5307
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",-0.2868
"ADCY3",-0.745
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",0
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",-0.5001
"ADD1",-0.7277
"ADD2",0
"ADD3",0.4963
"ADD3",-0.7667
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
