"Gene","MPZL3"
"ACTR3B",2.757
"ACTR3B",2.757
"ACTR3C",0.2307
"ACTR5",3.8107
"ACTR6",0.3778
"ACTR8",2.2022
"ACTRT1",0
"ACTRT2",0.5769
"ACTRT3",1.1721
"ACVR1",3.8753
"ACVR1B",0.0021
"ACVR1B",0.0021
"ACVR1C",0
"ACVR2A",2.4612
"ACVR2B",0.4406
"ACVRL1",2e-04
"ACVRL1",2e-04
"ACY1",0
"ACY3",0.4274
"ACYP1",4.0613
"ACYP2",2.5305
"AD013",0
"AD023",0
"AD3LPAD5",0
"AD7C-NTP",0
"ADA",7.2316
"ADAD1",3e-04
"ADAD2",0.2526
"ADAL",2.6807
"ADAM10",0.0312
"ADAM11",0.1348
"ADAM12",0.3676
"ADAM15",1.3302
"ADAM17",3.4999
"ADAM18",0
"ADAM19",0.2634
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0.0014
"ADAM23",0.6617
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",0
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",6e-04
"ADAM9",0
"ADAM9",0
"ADAMDEC1",7e-04
"ADAMTS1",3.9525
"ADAMTS1",3.9525
"ADAMTS10",11.3482
"ADAMTS12",0.6429
"ADAMTS13",0.3324
"ADAMTS14",0.372
"ADAMTS15",3.1694
"ADAMTS16",0.3439
"ADAMTS17",0.568
"ADAMTS18",0.4611
"ADAMTS19",0
"ADAMTS2",3.8289
"ADAMTS3",0.2086
"ADAMTS3",0.2086
"ADAMTS4",0.3974
"ADAMTS5",2.2301
"ADAMTS6",0.2637
"ADAMTS6",0.2637
"ADAMTS7",0.7909
"ADAMTS8",0.6386
"ADAMTS9",0.0054
"ADAMTS9",0.0054
"ADAMTSL1",0.2091
"ADAMTSL1",0.2091
"ADAMTSL2",0.6491
"ADAMTSL3",1.3258
"ADAMTSL3",1.3258
"ADAMTSL4",1.3933
"ADAMTSL4",1.3933
"ADAMTSL4",1.3933
"ADAMTSL5",2.3982
"ADAP1",5.1502
"ADAP2",1.0192
"ADAR",0
"ADAR3",0
"ADARB1",1.2816
"ADARB1",1.2816
"ADARB2",0.0884
"ADAT1",6.036
"ADAT2",2.6175
"ADAT3",19.4397
"ADC",0
"ADC",0
"ADCK1",0
"ADCK2",25.0572
"ADCK2",25.0572
"ADCK5",1.2093
"ADCY1",0.1624
"ADCY10",0.1263
"ADCY2",1.2603
"ADCY3",2.3893
"ADCY4",8.8718
"ADCY5",0.2169
"ADCY6",1.0541
"ADCY7",1.0199
"ADCY8",1e-04
"ADCY9",3.427
"ADCYAP1",0.4713
"ADCYAP1R1",1e-04
"ADD1",84.0299
"ADD1",84.0299
"ADD2",1.652
"ADD3",1.679
"ADD3",1.679
"ADGB",0.1011
"ADGRA1",0.3218
"ADGRA2",15.0859
"ADGRA3",0
"ADGRB1",2.5532
"ADGRB2",0
"ADGRB3",1e-04
"ADGRD1",1.6396
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0.1435
"ADGRE3",0.068
"ADGRE5",0
"ADGRF1",0.4077
"ADGRF2",0
"ADGRF3",0.0055
"ADGRF4",6.5896
"ADGRF5",1.7839
"ADGRG1",13.4771
"ADGRG2",0
"ADGRG3",6e-04
"ADGRG4",0
"ADGRG5",0.1171
"ADGRG7",0
"ADGRL1",0.1851
"ADGRL2",0.5408
"ADGRL3",2.1096
"ADGRL4",1.8528
"ADGRV1",0.015
"ADH1",0
"ADH1A",0
"ADH1B",7.9784
"ADH1C",0
"ADH2",0
"ADH4",0.5275
"ADH5",2.5044
"ADH6",0
"ADH7",0
"ADHFE1",1.9728
"ADI1",64.7836
"ADIG",0.4134
"ADIPOQ",2.6635
"ADIPOR1",12.7231
"ADIPOR2",59.3182
"ADIR",0
"ADIRF",1543.38
"ADK",0
"adk2",0
"ADM",39.8837
"ADM2",1.1043
"ADM5",9.0866
"ADMR",0
"ADNP",11.0821
"ADNP",11.0821
"ADNP2",1.8539
"ADO",2.4633
"ADORA1",2.572
"ADORA2A",0.6286
"ADORA2A",0.6286
"ADORA2B",1.3936
"ADPGK",1.5277
"ADPRH",2.082
"ADPRHL1",1.0567
"ADPRHL2",34.1848
"ADPRM",2.3164
"ADPRT3",0
"ADRA1A",0
"ADRA1B",1.1429
"ADRA1D",0.4759
"ADRA2B",1.0714
"ADRA2C",4.6748
"ADRB1",0
"ADRB2",0
"ADRB3",0.4798
"ADRBK1",0
"ADRM1",208.531
"ADRM1",208.531
"ADSL",5.6243
"ADSS",3.363
"ADSSL1",11.4732
"ADTRP",5.2603
"AEBP1",65.5434
"AEBP1",65.5434
"AEBP2",1e-04
"AEBP2",1e-04
"AEGL1",0
"AEN",8.6046
"AES",0.9232
"AES",0.9232
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",2.5585
"AFAP1L1",1.7322
"AFAP1L2",2.2445
"AFAR3",0
"AFDN",7.2133
"AFF1",0.0264
"AFF1",0.0264
"AFF1",0.0264
"AFF2",0.0017
"AFF3",0.6106
"AFF4",2.5599
"AFF4",2.5599
"AFG3L2",7.9981
"AFM",0
"AFMID",1.6464
"AFP",0.7174
"AFTPH",10.4005
"AGA",1e-04
"AGAP1",4.2274
"AGAP11",6.6381
"AGAP2",0.9663
"AGAP3",5.3775
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0.0712
"AGBL2",0.3559
"AGBL3",0
"AGBL4",0.012
"AGBL5",0.7849
"AGC1",0
"AGER",0
"AGFG1",0.0013
"AGFG2",10.2003
"AGGF1",13.6671
"AGGF1",13.6671
"AGK",5.594
"AGL",1.0138
"AGMAT",0.3972
"AGMO",0
"AGO1",1.1804
"AGO2",2.7686
"AGO3",3e-04
"AGO4",8.2045
"AGPAT1",10.8362
"AGPAT2",8e-04
"AGPAT3",31.2044
"AGPAT3",31.2044
"AGPAT4",1.122
"AGPAT4-IT1",0
"AGPAT5",3.3953
"AGPAT6",0
"AGPAT6",0
"AGPAT9",0
"AGPS",0.3456
"AGR2",16.4935
"AGR3",0.4285
"AGRIN",0
"AGRIN",0
"AGRN",13.5913
"AGRP",0.8357
"AGS1",0
"AGT",0.2043
"AGTPBP1",0.8052
"AGTR1",0.829
"AGTR1B",0
"AGTR2",0.2637
