"Gene","SP3"
"APOBEC3F",0.624375838
"APOBEC3G",-0.196668476
"APOC1",0.567501253
"APOC3",-0.322081899
"APOC4",0.541249131
"APOE",0.820871369
"APOL6",0.383989856
"APP",1.879483551
"APPBP2",-0.239093258
"AQP12A",0.143254416
"AQP2",0.126646778
"AQP3",0.109856377
"AQP6",0.410184652
"AQP9",-0.207343304
"AR",0.128468426
"AREG",0.114675774
"ARF4",0.38407082
"ARF6",0.109587424
"ARFGEF1",0.889822001
"ARFGEF2",0.106149959
"ARHGAP11A",-0.184420719
"ARHGAP12",0.261608101
"ARHGAP18",0.324663368
"ARHGAP21",-0.382137768
"ARHGAP22",4.25554022
"ARHGAP24",-0.067629115
"ARHGAP25",-4.00522205
"ARHGAP5",-0.131703806
"ARHGAP9",0.062771543
"ARHGDIG",0.234718343
"ARHGEF1",0.189307703
"ARHGEF10",-0.364848546
"ARHGEF11",-0.05974534
"ARHGEF12",-0.036561262
"ARHGEF16",-0.693928914
"ARHGEF18",-0.249220262
"ARHGEF19",-0.169424523
"ARHGEF2",-0.671073211
"ARHGEF4",-0.194515542
"ARHGEF5",-3.246746002
"ARID1A",-0.093156264
"ARID1B",0.066429461
"ARID2",0.212605313
"ARID3A",0.320776323
"ARID3B",0.439558257
"ARID4A",-0.251409251
"ARID4B",-0.427596649
"ARID5A",0.301916185
"ARID5B",-0.269696347
"ARIH1",-0.096963465
"ARL13B",-0.045759535
"ARL15",-0.339076516
"ARL2",-0.761530677
"ARL4A",-0.580479694
"ARL4C",-3.610375665
"ARL6IP4",-0.047747985
"ARL6IP5",1.273401284
"ARL8A",0.430593324
"ARL8B",0.685132396
"ARMC6",-1.012123894
"ARMC8",-0.384244863
"ARMC9",-1.084526745
"ARMCX1",-3.213076385
"ARMCX2",-3.311168103
"ARMET",-0.13846568
"ARNT",-0.388487635
"ARNT2",0.172068185
"ARNTL",-0.152375851
"ARNTL2",1.164578758
"ARPM1",0.000198978
"ARRB1",-0.28480794
"ARRB2",-6.600511758
"ARRDC1",-0.192025903
"ARRDC3",-0.413469304
"ARRDC4",-1.027217863
