"Gene","SOX6"
"ADIPOR1",0
"ADIPOR2",0
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",-0.0618
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",1.4209
"ADNP",-0.0419
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",-1.1741
"ADORA2A",-0.1075
"ADORA2B",0
"ADPGK",0
"ADPRH",-0.0053
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",0.2946
"ADRB2",-0.1857
"ADRB3",0
"ADRBK1",-0.4767
"ADRM1",0.1106
"ADRM1",0.0833
"ADSL",0
"ADSS",0
"ADSSL1",0.6254
"ADTRP",0
"AEBP1",0.7257
"AEBP1",0.0178
"AEBP2",-0.0238
"AEBP2",1.835
"AEGL1",0
"AEN",0
"AES",1.0713
"AES",0.1175
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",-0.2426
"AFDN",0
"AFF1",0.0378
"AFF1",-0.1609
"AFF1",0.3695
"AFF2",0
"AFF3",-0.0801
"AFF4",-0.2008
"AFF4",-0.1939
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",-0.2506
"AGFG1",0
"AGFG2",0
"AGGF1",-0.1919
"AGGF1",0.4449
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",-0.1639
"AGPAT3",1.1474
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",-0.2343
"AGPAT6",0.0019
"AGPAT9",0
"AGPS",0
"AGR2",-1.7105
"AGR3",0
"AGRIN",2.4405
"AGRIN",-0.1806
"AGRN",0
"AGRP",0.2826
"AGS1",0
"AGT",0.0264
"AGTPBP1",0
"AGTR1",-0.0899
"AGTR1B",0
"AGTR2",0
"AGTRAP",0
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",-0.3735
"AHCTF1",0.4069
"AHCTF1",0.4718
"AHCY",-0.0644
"AHCY",-0.1104
"AHCYL1",0.2113
"AHCYL2",0
"AHDC1",0.3969
"AHDC1",0.1281
"AHI1",0
"AH0.0K",0
"AH0.0K2",0
"AHR",-2.5776
"AHRR",0.2119
"AHSA1",0
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0
"AIDA",0
"aie-75",0
"AIF1",0
"AIF1L",0
"AIFM1",0
"AIFM2",0
"AIFM3",0.1511
"AIG1",-0.1572
"aik2",0
"aik3",0
"AIM1",-0.2223
"AIM1L",0.5572
"AIM2",0
"AIMP1",0
"AIMP2",0
"AIP",-0.1296
"AIP",-0.0106
"AIP-1",0
"AIPC",0
"AIPL1",0
"AIRE",0.5236
"AIRE",0.1758
"airm",0
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",0.6419
"AJUBA",0
"AK000085",0
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",0
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",0
"AK021554",0
"AK021570",0
"AK021595",0
"AK021606",0
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",0
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",0
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",0
"AK022268",0
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",0
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",0
"AK023048",0
"AK023086",0
"AK023391",0
"AK023400",0
"AK023412",0
"AK023472",0
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",0
"AK023774",0
"AK023831",0
"AK023892",0
"AK023954",0
"AK024147",0
"AK024243",0
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",0
"AK024900",0
"AK024926",0
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
"AK025669",0
"AK025887",0
"AK026020",0
"AK026418",0
"AK026477",0
"AK026517",0
"AK026896",0
"AK026903",0
"AK027091",0
"AK027173",0
"AK027209",0
"AK027315",0
"AK027541",0
"AK027667",0
"AK054718",0
"AK054840",0
"AK054895",0
"AK055438",0
"AK055501",0
"AK055821",0
"AK056630",0
"AK056744",0
"AK057088",0
"AK057576",0
"AK057652",0
"AK074144",0
"AK074181",0
"AK074696",0
"AK090397",0
"AK090405",0
"AK090407",0
"AK090463",0
"AK090477",0
"AK090897",0
"AK091057",0
"AK091308",0
"AK091744",0
"AK092349",0
"AK092379",0
"AK092468",0
"AK092668",0
"AK092810",0
"AK093416",0
"AK093532",0
"AK093987",0
"AK094154",0
"AK094175",0
"AK094334",0
"AK094447",0
"AK094623",0
"AK095167",0
"AK095300",0
"AK095583",0
"AK095707",0
"AK095791",0
"AK096241",0
"AK096250",0
"AK096500",0
"AK096674",0
"AK096677",0
"AK097085",0
"AK097197",0
"AK097322",0
"AK097472",0
"AK098081",0
"AK098134",0
"AK098220",0
"AK098427",0
"AK098478",0
"AK098511",0
"AK098597",0
"AK1",0
"AK123483",0
"AK123627",0
"AK123765",0
"AK123861",0
"AK124166",0
"AK124173",0
"AK124263",0
"AK124281",0
"AK124352",0
"AK124426",0
"AK124470",0
"AK124841",0
"AK124941",0
"AK125129",0
"AK126329",0
"AK128103",0
"AK128396",0
"AK128559",0
"AK128814",0
"AK129547",0
"AK129956",0
"AK130099",0
"AK130644",0
"AK130891",0
"AK2",-0.4316
"AK2",1.2092
"AK3",-0.1019
"AK304575",0
"AK3L1",0
"AK4",0
"AK5",0.2165
"AK5",0.5109
"AK6",0
"AK7",0
"AK8",0
"AK9",0
"AKAIN1",0
"AKAP1",0
"AKAP10",0
"AKAP11",0
"AKAP12",-0.0923
"AKAP13",0.2094
"AKAP13",-0.7788
"AKAP14",0
"AKAP17A",0
"AKAP2",0
"AKAP3",0
"AKAP4",0
"AKAP5",0
"AKAP6",0
"AKAP7",0.4433
"AKAP8",0
"AKAP8L",-0.481
"AKAP9",-2.8967
"AKAP9",-0.143
"AKD1",0
"AKIP1",0
"AKIRIN1",0
"AKIRIN2",0
"AK0.0",0.3338
"AK0.0D1",0
"AKR1A1",-0.32
"AKR1B1",0
"AKR1B10",0
"AKR1B15",0
"AKR1C1",0.5333
"AKR1C1",0.9635
"AKR1C1",0.5568
"AKR1C2",0
"AKR1C3",-2.8396
"AKR1C4",0
"AKR1D1",0
"AKR1E2",0
"AKR7A2",0
"AKR7A3",0
"AKT1",0
"AKT1S1",0
"AKT2",0
"AKT3",0.1843
"AKT3",-0.2518
"AKTIP",0
"AL049390",0
"AL050122",0
"AL050185",0
"AL079294",0
"AL080082",0
"AL080232",0
"AL109784",0
"AL134462",0
"AL137318",0
"AL137400",0
"AL359650",0
"AL390143",0
"AL390214",0
"AL832142",0
"AL832146",0
"AL832806",0
"AL832820",0
"AL833114",0
"AL833452",0
"AL833696",0
"AL834280",0
"ALAD",0
"ALAS1",0
"ALAS2",0
"ALB",0
"ALCAM",0
"ALDH1",0
"ALDH12",0
"ALDH16A1",0
"ALDH18A1",0
"ALDH1A1",0
"ALDH1A2",0
"ALDH1A3",0.8796
"ALDH1A3",-0.6248
"ALDH1B1",-0.7244
"ALDH1B1",-0.4279
"ALDH1L1",0
"ALDH1L2",0.0791
"ALDH2",0
"ALDH3A1",0.7476
"ALDH3A2",0.7439
"ALDH3B1",0
"ALDH3B2",-0.0975
"ALDH4A1",-0.993
"ALDH4A1",-2.4336
"ALDH5",0
"ALDH5A1",0
"ALDH6A1",0.3108
"ALDH7A1",-0.446
"ALDH8A1",0
"ALDH9A1",-0.0767
"ALDOA",0
"ALDOAP2",0
"ALDOB",0
"ALDOC",0
"ALEX3",0
"ALG1",0
"ALG10",0
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",0.2807
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",-0.4984
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",-0.311
"ALG9",0.0103
"ALK",-0.0204
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",0.5575
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",0.4115
"ALMS1",0.1702
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",-7.6607
"ALOX5",0
"ALOX5AP",-0.186
"ALOX5AP",0.2054
"ALOXE3",0.261
"alpha-CP1",0
"ALPI",0.6222
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",0.183
"ALS2CR13",0.0252
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.1399
"ALS2CR8",0.0638
"ALX1",0
"ALX3",-0.6561
"ALX4",0
"ALYREF",0
"AMAC1L2",-0.1315
"AMACR",-0.1303
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.4159
"AMHR2",0
"AMIGO1",0
"AMIGO2",-0.3199
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-0.5406
"AMOT",-0.1239
"AMOTL1",0
"AMOTL2",0.2075
"AMPD1",0
"AMPD2",0
"AMPD3",0.6101
"AMPD3",-2.7668
"AMPH",0
"AMPK gamma2",0
"AMT",0.2035
"AMT",0.2889
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",-0.5877
"AMZ2",0
"A0.0PC1",-0.0483
"A0.0PC10",0
"A0.0PC11",-0.1274
"A0.0PC13",0.0177
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.0991
"A0.0PC5",0.0045
"A0.0PC7",-0.0937
"A0.0PC7",-0.2764
"ANG",0.4211
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
