"","Gene","KLF","ZNF","ACTL","GRHL","MLL2","SNAI2_Over","SNAI2_Knockdown","DMNT1","CBX4_Over","CBX4_Knockdown","MAFB1","MPZL3","FDXR","TINCR"
"9871","FSD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375959,0.4921155,NA
"9872","FSD1L",NA,NA,NA,0.043971776273594,-0.0799627393810739,NA,NA,NA,NA,NA,NA,0.0119785215,0.02137752,NA
"9873","FSD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000235966,0,NA
"9874","FSHB",0.017156826,0.015534906,0.00248163392665717,NA,NA,-1.16022613504623,-0.234018192811218,0.111897136657165,NA,NA,-0.0128393422705975,0.138012,0,0.107293939545685
"9875","FSHPRH1",-0.049680988,-0.012859869,0.0172460319747818,NA,NA,-1.11809305029406,-0.291887527625822,-1.10595545095068,NA,NA,-0.0784854139587646,NA,NA,-0.120881492662885
"9876","FSHR",-0.006038117,0.165063259,-0.0491242081680973,NA,NA,5.69790979581836,-1.55157111372113,0.108588577846128,NA,NA,-0.0173440643977969,NA,NA,0.0715469794894407
"9877","FSIP1",NA,NA,NA,NA,NA,NA,NA,NA,-2.2378272575,NA,NA,0,0.15472,NA
"9878","FSP-2",0.00178488,-0.05813248,0.0299465979468566,NA,NA,-0.491718133927162,0.910473861945257,-0.15405389686102,NA,NA,-0.0788365201392889,NA,NA,-0.115694987346149
"9879","FST",0.035296635,0.230071354,0.023961682013634,NA,NA,0.05596306893522,-0.0677396213414,-2.73008008962255,-7.5099340385,NA,-0.333404673667195,40.7628,16.967195,-1.02022024702675
"9880","FSTL1",-0.004600192,-0.013419273,-0.170656725590528,NA,NA,-0.792084982838066,0.105733832967549,0.248372238063945,NA,NA,0.0391392783828758,6.56149,10.68770078,-0.227518859285566
"9881","FSTL3",NA,NA,NA,NA,NA,NA,NA,NA,1.973669206,NA,NA,0.654602,39.7775,NA
"9882","FSTL4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.472671,0.4393075,NA
"9883","FSTL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0157131,0,NA
"9884","FT005",0.072411947,0.027058738,0.0196108941098921,NA,NA,-0.639285613821168,-0.195264369885562,0.491392899187851,NA,NA,0.000388901209263732,NA,NA,-0.0104354912669015
"9885","FTCD",0.011949561,0.010153386,0.00016522200322498,NA,NA,0.0274638967236135,-0.324387640761376,0.106477668141164,NA,NA,0.021642765467823,0.00500369,0,0.103148259529821
"9886","FTCD",0.011949561,0.010153386,0.00016522200322498,NA,NA,0.0274638967236135,-0.324387640761376,0.106477668141164,NA,NA,0.021642765467823,0.00500369,0,0.155255494856338
"9887","FTCD",0.011949561,0.010153386,0.00016522200322498,NA,NA,0.0274638967236135,-0.324387640761376,0.106477668141164,NA,NA,0.021642765467823,0.00500369,0,0.433351605350196
"9888","FTCD",0.011949561,0.010153386,0.00016522200322498,NA,NA,0.0274638967236135,-0.324387640761376,0.106477668141164,NA,NA,0.021642765467823,0.00500369,0,0.273145802703517
"9889","FTCD",0.011949561,0.010153386,0.00016522200322498,NA,NA,0.0274638967236135,-0.324387640761376,0.106477668141164,NA,NA,0.021642765467823,0.00500369,0,0.265098427706757
"9890","FTH1",NA,NA,NA,NA,NA,NA,NA,NA,1.9983833869,1.434715277,NA,13.4045,572.739,NA
