"Gene","NOTCH3"
"AD7C-NTP",0
"ADA",-0.8583
"ADAD1",0
"ADAD2",0
"ADAL",0
"ADAM10",0
"ADAM11",0
"ADAM12",0
"ADAM15",0
"ADAM17",0
"ADAM18",0
"ADAM19",0
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0
"ADAM23",0
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",-0.2902
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",0
"ADAM9",4.8796
"ADAM9",-0.3864
"ADAMDEC1",-0.5424
"ADAMTS1",-0.6883
"ADAMTS1",-0.8358
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0
"ADAMTS14",0
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",0
"ADAMTS3",0.1767
"ADAMTS3",8e-04
"ADAMTS4",0
"ADAMTS5",0
"ADAMTS6",-0.0494
"ADAMTS6",-0.5885
"ADAMTS7",0
"ADAMTS8",0
"ADAMTS9",-0.1297
"ADAMTS9",-0.5347
"ADAMTSL1",-0.0888
"ADAMTSL1",-0.0299
"ADAMTSL2",0
"ADAMTSL3",0.195
"ADAMTSL3",-0.091
"ADAMTSL4",-0.4025
"ADAMTSL4",-0.1006
"ADAMTSL4",-0.3082
"ADAMTSL5",0
"ADAP1",0
"ADAP2",0
"ADAR",0
"ADAR3",0
"ADARB1",0.8324
"ADARB1",-0.0454
"ADARB2",0
"ADAT1",0
"ADAT2",0
"ADAT3",0
"ADC",0.06
"ADC",0.3031
"ADCK1",0.1154
"ADCK2",0.841
"ADCK2",-0.0442
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",-0.2505
"ADCY3",-0.6047
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",0
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",-0.4002
"ADD1",-0.2624
"ADD2",0
"ADD3",0.2161
"ADD3",-0.854
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",0
"ADH6",0
"ADH7",0
"ADHFE1",0
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",0.2084
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",1.4342
"ADNP",0.3268
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",-1.2038
"ADORA2A",-0.3274
"ADORA2B",0
"ADPGK",0
"ADPRH",-0.3801
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",0.0305
"ADRB2",-0.1169
"ADRB3",0
"ADRBK1",-0.2905
"ADRM1",-0.2817
"ADRM1",-0.1572
"ADSL",0
"ADSS",0
"ADSSL1",0.4448
"ADTRP",0
"AEBP1",0.1148
"AEBP1",-0.3423
"AEBP2",-0.4869
"AEBP2",0.0161
"AEGL1",0
"AEN",0
"AES",-0.6038
"AES",0.1136
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",-0.3922
"AFDN",0
"AFF1",0.0868
"AFF1",-0.1438
"AFF1",-0.1055
"AFF2",0
"AFF3",-0.2673
"AFF4",-0.3983
"AFF4",-0.2349
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",-0.632
"AGFG1",0
"AGFG2",0
"AGGF1",0.0198
"AGGF1",0.0079
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",-0.0853
"AGPAT3",1.2694
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",-0.2764
"AGPAT6",-0.0546
"AGPAT9",0
"AGPS",0
"AGR2",-1.5588
"AGR3",0
"AGRIN",2.5066
"AGRIN",-0.2966
"AGRN",0
"AGRP",-0.1088
"AGS1",0
"AGT",0.1115
"AGTPBP1",0
"AGTR1",0.0178
"AGTR1B",0
"AGTR2",0
"AGTRAP",0
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",-0.3301
"AHCTF1",0.4492
"AHCTF1",1.4245
"AHCY",-0.1398
"AHCY",-0.1135
"AHCYL1",0.2663
"AHCYL2",0
"AHDC1",-0.5438
"AHDC1",-0.0778
"AHI1",0
"AH0.0K",0
"AH0.0K2",0
"AHR",-2.5678
"AHRR",-0.0103
"AHSA1",0
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0
"AIDA",0
"aie-75",0
"AIF1",0
"AIF1L",0
"AIFM1",0
"AIFM2",0
"AIFM3",-0.1766
"AIG1",0.114
"aik2",0
"aik3",0
"AIM1",0.0313
"AIM1L",0.3312
"AIM2",0
"AIMP1",0
"AIMP2",0
"AIP",-0.0933
"AIP",-0.1918
"AIP-1",0
"AIPC",0
"AIPL1",0
"AIRE",0.0304
"AIRE",-0.1079
"airm",0
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",0.7001
"AJUBA",0
"AK000085",0
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",0
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",0
"AK021554",0
"AK021570",0
"AK021595",0
"AK021606",0
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",0
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",0
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",0
"AK022268",0
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",0
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",0
"AK023048",0
"AK023086",0
"AK023391",0
"AK023400",0
"AK023412",0
"AK023472",0
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",0
"AK023774",0
"AK023831",0
"AK023892",0
"AK023954",0
"AK024147",0
"AK024243",0
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",0
"AK024900",0
"AK024926",0
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
"AK025669",0
"AK025887",0
"AK026020",0
"AK026418",0
"AK026477",0
"AK026517",0
"AK026896",0
"AK026903",0
"AK027091",0
"AK027173",0
"AK027209",0
"AK027315",0
"AK027541",0
"AK027667",0
"AK054718",0
"AK054840",0
"AK054895",0
"AK055438",0
"AK055501",0
"AK055821",0
"AK056630",0
"AK056744",0
"AK057088",0
"AK057576",0
"AK057652",0
"AK074144",0
"AK074181",0
"AK074696",0
"AK090397",0
"AK090405",0
"AK090407",0
"AK090463",0
"AK090477",0
"AK090897",0
"AK091057",0
"AK091308",0
"AK091744",0
"AK092349",0
"AK092379",0
"AK092468",0
"AK092668",0
"AK092810",0
"AK093416",0
"AK093532",0
"AK093987",0
"AK094154",0
"AK094175",0
"AK094334",0
"AK094447",0
"AK094623",0
"AK095167",0
"AK095300",0
"AK095583",0
"AK095707",0
"AK095791",0
"AK096241",0
"AK096250",0
"AK096500",0
"AK096674",0
"AK096677",0
"AK097085",0
"AK097197",0
"AK097322",0
"AK097472",0
"AK098081",0
"AK098134",0
"AK098220",0
"AK098427",0
"AK098478",0
"AK098511",0
"AK098597",0
"AK1",0
"AK123483",0
"AK123627",0
"AK123765",0
"AK123861",0
"AK124166",0
"AK124173",0
"AK124263",0
"AK124281",0
"AK124352",0
"AK124426",0
"AK124470",0
"AK124841",0
"AK124941",0
"AK125129",0
"AK126329",0
"AK128103",0
"AK128396",0
"AK128559",0
"AK128814",0
"AK129547",0
"AK129956",0
"AK130099",0
"AK130644",0
"AK130891",0
"AK2",0.1278
"AK2",-0.9903
"AK3",-0.6067
"AK304575",0
"AK3L1",0
"AK4",0
"AK5",0.2393
"AK5",0.0718
"AK6",0
"AK7",0
"AK8",0
"AK9",0
"AKAIN1",0
"AKAP1",0
"AKAP10",0
"AKAP11",0
"AKAP12",-0.6331
"AKAP13",-0.0393
"AKAP13",-0.3616
"AKAP14",0
"AKAP17A",0
"AKAP2",0
"AKAP3",0
"AKAP4",0
"AKAP5",0
"AKAP6",0
"AKAP7",-0.0046
"AKAP8",0
"AKAP8L",-0.8265
"AKAP9",3.4381
"AKAP9",-0.0225
"AKD1",0
"AKIP1",0
"AKIRIN1",0
"AKIRIN2",0
"AK0.0",-0.0375
"AK0.0D1",0
"AKR1A1",-0.279
"AKR1B1",0
"AKR1B10",0
"AKR1B15",0
"AKR1C1",0.1427
"AKR1C1",0.7084
"AKR1C1",0.3347
"AKR1C2",0
"AKR1C3",-2.9794
"AKR1C4",0
"AKR1D1",0
"AKR1E2",0
"AKR7A2",0
"AKR7A3",0
"AKT1",0
"AKT1S1",0
"AKT2",0
"AKT3",-0.1872
"AKT3",-0.1159
"AKTIP",0
"AL049390",0
"AL050122",0
"AL050185",0
"AL079294",0
"AL080082",0
"AL080232",0
"AL109784",0
"AL134462",0
"AL137318",0
"AL137400",0
"AL359650",0
"AL390143",0
"AL390214",0
"AL832142",0
"AL832146",0
"AL832806",0
"AL832820",0
"AL833114",0
"AL833452",0
"AL833696",0
"AL834280",0
"ALAD",0
"ALAS1",0
"ALAS2",0
"ALB",0
"ALCAM",0
"ALDH1",0
"ALDH12",0
"ALDH16A1",0
"ALDH18A1",0
"ALDH1A1",0
"ALDH1A2",0
"ALDH1A3",0.8542
"ALDH1A3",-0.4321
"ALDH1B1",-0.7734
"ALDH1B1",-0.3644
"ALDH1L1",0
"ALDH1L2",-0.0515
"ALDH2",0
"ALDH3A1",0.3965
"ALDH3A2",-0.3679
"ALDH3B1",0
"ALDH3B2",-0.1851
"ALDH4A1",-0.9901
"ALDH4A1",-2.398
"ALDH5",0
"ALDH5A1",0
"ALDH6A1",0.2665
"ALDH7A1",-0.4213
"ALDH8A1",0
"ALDH9A1",-0.7245
"ALDOA",0
"ALDOAP2",0
"ALDOB",0
"ALDOC",0
"ALEX3",0
"ALG1",0
"ALG10",0
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",-0.0564
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",-1.0869
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",0.1255
"ALG9",-0.4792
"ALK",0.1015
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",0.2011
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",0.5167
"ALMS1",-0.0574
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",1.7304
"ALOX5",0
"ALOX5AP",-0.3069
"ALOX5AP",-0.1856
"ALOXE3",-0.156
"alpha-CP1",0
"ALPI",0.009
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",-0.0597
"ALS2CR13",-0.156
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.0713
"ALS2CR8",0.0756
"ALX1",0
"ALX3",-0.5452
"ALX4",0
"ALYREF",0
"AMAC1L2",0.1349
"AMACR",-0.5405
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.3488
"AMHR2",0
"AMIGO1",0
"AMIGO2",-0.2985
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-0.8128
"AMOT",-0.0362
"AMOTL1",0
"AMOTL2",0.1333
"AMPD1",0
"AMPD2",0
"AMPD3",0.6993
"AMPD3",-0.6873
"AMPH",0
"AMPK gamma2",0
"AMT",0.0947
"AMT",0.2564
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",-0.4821
"AMZ2",0
"A0.0PC1",0.154
"A0.0PC10",0
"A0.0PC11",-0.1833
"A0.0PC13",-3.0688
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.1325
"A0.0PC5",0.444
"A0.0PC7",-0.1873
"A0.0PC7",-0.4144
"ANG",0.3361
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",0.5787
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",-1.8578
"ANK3",4.3857
"ANKAR",0
"ANKDD1A",0.1884
"ANKEF1",0
