"Gene","ATF2"
"A14GALT",0
"A1BG",0
"A1CF",0
"A225490",0
"A2BP1",0
"A2LD1",0
"A2LP",0
"A2M",0
"A2ML1",-4.8901
"A4GALT",0
"A4GNT",0
"A533284",0
"A746290",0
"A748492",0
"A836114",0
"AA150211",0
"AA442488",0
"AA541413",0
"AA666384",0
"AA837799",0
"AA968804",0
"AAAS",0
"AACS",0.3712
"AADAC",0
"AADACL1",-0.6536
"AADACL2",0
"AADACL3",0
"AADACL4",0
"AADAT",0.1514
"AAED1",0
"AAGAB",0
"AAMDC",0
"AAMP",0
"AA0.0T",0
"AAR2",0
"AARD",0
"AARS",-0.5494
"AARS2",0
"AARSD1",0
"AASDH",-0.1444
"AASDH",0.0148
"AASDH",-0.1707
"AASDHPPT",0
"AASS",0.0718
"AATF",-0.1244
"AATF",-0.1044
"AATK",0.0945
"AATK",-0.0235
"AB019568",0
"AB062480",0
"AB371542",0
"ABAT",-5.1153
"ABCA1",-0.1971
"ABCA1",0.3316
"ABCA10",0
"ABCA12",-4.0696
"ABCA13",0
"ABCA2",-0.3329
"ABCA3",0
"ABCA4",0
"ABCA5",0.1188
"ABCA5",0.0453
"ABCA6",0
"ABCA7",0
"ABCA8",0
"ABCA9",0
"ABCB1",0
"ABCB10",0
"ABCB11",0
"ABCB3",0
"ABCB4",0
"ABCB5",0
"ABCB6",0
"ABCB7",0
"ABCB8",0
"ABCB9",0
"ABCC1",0
"ABCC10",0
"ABCC11",0
"ABCC12",0
"ABCC3",0
"ABCC4",0.1287
"ABCC4",0.0706
"ABCC4",0.1144
"ABCC5",0
"ABCC6",0
"ABCC8",0
"ABCC9",0
"ABCD1",0
"ABCD2",0
"ABCD3",0
"ABCD4",0
"ABCE1",0
"ABCF1",0
"ABCF2",0
"ABCF3",0
"ABCG1",-0.6844
"ABCG2",0
"ABCG4",-0.0067
"ABCG5",0
"ABCG8",0
"ABCR",0
"ABF-1",0
"ABHD1",-0.5927
"ABHD1",-0.0483
"ABHD10",0.0383
"ABHD10",2.5764
"ABHD10",-0.1088
"ABHD11",-0.1663
"ABHD11",-0.2117
"ABHD12",0
"ABHD12B",0
"ABHD13",0
"ABHD14A",0
"ABHD14A-ACY1",0
"ABHD14B",0
"ABHD15",0
"ABHD16A",0
"ABHD16B",0
"ABHD17A",0
"ABHD17B",0
"ABHD17C",0
"ABHD18",0
"ABHD2",0
"ABHD3",-0.3029
"ABHD4",0
