"","x"
"16263","MTHFD2L"
"16264","MTHFR"
"16265","MTHFS"
"16266","MTHFSD"
"16267","MTIF2"
"16268","MTIF3"
"16269","MTL5"
"16270","MTM1"
"16271","MTMR1"
"16272","MTMR10"
"16273","MTMR11"
"16274","MTMR12"
"16275","MTMR14"
"16276","MTMR2"
"16277","MTMR3"
"16278","MTMR4"
"16279","MTMR6"
"16280","MTMR7"
"16281","MTMR8"
"16282","MTMR9"
"16283","MTNR1A"
"16284","MTNR1B"
"16285","MTO1"
"16286","MTOR"
"16287","MTPAP"
"16288","MTPN"
"16289","MTR"
"16290","MTR1"
"16291","MTRF1"
"16292","MTRF1L"
"16293","MTRNR2L1"
"16294","MTRNR2L10"
"16295","MTRNR2L2"
"16296","MTRNR2L3"
"16297","MTRNR2L4"
"16298","MTRNR2L5"
"16299","MTRNR2L6"
"16300","MTRNR2L7"
"16301","MTRNR2L8"
"16302","MTRR"
"16303","MTSS1"
"16304","MTSS1L"
"16305","MTTP"
"16306","MTURN"
"16307","MTUS1"
"16308","MTUS2"
"16309","MTX1"
"16310","MTX2"
"16311","MTX3"
"16312","MUC1"
"16313","MUC12"
"16314","MUC15"
"16315","MUC16"
"16316","MUC17"
"16317","MUC20"
"16318","MUC21"
"16319","MUC22"
"16320","MUC3"
"16321","MUC3A"
"16322","MUC3B"
"16323","MUC4"
"16324","MUC5AC"
"16325","MUC5B"
"16326","MUC6"
"16327","MUC7"
"16328","MUC8"
"16329","MUCDHL"
"16330","MUCL1"
"16331","MUL1"
"16332","MUM1"
"16333","MUM1L1"
"16334","MURC"
"16335","MUS81"
"16336","MUSK"
"16337","MUSTN1"
"16338","MUT"
"16339","MUTYH"
"16340","MVB12A"
"16341","MVB12B"
"16342","MVD"
"16343","MVK"
"16344","MVP"
"16345","MX1"
"16346","MX2"
"16347","MXD1"
"16348","MXD3"
"16349","MXD4"
"16350","MXI1"
"16351","MXRA5"
"16352","MXRA7"
"16353","MXRA8"
"16354","MY014"
"16355","MYADM"
"16356","MYADML2"
"16357","MYB"
"16358","MYBBP1A"
"16359","MYBL1"
"16360","MYBL2"
"16361","MYBPC1"
"16362","MYBPC2"
"16363","MYBPC3"
"16364","MYBPH"
"16365","MYBPHL"
"16366","MYC"
"16367","MYCBP"
"16368","MYCBP2"
"16369","MYCBP2-AS1"
"16370","MYCL"
"16371","MYCL1"
"16372","MYCL2"
"16373","MYCN"
"16374","MYCT1"
"16375","MYD88"
"16376","MYDGF"
"16377","MYEF2"
"16378","MYEOV"
"16379","MYF5"
"16380","MYF6"
"16381","MYG1"
"16382","MYH1"
"16383","MYH10"
"16384","MYH11"
"16385","MYH13"
"16386","MYH14"
"16387","MYH15"
"16388","MYH16"
"16389","MYH2"
"16390","MYH3"
"16391","MYH4"
"16392","MYH6"
"16393","MYH7"
"16394","MYH7B"
"16395","MYH8"
"16396","MYH9"
"16397","MYL1"
"16398","MYL10"
"16399","MYL12A"
"16400","MYL2"
"16401","MYL3"
"16402","MYL4"
"16403","MYL5"
"16404","MYL6"
"16405","MYL6B"
"16406","MYL7"
"16407","MYL9"
"16408","MYLIP"
"16409","MYLK"
"16410","MYLK2"
"16411","MYLK3"
"16412","MYLK4"
"16413","MYLPF"
"16414","MYNN"
"16415","MYO10"
"16416","MYO15"
"16417","MYO15A"
"16418","MYO15B"
"16419","MYO16"
"16420","MYO18A"
"16421","MYO18B"
"16422","MYO19"
"16423","MYO1A"
"16424","MYO1B"
"16425","MYO1C"
"16426","MYO1D"
"16427","MYO1E"
"16428","MYO1F"
"16429","MYO1G"
"16430","MYO3A"
"16431","MYO3B"
"16432","MYO5A"
"16433","MYO5B"
"16434","MYO5C"
"16435","MYO6"
"16436","MYO7A"
"16437","MYO7B"
"16438","MYO9A"
"16439","MYO9b"
"16440","MYOC"
"16441","MYOCD"
"16442","MYOD1"
"16443","MYOF"
"16444","MYOG"
"16445","MYOHD1"
"16446","MYOM1"
"16447","MYOM2"
"16448","MYOM3"
"16449","MYOT"
"16450","MYOZ"
"16451","MYOZ1"
"16452","MYOZ2"
"16453","MYOZ3"
"16454","MYPN"
"16455","MYPOP"
"16456","MYRF"
"16457","MYRIP"
"16458","MYSM1"
"16459","MYST1"
"16460","MYST2"
"16461","MYST3"
"16462","MYST4"
"16463","MYT1"
"16464","MYT1L"
"16465","MYT2"
"16466","MZB1"
"16467","MZF1"
"16468","MZT1"
"16469","MZT2A"
"16470","MZT2B"
"16471","N-PAC"
"16472","N1"
"16473","N2"
"16474","N33"
"16475","N4BP1"
"16476","N4BP2"
"16477","N4BP2L1"
"16478","N4BP2L2"
"16479","N4BP3"
"16480","N6AMT1"
"16481","N6AMT2"
"16482","NAA10"
"16483","NAA11"
"16484","NAA15"
"16485","NAA16"
"16486","NAA20"
"16487","NAA25"
"16488","NAA30"
"16489","NAA35"
"16490","NAA38"
"16491","NAA40"
"16492","NAA50"
"16493","NAA60"
"16494","NAAA"
"16495","NAALAD2"
"16496","naaladase II"
"16497","NAALADASEL"
"16498","NAALADL1"
"16499","NAALADL2"
"16500","NAB1"
"16501","NAB2"
"16502","NABP1"
"16503","NABP2"
"16504","NAC"
"16505","NACA"
"16506","NACA2"
"16507","NACAD"
"16508","NACAP1"
"16509","NACC1"
"16510","NACC2"
"16511","nAChR"
"16512","NACP"
"16513","NAD(P)+ -dependent malic enzyme"
"16514","NADK"
"16515","NADK2"
"16516","NADSYN1"
"16517","NAE1"
"16518","NAF1"
"16519","NAG"
"16520","NAG-7"
"16521","NAG13"
"16522","NAG14"
"16523","NAG18"
"16524","NAG19"
"16525","NAG8"
"16526","NAGA"
"16527","NAGK"
"16528","NAGLU"
"16529","NAGPA"
"16530","NAGS"
"16531","NAIF1"
"16532","NAIP"
"16533","NAK1"
"16534","NAKAP95"
"16535","NALCN"
"16536","NAMPT"
"16537","NANOG"
"16538","NANOGNB"
"16539","NANOS1"
"16540","NANOS2"
"16541","NANOS3"
"16542","NANP"
"16543","NANS"
"16544","NAP1L1"
"16545","NAP1L2"
"16546","NAP1L3"
"16547","NAP1L4"
"16548","NAP1L5"
"16549","NAP5"
"16550","NAPA"
"16551","NAPB"
"16552","NAPEPLD"
"16553","NAPG"
"16554","NAPRT"
"16555","NAPRT1"
"16556","NAPSA"
"16557","NARF"
"16558","NARFL"
"16559","NARG1"
"16560","NARG1L"
"16561","NARR"
"16562","NARS"
"16563","NARS2"
"16564","NASP"
"16565","NAT1"
"16566","NAT10"
"16567","NAT11"
"16568","NAT12"
"16569","NAT14"
"16570","NAT15"
"16571","NAT16"
"16572","NAT2"
"16573","NAT6"
"16574","NAT8"
"16575","NAT8L"
"16576","NAT9"
"16577","NATD1"
"16578","NAV1"
"16579","NAV2"
"16580","NAV3"
"16581","NAXD"
"16582","NAXE"
"16583","NB-1"
"16584","NBAS"
"16585","NBC"
"16586","NBC4"
"16587","NBEA"
"16588","NBEAL1"
"16589","NBEAL2"
"16590","NBN"
"16591","NBPF1"
"16592","NBPF10"
"16593","NBPF11"
"16594","NBPF14"
"16595","NBPF15"
"16596","NBPF20"
"16597","NBPF22P"
"16598","NBPF3"
"16599","NBPF4"
"16600","NBPF6"
"16601","NBPF7"
"16602","NBPF9"
"16603","NBR"
"16604","NBR1"
"16605","NBR2"
"16606","NCA"
"16607","NCALD"
"16608","NCAM"
"16609","NCAM1"
"16610","NCAM2"
"16611","NCAN"
"16612","NCAPD2"
"16613","NCAPD3"
"16614","NCAPG"
"16615","NCAPG2"
"16616","NCAPH"
"16617","NCAPH2"
"16618","NCBP1"
"16619","NCBP2"
"16620","NCBP2L"
"16621","NCBP3"
"16622","NCCRP1"
"16623","NCDN"
"16624","NCEH1"
"16625","NCF1"
"16626","NCF1B"
"16627","NCF2"
"16628","NCF4"
"16629","NCK1"
"16630","NCK2"
"16631","NCKAP1"
"16632","NCKAP1L"
"16633","NCKAP5"
"16634","NCKIPSD"
"16635","NCKX"
"16636","NCKX3"
"16637","NCL"
"16638","NCLN"
"16639","NCMAP"
"16640","NCOA1"
"16641","NCOA2"
"16642","NCOA3"
"16643","NCOA4"
"16644","NCOA5"
"16645","NCOA6"
"16646","NCOA7"
"16647","NCOR1"
"16648","NCOR2"
"16649","NCR1"
"16650","NCR2"
"16651","NCR3"
"16652","NCR3LG1"
"16653","NCRNA00085"
"16654","NCRNA00116"
"16655","NCRNA00152"
"16656","NCRNA00174"
"16657","NCRNA00185"
"16658","NCS1"
"16659","NCSTN"
"16660","NCX"
"16661","NCX1"
"16662","NCYM"
"16663","ND1"
"16664","ND2"
"16665","ND3"
"16666","ND4L"
"16667","ND5"
"16668","ND6"
"16669","NDC1"
"16670","NDC80"
"16671","NDE1"
"16672","NDEL1"
"16673","NDFIP1"
"16674","NDFIP2"
"16675","NDN"
"16676","NDNF"
"16677","NDNL2"
"16678","NDOR1"
"16679","NDP"
"16680","NDRF"
"16681","NDRG1"
"16682","NDRG2"
"16683","NDRG3"
"16684","NDRG4"
"16685","NDST1"
"16686","NDST2"
"16687","NDST3"
"16688","NDST4"
"16689","NDUFA1"
"16690","NDUFA10"
"16691","NDUFA11"
"16692","NDUFA12"
"16693","NDUFA13"
"16694","NDUFA2"
"16695","NDUFA3"
"16696","NDUFA4"
"16697","NDUFA4L2"
"16698","NDUFA5"
"16699","NDUFA6"
"16700","NDUFA7"
"16701","NDUFA8"
"16702","NDUFA9"
"16703","NDUFAB1"
"16704","NDUFAF1"
"16705","NDUFAF2"
"16706","NDUFAF3"
"16707","NDUFAF4"
"16708","NDUFAF5"
"16709","NDUFAF6"
"16710","NDUFAF7"
"16711","NDUFAF8"
"16712","NDUFB1"
"16713","NDUFB10"
"16714","NDUFB11"
"16715","NDUFB2"
"16716","NDUFB3"
"16717","NDUFB4"
"16718","NDUFB5"
"16719","NDUFB6"
"16720","NDUFB7"
"16721","NDUFB8"
"16722","NDUFB9"
"16723","NDUFC1"
"16724","NDUFC2"
"16725","NDUFC2-KCTD14"
"16726","NDUFS1"
"16727","NDUFS2"
"16728","NDUFS3"
"16729","NDUFS4"
"16730","NDUFS5"
"16731","NDUFS6"
"16732","NDUFS7"
"16733","NDUFS8"
"16734","NDUFV1"
"16735","NDUFV2"
"16736","NDUFV3"
"16737","NEAT1"
"16738","NEB"
"16739","NEBL"
"16740","NECAB1"
"16741","NECAB2"
"16742","NECAB3"
"16743","NECAP1"
"16744","NECAP2"
"16745","NECL1"
"16746","NECL2"
"16747","NECTIN1"
"16748","NECTIN2"
"16749","NECTIN3"
"16750","NECTIN4"
"16751","NEDD1"
"16752","NEDD4"
"16753","NEDD4L"
"16754","NEDD8"
"16755","NEDD9"
"16756","NEDL1"
"16757","NEFH"
"16758","NEFL"
"16759","NEFM"
"16760","NEGR1"
"16761","NEIL1"
"16762","NEIL2"
"16763","NEIL3"
"16764","NEK1"
"16765","NEK10"
"16766","NEK11"
"16767","NEK2"
"16768","NEK3"
"16769","NEK4"
"16770","NEK5"
"16771","NEK6"
"16772","NEK7"
"16773","NEK8"
"16774","NEK9"
"16775","NELFA"
"16776","NELFB"
"16777","NELFCD"
"16778","NELFE"
"16779","NELL1"
"16780","NELL2"
"16781","NEMF"
"16782","NEMO"
"16783","NEMP1"
"16784","NEMP2"
"16785","NENF"
"16786","NEO1"
"16787","nephropontin"
"16788","NEPRO"
"16789","NES"
"16790","NESCA"
"16791","NESG1"
"16792","neshbp"
"16793","NET-2"
"16794","NET-6"
"16795","NET-7"
"16796","NET1"
"16797","NETO1"
"16798","NETO2"
"16799","NEU1"
"16800","NEU2"
"16801","NEU3"
"16802","NEU4"
"16803","NEUD4"
"16804","NEUREXIN II"
"16805","NEURL1"
"16806","NEURL1B"
"16807","NEURL2"
"16808","NEURL3"
"16809","NEURL4"
"16810","NEUROD1"
"16811","NEUROD2"
"16812","NEUROD4"
"16813","NEUROD6"
"16814","NEUROG1"
"16815","NEUROG2"
"16816","NEUROG3"
"16817","NEXN"
"16818","NF-ATcC"
"16819","NF-kappa-B"
"16820","NF1"
"16821","NF2"
"16822","NFAM1"
"16823","NFASC"
"16824","NFAT1"
"16825","NFAT5"
"16826","NFATC1"
"16827","NFATC2"
"16828","NFATC2IP"
"16829","NFATC3"
"16830","NFATC4"
"16831","NFE2"
"16832","NFE2L1"
"16833","NFE2L2"
"16834","NFE2L3"
"16835","NFE4"
"16836","NFI"
"16837","NFIA"
"16838","NFIB"
"16839","NFIC"
"16840","NFIL3"
"16841","NFIX"
"16842","NFKB1"
"16843","NFKB2"
"16844","NFKBIA"
"16845","NFKBIB"
"16846","NFKBID"
"16847","NFKBIE"
"16848","NFKBIL1"
"16849","NFKBIL2"
"16850","NFKBIZ"
"16851","NFRKB"
"16852","NFS1"
"16853","NFU1"
"16854","NFX1"
"16855","NFX2"
"16856","NFXL1"
"16857","NFYA"
"16858","NFYB"
"16859","NFYC"
"16860","NG23"
"16861","NG3"
"16862","NG36"
"16863","NG5"
"16864","NG7"
"16865","NGAP"
"16866","NGB"
"16867","NGDN"
"16868","NGEF"
"16869","NGF"
"16870","NGFB"
"16871","NGFR"
"16872","NGFRAP1"
"16873","NGLY1"
"16874","NGRN"
"16875","NGS-17"
"16876","NHE2"
"16877","NHEJ1"
"16878","NHERF-2"
"16879","NHLH1"
"16880","NHLH2"
"16881","NHLRC1"
"16882","NHLRC2"
"16883","NHLRC3"
"16884","NHLRC4"
"16885","NHP2"
"16886","NHS"
"16887","NHSL1"
"16888","NHSL2"
"16889","NIBAN"
"16890","NIBP"
"16891","NICE-1"
"16892","NICN1"
"16893","NID1"
"16894","NID2"
"16895","NIF3L1"
"16896","NIFK"
"16897","NIFS"
"16898","NILR"
"16899","NIM1K"
"16900","NIN"
"16901","NINJ1"
"16902","NINJ2"
"16903","NINL"
"16904","NIP7"
"16905","NIPA1"
"16906","NIPA2"
"16907","NIPAL1"
"16908","NIPAL2"
"16909","NIPAL3"
"16910","NIPAL4"
"16911","NIPBL"
"16912","NIPSNAP1"
"16913","NIPSNAP3A"
"16914","NIPSNAP3B"
"16915","NIR1"
"16916","NISCH"
"16917","NIT1"
"16918","NIT2"
"16919","NJAC"
"16920","NKAIN1"
"16921","NKAIN2"
"16922","NKAIN3"
"16923","NKAIN4"
"16924","NKAP"
"16925","NKAPL"
"16926","NKAPP1"
"16927","NKD1"
"16928","NKD2"
"16929","NKEFA"
"16930","NKEFB"
"16931","NKG2-F"
"16932","NKG7"
"16933","NKIRAS1"
"16934","NKIRAS2"
"16935","NKp46"
"16936","NKPD1"
"16937","NKRF"
"16938","NKTR"
"16939","NKX1-2"
"16940","NKX2-1"
"16941","NKX2-2"
"16942","NKX2-3"
"16943","NKX2-4"
"16944","NKX2-5"
"16945","NKX2-6"
"16946","NKX2-8"
"16947","NKX2.8"
"16948","NKX2B"
"16949","NKX3-1"
"16950","NKX3-2"
"16951","NKX3A"
"16952","NKX6-1"
"16953","NKX6-2"
"16954","NKX6-3"
"16955","NKX6A"
"16956","NLE1"
"16957","NLGN1"
"16958","NLGN2"
"16959","NLGN3"
"16960","NLGN4X"
"16961","NLGN4Y"
"16962","NLI-IF"
"16963","NLK"
"16964","NLN"
"16965","NLRC3"
"16966","NLRC4"
"16967","NLRC5"
"16968","NLRP1"
"16969","NLRP10"
"16970","NLRP11"
"16971","NLRP12"
"16972","NLRP13"
"16973","NLRP14"
"16974","NLRP2"
"16975","NLRP3"
"16976","NLRP4"
"16977","NLRP5"
"16978","NLRP6"
"16979","NLRP7"
"16980","NLRP8"
"16981","NLRP9"
"16982","NLRX1"
"16983","NMB"
"16984","NMBR"
"16985","NMD3"
"16986","NME1"
"16987","NME2"
"16988","NME2P1"
"16989","NME3"
"16990","NME4"
"16991","NME5"
"16992","NME6"
"16993","NME7"
"16994","NME8"
"16995","NME9"
"16996","NMES1"
"16997","NMI"
"16998","NMNAT1"
"16999","NMNAT2"
"17000","NMNAT3"
"17001","NMRAL1"
"17002","NMRK1"
"17003","NMRK2"
"17004","NMS"
"17005","NMT1"
"17006","NMT2"
"17007","NMU"
"17008","NMUR1"
"17009","NMUR2"
"17010","NN8-4AG"
"17011","NNAT"
"17012","NNMT"
"17013","NNT"
"17014","NOA1"
"17015","NOB1"
"17016","NOBOX"
"17017","NOC2L"
"17018","NOC3L"
"17019","NOC4"
"17020","NOC4L"
"17021","NOCT"
"17022","NOD1"
"17023","NOD2"
"17024","NODAL"
"17025","NOG"
"17026","NOGOR"
"17027","NOH1"
"17028","NOH61"
"17029","NOL1"
"17030","NOL10"
"17031","NOL11"
"17032","NOL12"
"17033","NOL3"
"17034","NOL4"
"17035","NOL4L"
"17036","NOL6"
"17037","NOL7"
"17038","NOL8"
"17039","NOL9"
"17040","NOLA3"
"17041","NOLC1"
"17042","NOM1"
"17043","NOMO1"
"17044","NOMO2"
"17045","NOMO3"
"17046","NONO"
"17047","NOP"
"17048","NOP10"
"17049","NOP14"
"17050","NOP16"
"17051","NOP17"
"17052","NOP2"
"17053","NOP56"
"17054","NOP58"
"17055","NOP9"
"17056","NOS"
"17057","NOS1"
"17058","NOS1AP"
"17059","NOS2"
"17060","NOS3"
"17061","NOSIP"
"17062","NOSTRIN"
"17063","NOT3"
"17064","NOT4-N"
"17065","NOT4H"
"17066","NOT56L"
"17067","NOTCH1"
"17068","NOTCH2"
"17069","NOTCH2NL"
"17070","NOTCH3"
"17071","NOTCH4"
"17072","NOTO"
"17073","NOTUM"
"17074","NOV"
"17075","NOVA1"
"17076","NOVA2"
"17077","NOX1"
"17078","NOX3"
"17079","NOX4"
"17080","NOX5"
"17081","NOXA1"
"17082","NOXO1"
"17083","NOXRED1"
"17084","NP101106"
"17085","NP389850"
"17086","NP94"
"17087","NPAP1"
"17088","NPAS1"
"17089","NPAS2"
"17090","NPAS3"
"17091","NPAS4"
"17092","NPAT"
"17093","NPB"
"17094","NPBWR1"
"17095","NPBWR2"
"17096","NPC1"
"17097","NPC1L1"
"17098","NPC2"
"17099","NPC3"
"17100","NPCR"
"17101","NPD011"
"17102","NPD012"
"17103","NPD014"
"17104","NPD016"
"17105","NPDC1"
"17106","NPEPL1"
"17107","NPEPPS"
"17108","NPFF"
"17109","NPFFR1"
"17110","NPFFR2"
"17111","NPHP1"
"17112","NPHP3"
"17113","NPHP4"
"17114","NPHS1"
"17115","NPHS2"
"17116","NPIPA1"
"17117","NPIPA3"
"17118","NPIPA5"
"17119","NPIPA7"
"17120","NPIPB15"
"17121","NPIPB5"
"17122","NPIPB6"
"17123","NPIPB9"
"17124","NPL"
"17125","NPLOC4"
"17126","NPM1"
"17127","NPM2"
"17128","NPM3"
"17129","NPNT"
"17130","NPPB"
"17131","NPPC"
"17132","NPR1"
"17133","NPR2"
"17134","NPR3"
"17135","NPRL2"
"17136","NPRL3"
"17137","NPS"
"17138","NPSR1"
"17139","NPSR1-AS1"
"17140","NPTN"
"17141","NPTX1"
"17142","NPTX2"
"17143","NPTXR"
"17144","NPVF"
"17145","NPW"
"17146","NPY"
"17147","NPY1R"
"17148","NPY2R"
"17149","NPY4R"
"17150","NPY5R"
"17151","NPYR"
"17152","NQO1"
"17153","NQO2"
"17154","NR0B1"
"17155","NR0B2"
"17156","NR1"
"17157","NR1D1"
"17158","NR1D2"
"17159","NR1H2"
"17160","NR1H3"
"17161","NR1H4"
"17162","NR1I2"
"17163","NR1I3"
"17164","NR2C1"
"17165","NR2C2"
"17166","NR2C2AP"
"17167","NR2E1"
"17168","NR2E3"
"17169","NR2F1"
"17170","NR2F2"
"17171","NR2F6"
"17172","NR3C1"
"17173","NR3C2"
"17174","NR4A1"
"17175","NR4A2"
"17176","NR4A3"
"17177","NR5A1"
"17178","NR5A2"
"17179","NR6A1"
"17180","NRAMP1"
"17181","NRAMP2"
"17182","NRAP"
"17183","NRARP"
"17184","NRAS"
"17185","NRBF2"
"17186","NRBP"
"17187","NRBP1"
"17188","NRBP2"
"17189","NRCAM"
"17190","NRD1"
"17191","NRDC"
"17192","NRDE2"
"17193","NREP"
"17194","NRF1"
"17195","NRG1"
"17196","NRG2"
"17197","NRG3"
"17198","NRG4"
"17199","NRGN"
"17200","NRIP1"
"17201","NRIP2"
"17202","NRIP3"
"17203","NRK"
"17204","nrl"
"17205","NRM"
"17206","NRN1"
"17207","NRN1L"
"17208","NRP1"
"17209","NRP2"
"17210","NRROS"
"17211","NRSN1"
"17212","NRSN2"
"17213","NRTN"
"17214","NRXN1"
"17215","NRXN2"
"17216","NRXN3"
"17217","NSA2"
"17218","NSAP1"
"17219","NSAP11"
"17220","NSBP1"
"17221","NSD1"
"17222","NSDHL"
"17223","NSF"
"17224","NSFL1C"
"17225","NSG1"
"17226","NSL1"
"17227","NSMAF"
"17228","NSMCE1"
"17229","NSMCE2"
"17230","NSMCE3"
"17231","NSMCE4A"
"17232","NSMF"
"17233","NSP1"
"17234","NSRP1"
"17235","NSUN2"
"17236","NSUN3"
"17237","NSUN4"
"17238","NSUN5"
"17239","NSUN5P1"
"17240","NSUN6"
"17241","NSUN7"
"17242","NT5C"
"17243","NT5C1A"
"17244","NT5C1B"
"17245","NT5C2"
"17246","NT5C3"
"17247","NT5C3A"
"17248","NT5C3B"
"17249","NT5DC1"
"17250","NT5DC2"
"17251","NT5DC3"
"17252","NT5E"
"17253","NT5M"
"17254","NTAN1"
"17255","NTF3"
"17256","NTF4"
"17257","NTF5"
"17258","NTHL1"
"17259","NTM"
"17260","NTMT1"
"17261","NTN1"
"17262","NTN2L"
"17263","NTN3"
"17264","NTN4"
"17265","NTN5"
"17266","NTNG1"
"17267","NTNG2"
"17268","NTPCR"
"17269","NTRK1"
"17270","NTRK2"
"17271","NTRK3"
"17272","NTS"
"17273","NTSR1"
"17274","NTSR2"
"17275","NTT5"
"17276","NUAK1"
"17277","NUAK2"
"17278","NUB1"
"17279","NUBP1"
"17280","NUBP2"
"17281","NUBPL"
"17282","NUCB1"
"17283","NUCB2"
"17284","NUCKS"
"17285","NUCKS1"
"17286","NUDC"
"17287","NUDCD1"
"17288","NUDCD2"
"17289","NUDCD3"
"17290","NUDEL"
"17291","NUDT1"
"17292","NUDT10"
"17293","NUDT11"
"17294","NUDT12"
"17295","NUDT13"
"17296","NUDT14"
"17297","NUDT15"
"17298","NUDT16"
"17299","NUDT16L1"
"17300","NUDT17"
"17301","NUDT18"
"17302","NUDT19"
"17303","NUDT2"
"17304","NUDT21"
"17305","NUDT3"
"17306","NUDT4"
"17307","NUDT5"
"17308","NUDT6"
"17309","NUDT7"
"17310","NUDT8"
"17311","NUDT9"
"17312","NUF2"
"17313","NUFIP1"
"17314","NUFIP2"
"17315","NUGGC"
"17316","NUMA1"
"17317","NUMB"
"17318","NUMBL"
"17319","NUP107"
"17320","NUP133"
"17321","NUP153"
"17322","NUP155"
"17323","NUP160"
"17324","NUP188"
"17325","NUP205"
"17326","NUP210"
"17327","NUP210L"
"17328","NUP214"
"17329","NUP35"
"17330","NUP37"
"17331","NUP43"
"17332","NUP50"
"17333","NUP54"
"17334","NUP58"
"17335","NUP62"
"17336","NUP62CL"
"17337","NUP85"
"17338","NUP88"
"17339","NUP93"
"17340","NUP98"
"17341","NUPL1"
"17342","NUPL2"
"17343","NUPR1"
"17344","NUPR2"
"17345","NUS1"
"17346","NUSAP1"
"17347","NUTF2"
"17348","NUTM2A"
"17349","NUTM2F"
"17350","NUTM2G"
"17351","NVL"
"17352","NWD1"
"17353","NWD2"
"17354","NXF1"
"17355","NXF2"
"17356","NXF2B"
"17357","NXF3"
"17358","NXF4"
"17359","NXF5"
"17360","NXN"
"17361","NXNL1"
"17362","NXNL2"
"17363","NXPE2"
"17364","NXPE3"
"17365","NXPE4"
"17366","NXPH1"
"17367","NXPH2"
"17368","NXPH3"
"17369","NXPH4"
"17370","NXT1"
"17371","NXT2"
"17372","NY-CO-33"
"17373","NY-CO-8"
"17374","NYAP1"
"17375","NYAP2"
"17376","NYD-SP15"
"17377","NYNRIN"
"17378","NYX"
"17379","OA1"
"17380","OAF"
"17381","OARD1"
"17382","OAS1"
"17383","OAS2"
"17384","OAS3"
"17385","OASL"
"17386","OAT"
"17387","OAT1-4"
"17388","OATP"
"17389","OATP-C"
"17390","OATPRP2"
"17391","OATPRP4"
"17392","OAZ1"
"17393","OAZ2"
"17394","OBFC1"
"17395","OBFC2A"
"17396","OBP2A"
"17397","OBP2B"
"17398","OBPIIa"
"17399","OBPIIb"
"17400","OBSCN"
"17401","OBSL1"
"17402","OBTP"
"17403","OC90"
"17404","OCA2"
"17405","OCEL1"
"17406","OCIA"
"17407","OCIAD1"
"17408","OCIAD2"
"17409","OCLM"
"17410","OCLN"
"17411","OCM"
"17412","OCM2"
"17413","OCR1"
"17414","OCR2"
"17415","OCRL"
"17416","OCSP"
"17417","OCSTAMP"
"17418","OCTS3"
"17419","ODAM"
"17420","ODC1"
"17421","ODF1"
"17422","ODF2"
"17423","ODF2L"
"17424","ODF3"
"17425","ODF3B"
"17426","ODF3L1"
"17427","ODF3L2"
"17428","ODF4"
"17429","ODZ2"
"17430","ODZ4"
"17431","OFD1"
"17432","OG12"
"17433","OGDH"
"17434","OGDHL"
"17435","OGFOD1"
"17436","OGFOD2"
"17437","OGFOD3"
"17438","OGFR"
"17439","OGFRL1"
"17440","OGG1"
"17441","OGL12"
"17442","OGN"
"17443","OGT"
"17444","OIP5"
"17445","OIT3"
"17446","OKL38"
"17447","OLA1"
"17448","OLAH"
"17449","OLFM1"
"17450","OLFM2"
"17451","OLFM3"
"17452","OLFM4"
"17453","olfmf2"
"17454","OLFML1"
"17455","OLFML2A"
"17456","OLFML2B"
"17457","OLFML3"
"17458","OLFR89"
"17459","OLIG1"
"17460","OLIG2"
"17461","OLIG3"
"17462","OLR1"
"17463","OMA1"
"17464","OMD"
"17465","OMG"
"17466","OMI"
"17467","OMP"
"17468","ONECUT1"
"17469","ONECUT2"
"17470","ONECUT3"
"17471","OOEP"
"17472","OOSP2"
"17473","OPA1"
"17474","OPA3"
"17475","OPALIN"
"17476","OPCML"
"17477","OPHN1"
"17478","OPLAH"
"17479","OPN1LW"
"17480","OPN1MW"
"17481","OPN1SW"
"17482","OPN3"
"17483","OPN4"
"17484","OPN5"
"17485","OPRD1"
"17486","OPRK1"
"17487","OPRL1"
"17488","OPRM1"
"17489","OPRPN"
"17490","OPTC"
"17491","OPTN"
"17492","OR10A2"
"17493","OR10A3"
"17494","OR10A4"
"17495","OR10A5"
"17496","OR10A6"
"17497","OR10A7"
"17498","OR10AD1"
"17499","OR10AG1"
"17500","OR10C1"
"17501","OR10G3"
"17502","OR10G4"
"17503","OR10G7"
"17504","OR10G8"
"17505","OR10G9"
"17506","OR10H1"
"17507","OR10H2"
"17508","OR10H3"
"17509","OR10H4"
"17510","OR10H5"
"17511","OR10J1"
"17512","OR10J3"
"17513","OR10J5"
"17514","OR10K1"
"17515","OR10K2"
"17516","OR10P1"
"17517","OR10Q1"
"17518","OR10R2"
"17519","OR10S1"
"17520","OR10T2"
"17521","OR10V1"
"17522","OR10W1"
"17523","OR10X1"
"17524","OR10Z1"
"17525","OR11A1"
"17526","OR11G2"
"17527","OR11H1"
"17528","OR11H12"
"17529","OR11H2"
"17530","OR11H4"
"17531","OR11H6"
"17532","OR11L1"
"17533","OR11N1P"
"17534","OR12D2"
"17535","OR12D3"
"17536","OR13A1"
"17537","OR13C2"
"17538","OR13C3"
"17539","OR13C4"
"17540","OR13C5"
"17541","OR13C6P"
"17542","OR13C8"
"17543","OR13C9"
"17544","OR13D1"
"17545","OR13D3P"
"17546","OR13F1"
"17547","OR13G1"
"17548","OR13H1"
"17549","OR13J1"
"17550","OR14A16"
"17551","OR14C36"
"17552","OR14I1"
"17553","OR14J1"
"17554","OR1A1"
"17555","OR1A2"
"17556","OR1B1"
"17557","OR1C1"
"17558","OR1D2"
"17559","OR1D4"
