"Gene","PRDM1"
"ADA",-0.8264
"ADAD1",0
"ADAD2",0
"ADAL",0
"ADAM10",0
"ADAM11",0
"ADAM12",0
"ADAM15",0
"ADAM17",0
"ADAM18",0
"ADAM19",0
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0
"ADAM23",0
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",-0.1443
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",0
"ADAM9",2.9556
"ADAM9",-0.414
"ADAMDEC1",-0.4931
"ADAMTS1",-0.4478
"ADAMTS1",-0.7452
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0
"ADAMTS14",0
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",0
"ADAMTS3",0.4212
"ADAMTS3",0.2191
"ADAMTS4",0
"ADAMTS5",0
"ADAMTS6",0.1955
"ADAMTS6",-0.2256
"ADAMTS7",0
"ADAMTS8",0
"ADAMTS9",0.0089
"ADAMTS9",-0.4444
"ADAMTSL1",0.1162
"ADAMTSL1",0.2101
"ADAMTSL2",0
"ADAMTSL3",0.2399
"ADAMTSL3",0.1663
"ADAMTSL4",-0.4152
"ADAMTSL4",0.3983
"ADAMTSL4",-0.2027
"ADAMTSL5",0
"ADAP1",0
"ADAP2",0
"ADAR",0
"ADAR3",0
"ADARB1",0.4329
"ADARB1",-0.3464
"ADARB2",0
"ADAT1",0
"ADAT2",0
"ADAT3",0
"ADC",-0.3393
"ADC",-0.081
"ADCK1",-0.5421
"ADCK2",-0.0845
"ADCK2",-0.8449
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",-0.1195
"ADCY3",-0.3553
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",0
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",0.0195
"ADD1",-0.3192
"ADD2",0
