"Gene","ATF5"
"ADAR3",0
"ADARB1",0.7215
"ADARB1",-0.0439
"ADARB2",0
"ADAT1",0
"ADAT2",0
"ADAT3",0
"ADC",-0.2304
"ADC",-0.0168
"ADCK1",0.0459
"ADCK2",0.8243
"ADCK2",-0.1159
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",0.3301
"ADCY3",-0.4243
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",0
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",-0.3189
"ADD1",-0.0362
"ADD2",0
"ADD3",0.008
"ADD3",-0.471
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",0
"ADH6",0
"ADH7",0
"ADHFE1",0
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",0.3518
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",4.0814
"ADNP",0.5883
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",-0.9449
"ADORA2A",-0.2838
"ADORA2B",0
"ADPGK",0
"ADPRH",-0.2084
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",0.1796
"ADRB2",-0.1919
"ADRB3",0
"ADRBK1",-0.2063
"ADRM1",-0.2296
"ADRM1",-0.0929
"ADSL",0
"ADSS",0
"ADSSL1",-0.092
"ADTRP",0
"AEBP1",0.4345
"AEBP1",-0.1574
"AEBP2",-0.5094
"AEBP2",0.1844
"AEGL1",0
"AEN",0
"AES",-0.9591
"AES",0.2892
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",-0.1881
"AFDN",0
"AFF1",0.0868
"AFF1",-0.2965
"AFF1",-0.0382
"AFF2",0
"AFF3",0.0958
"AFF4",-0.2376
"AFF4",0.1426
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
