"Gene","RELB"
"APOBEC3G",0.777212254
"APOC1",3.240156293
"APOC3",-0.308272831
"APOC4",0.070850997
"APOE",-2.589820774
"APOL6",0.2402574
"APP",2.107814121
"APPBP2",-0.224829012
"AQP12A",0.240654029
"AQP2",0.089406087
"AQP3",0.454558214
"AQP6",0.277437701
"AQP9",-0.595784707
"AR",-0.048702312
"AREG",0.029957753
"ARF4",0.060038642
"ARF6",-0.627966356
"ARFGEF1",0.356947779
"ARFGEF2",-0.179123105
"ARHGAP11A",-0.315330995
"ARHGAP12",0.901180962
"ARHGAP18",0.136758093
"ARHGAP21",-0.174280699
"ARHGAP22",5.863517668
"ARHGAP24",-0.056263329
"ARHGAP25",-3.789573967
"ARHGAP5",-0.361549993
"ARHGAP9",-0.085320831
"ARHGDIG",0.207724007
"ARHGEF1",0.035400889
"ARHGEF10",-0.43178667
"ARHGEF11",0.131501172
"ARHGEF12",-0.146505872
"ARHGEF16",-0.71096646
"ARHGEF18",-0.268033906
"ARHGEF19",-1.055632605
"ARHGEF2",-0.449967409
"ARHGEF4",-0.045877074
"ARHGEF5",-3.514840001
"ARID1A",-0.268532854
"ARID1B",0.064545258
"ARID2",-0.126615223
"ARID3A",0.263733399
"ARID3B",0.869196762
"ARID4A",-0.214751347
"ARID4B",-0.373424142
"ARID5A",0.545910294
"ARID5B",-0.360072779
"ARIH1",-0.031272662
"ARL13B",-0.118703378
"ARL15",-0.289301383
"ARL2",-0.560976329
"ARL4A",-0.815375527
"ARL4C",-3.145665002
"ARL6IP4",0.105389327
"ARL6IP5",0.050992402
"ARL8A",-0.076109812
"ARL8B",0.015664406
"ARMC6",-0.613247895
"ARMC8",-0.084268601
"ARMC9",-0.340060534
"ARMCX1",1.846006588
"ARMCX2",-1.980222366
"ARMET",-0.162969928
"ARNT",-0.43558057
"ARNT2",0.439965619
"ARNTL",-0.751825118
"ARNTL2",1.840580861
"ARPM1",0.050920779
"ARRB1",-0.177906566
"ARRB2",-6.405918167
"ARRDC1",-0.039184677
"ARRDC3",-0.120701231
"ARRDC4",-0.834558396
"ARSD",0.046995027
"ARSI",0.168957772
"ART1",-0.201485727
