"Gene","TCF7L2"
"ADAL",0
"ADAM10",0
"ADAM11",0
"ADAM12",0
"ADAM15",0
"ADAM17",0
"ADAM18",0
"ADAM19",0
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0
"ADAM23",0
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",0.1673
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",0
"ADAM9",-4.8091
"ADAM9",0.2452
"ADAMDEC1",-0.0796
"ADAMTS1",-0.4381
"ADAMTS1",-0.4794
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0
"ADAMTS14",0
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",0
"ADAMTS3",0.9695
"ADAMTS3",0.1714
"ADAMTS4",0
"ADAMTS5",0
"ADAMTS6",0.8774
"ADAMTS6",0.1165
"ADAMTS7",0
"ADAMTS8",0
"ADAMTS9",1.0477
"ADAMTS9",0.0464
"ADAMTSL1",1.0291
"ADAMTSL1",0.7433
"ADAMTSL2",0
"ADAMTSL3",0.4426
"ADAMTSL3",-0.0341
"ADAMTSL4",0.5952
"ADAMTSL4",0.6934
"ADAMTSL4",0.3917
"ADAMTSL5",0
"ADAP1",0
"ADAP2",0
"ADAR",0
"ADAR3",0
"ADARB1",0.1732
"ADARB1",0.9436
"ADARB2",0
"ADAT1",0
"ADAT2",0
"ADAT3",0
"ADC",0.1736
"ADC",0.0448
"ADCK1",0.2917
"ADCK2",-0.1081
"ADCK2",-0.218
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",0.4846
"ADCY3",-0.0036
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",0
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",-0.34
"ADD1",0.3305
"ADD2",0
"ADD3",-0.2449
"ADD3",-0.514
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",0
"ADH6",0
"ADH7",0
"ADHFE1",0
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",0.462
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",-4.2874
"ADNP",-0.0542
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",0.1894
"ADORA2A",0.89
"ADORA2B",0
"ADPGK",0
"ADPRH",0.9007
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",1.3982
"ADRB2",0.0013
"ADRB3",0
"ADRBK1",-0.1566
"ADRM1",-0.0012
"ADRM1",-0.0305
"ADSL",0
"ADSS",0
"ADSSL1",0.799
"ADTRP",0
"AEBP1",1.0419
"AEBP1",0.4259
"AEBP2",-0.1834
"AEBP2",0.6435
"AEGL1",0
"AEN",0
"AES",-1.067
"AES",0.0029
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",-0.2056
"AFDN",0
"AFF1",0.2886
"AFF1",0.5422
"AFF1",0.5785
"AFF2",0
"AFF3",0.9621
"AFF4",-0.2647
"AFF4",-0.1588
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",1.0628
"AGFG1",0
"AGFG2",0
"AGGF1",0.0985
"AGGF1",0.3483
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",0.459
"AGPAT3",-0.0028
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",-0.7926
"AGPAT6",-0.7052
"AGPAT9",0
"AGPS",0
