"Gene","FOSB"
"ADAL",0
"ADAM10",0
"ADAM11",0
"ADAM12",0
"ADAM15",0
"ADAM17",0
"ADAM18",0
"ADAM19",0
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0
"ADAM23",0
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",0.2519
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",0
"ADAM9",-5.3831
"ADAM9",0.3271
"ADAMDEC1",0.0872
"ADAMTS1",0.1993
"ADAMTS1",0.2835
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0
"ADAMTS14",0
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",0
"ADAMTS3",0.6171
"ADAMTS3",0.5224
"ADAMTS4",0
"ADAMTS5",0
"ADAMTS6",0.7675
"ADAMTS6",-0.252
"ADAMTS7",0
"ADAMTS8",0
"ADAMTS9",0.844
"ADAMTS9",-0.336
"ADAMTSL1",0.5096
"ADAMTSL1",0.7516
"ADAMTSL2",0
"ADAMTSL3",1.0095
"ADAMTSL3",0.3945
"ADAMTSL4",0.2966
"ADAMTSL4",0.388
"ADAMTSL4",0.177
"ADAMTSL5",0
"ADAP1",0
"ADAP2",0
"ADAR",0
"ADAR3",0
"ADARB1",-0.9104
"ADARB1",0.0108
"ADARB2",0
"ADAT1",0
"ADAT2",0
"ADAT3",0
"ADC",0.1103
"ADC",-0.3121
"ADCK1",0.1901
"ADCK2",0.2425
"ADCK2",-0.0203
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",0.4439
"ADCY3",-0.0837
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",0
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",-0.1006
"ADD1",0.4196
"ADD2",0
"ADD3",0.0811
"ADD3",0.2576
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",0
"ADH6",0
"ADH7",0
"ADHFE1",0
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",-0.0909
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",-4.9246
"ADNP",-0.8014
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",-0.6373
"ADORA2A",0.5205
"ADORA2B",0
"ADPGK",0
"ADPRH",0.9319
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",1.4043
"ADRB2",-0.1291
"ADRB3",0
"ADRBK1",0.0232
"ADRM1",-0.0281
"ADRM1",0.0189
"ADSL",0
"ADSS",0
"ADSSL1",0.6743
"ADTRP",0
"AEBP1",0.8089
"AEBP1",0.0666
"AEBP2",-0.3622
"AEBP2",0.5031
"AEGL1",0
"AEN",0
"AES",0.0904
"AES",0.5255
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",-2.0327
"AFDN",0
"AFF1",0.2211
"AFF1",0.2654
"AFF1",0.6711
"AFF2",0
"AFF3",1.0459
"AFF4",0.1418
"AFF4",-0.0373
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",-0.2964
"AGFG1",0
"AGFG2",0
"AGGF1",0.1093
"AGGF1",0.1538
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",0.4237
"AGPAT3",-1.2525
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",-0.3161
"AGPAT6",-0.1077
"AGPAT9",0
"AGPS",0
