"Gene","SP1"
"A2ML1",-0.349516386
"AACS",0.273417293
"AADACL1",1.086393897
"AADAT",-0.730237295
"AARS",-2.434086572
"AASDH",0.101234162
"AASS",0.133083857
"AATF",0.190259688
"AATK",0.321154833
"ABAT",-4.277658498
"ABCA1",0.166449473
"ABCA12",1.372345609
"ABCA2",0.315553571
"ABCA5",0.043446919
"ABCC4",-0.181915119
"ABCG1",1.310397695
"ABCG4",0.431375838
"ABHD1",0.042243384
"ABHD10",-0.181069191
"ABHD11",0.200481554
"ABHD3",-0.256850557
"ABHD6",1.875182329
"ABHD7",-0.197997565
"ABHD9",-0.260857016
"ABI1",-1.170001095
"ABI2",-0.352203009
"ABI3",0.016265501
"ABL1",-0.048685391
"ABL2",-0.031863155
"ABLIM1",-0.359578782
"ABLIM2",0.755076897
"ABLIM3",1.022263947
"ABO",0.180189087
"ABR",0.967647507
"ABRA",0.751685294
"ABT1",-0.311402354
"ACAA1",-0.28403222
"ACAA2",0.059728329
"ACAD8",-0.052546582
"ACBD3",-0.152714667
"ACBD5",-0.369540722
"ACBD6",-0.002722114
"ACBD7",1.036914558
"ACE",-0.167452913
"ACE2",0.581780398
"ACN9",0.408075047
"ACO1",0.134846392
"ACOT8",-0.75283078
"ACOT9",1.949887278
"ACOX1",-0.786638372
"ACP1",0.500110604
"ACP2",-0.229781924
"ACPP",0.493657229
"ACRV1",0.91242105
"ACSL1",-0.252663805
"ACSL3",0.886900972
"ACSL6",0.260433112
"ACSS2",-1.165164057
"ACTA1",0.115315628
"ACTA2",0.07733381
"ACTG2",-0.17202618
"ACTL6A",0.076458788
"ACTL6B",1.136586877
"ACTL7B",-0.207104583
"ACTR3",0.173598423
"ACTR3B",-0.55467272
"ACTR5",0.143594821
"ACTR8",0.610422892
"ACVR1",-1.113135119
"ACVR1B",0.040085166
"ACVR2B",0.195125164
"ACVRL1",0.237205567
"ADA",0.258670901
"ADAM33",0.340120944
"ADAM9",2.791757344
"ADAMDEC1",0.121935206
"ADAMTS1",0.219403749
"ADAMTS3",0.178348419
"ADAMTS6",0.293824656
"ADAMTS9",0.603777789
"ADAMTSL1",0.257823416
"ADAMTSL3",0.383482099
"ADAMTSL4",0.118467852
"ADARB1",-0.156816862
"ADC",0.287697545
"ADCK1",0.08964694
"ADCK2",0.56685876
"ADCY2",0.017003397
"ADCY3",-0.003820913
"ADD1",0.096444546
"ADD3",1.412930305
"ADM",-0.564581169
"ADNP",-4.977689123
"ADORA2A",0.226829285
"ADPRH",0.645956007
"ADRB1",0.930547125
"ADRB2",-0.341188515
"ADRBK1",0.018209987
"ADRM1",0.671177263
"ADSSL1",0.162872643
"AEBP1",-0.10886781
"AEBP2",0.211936047
"AES",-0.12345131
"AFAR3",-0.032024059
"AFF1",0.079974827
"AFF3",0.916779024
"AFF4",-0.076477959
"AGER",0.392045824
"AGGF1",0.105592875
"AGPAT3",-0.025480929
"AGPAT6",-0.389490108
"AGR2",-0.340643991
"AGRIN",3.122643691
"AGRP",1.548118082
"AGT",0.133022289
"AGTR1",-0.085960817
"AGXT2L2",0.206582515
"AHCTF1",0.209677176
"AHCY",-0.04419246
"AHCYL1",0.387906481
"AHDC1",0.987107321
"AHR",-1.151994415
"AHRR",0.303210014
"AIFM3",0.244682307
"AIG1",0.045081832
"AIM1",-0.497655759
"AIM1L",-0.556938294
"AIP",0.994304963
"AIRE",-0.115129543
"AJAP1",-0.784145942
"AK2",2.895911093
"AK3",-0.169731188
"AK5",0.680649119
"AKAP12",0.372382511
"AKAP13",0.524418186
"AKAP7",-0.072641654
