"Gene","OVOL2"
"ADA",-0.5166
"ADAD1",0
"ADAD2",0
"ADAL",0
"ADAM10",0
"ADAM11",0
"ADAM12",0
"ADAM15",0
"ADAM17",0
"ADAM18",0
"ADAM19",0
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0
"ADAM23",0
"ADAM28",0
"ADAM29",0
"ADAM30",0
"ADAM32",0
"ADAM33",-0.6082
"ADAM3A",0
"ADAM5",0
"ADAM7",0
"ADAM8",0
"ADAM9",4.5788
"ADAM9",-0.4469
"ADAMDEC1",-0.5608
"ADAMTS1",-0.0662
"ADAMTS1",-0.3987
"ADAMTS10",0
"ADAMTS12",0
"ADAMTS13",0
"ADAMTS14",0
"ADAMTS15",0
"ADAMTS16",0
"ADAMTS17",0
"ADAMTS18",0
"ADAMTS19",0
"ADAMTS2",0
"ADAMTS3",0.1631
"ADAMTS3",-0.0573
"ADAMTS4",0
"ADAMTS5",0
"ADAMTS6",0.0557
"ADAMTS6",-0.319
"ADAMTS7",0
"ADAMTS8",0
"ADAMTS9",-0.0205
"ADAMTS9",-0.1531
"ADAMTSL1",-0.2301
"ADAMTSL1",-0.4077
"ADAMTSL2",0
"ADAMTSL3",0.1929
"ADAMTSL3",0.0145
"ADAMTSL4",0.4443
"ADAMTSL4",-0.0278
"ADAMTSL4",0.0872
"ADAMTSL5",0
"ADAP1",0
"ADAP2",0
"ADAR",0
"ADAR3",0
"ADARB1",-0.4296
"ADARB1",-0.1017
"ADARB2",0
"ADAT1",0
"ADAT2",0
"ADAT3",0
"ADC",-0.7969
"ADC",-0.65
"ADCK1",-0.1421
"ADCK2",0.1822
"ADCK2",-0.4317
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",-0.3391
"ADCY3",-0.092
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",0
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",-0.417
"ADD1",-0.5272
"ADD2",0
"ADD3",0.2953
"ADD3",-0.7155
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",0
"ADH6",0
"ADH7",0
"ADHFE1",0
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",-0.5001
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",0.797
"ADNP",-1.8177
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",-1.2675
"ADORA2A",-0.2127
"ADORA2B",0
"ADPGK",0
"ADPRH",-0.2714
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",0.2746
"ADRB2",-0.5971
"ADRB3",0
"ADRBK1",-0.1831
"ADRM1",0.4089
"ADRM1",0.2484
"ADSL",0
"ADSS",0
"ADSSL1",0.3293
"ADTRP",0
"AEBP1",0.2027
"AEBP1",-0.5752
"AEBP2",-0.0882
"AEBP2",-0.4959
"AEGL1",0
"AEN",0
"AES",-1.1484
"AES",0.3901
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",-0.0292
"AFDN",0
"AFF1",-0.0011
"AFF1",-0.1282
"AFF1",-0.1216
"AFF2",0
"AFF3",-0.2667
"AFF4",4e-04
"AFF4",1.0351
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",-0.7214
"AGFG1",0
"AGFG2",0
"AGGF1",0.8948
"AGGF1",0.7943
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",-0.0423
"AGPAT3",1.7459
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",-1.2659
"AGPAT6",-0.5837
"AGPAT9",0
"AGPS",0
"AGR2",-2.4864
"AGR3",0
"AGRIN",-1.9963
"AGRIN",0.462
"AGRN",0
"AGRP",-0.3476
"AGS1",0
"AGT",0.2344
"AGTPBP1",0
"AGTR1",0.1269
"AGTR1B",0
"AGTR2",0
"AGTRAP",0
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",-0.286
"AHCTF1",-0.275
"AHCTF1",-1.1027
"AHCY",-0.1126
"AHCY",-1.3143
"AHCYL1",0.3609
"AHCYL2",0
"AHDC1",-0.5987
"AHDC1",-0.1692
"AHI1",0
"AH0.0K",0
"AH0.0K2",0
"AHR",-3.1512
"AHRR",0.1047
"AHSA1",0
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0
"AIDA",0
"aie-75",0
"AIF1",0
"AIF1L",0
"AIFM1",0
"AIFM2",0
"AIFM3",-0.1471
"AIG1",1.5414
"aik2",0
"aik3",0
"AIM1",4.2582
"AIM1L",-0.2653
"AIM2",0
"AIMP1",0
"AIMP2",0
"AIP",1.2526
"AIP",3.7066
"AIP-1",0
"AIPC",0
"AIPL1",0
"AIRE",0.1256
"AIRE",-0.1445
"airm",0
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",0.5017
"AJUBA",0
"AK000085",0
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",0
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",0
"AK021554",0
"AK021570",0
"AK021595",0
"AK021606",0
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",0
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",0
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",0
"AK022268",0
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",0
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",0
"AK023048",0
"AK023086",0
"AK023391",0
"AK023400",0
"AK023412",0
"AK023472",0
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",0
"AK023774",0
"AK023831",0
"AK023892",0
"AK023954",0
"AK024147",0
"AK024243",0
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",0
"AK024900",0
"AK024926",0
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
"AK025669",0
"AK025887",0
"AK026020",0
"AK026418",0
"AK026477",0
"AK026517",0
"AK026896",0
"AK026903",0
"AK027091",0
"AK027173",0
"AK027209",0
"AK027315",0
"AK027541",0
"AK027667",0
"AK054718",0
"AK054840",0
"AK054895",0
"AK055438",0
"AK055501",0
"AK055821",0
"AK056630",0
"AK056744",0
"AK057088",0
"AK057576",0
"AK057652",0
"AK074144",0
"AK074181",0
"AK074696",0
"AK090397",0
"AK090405",0
"AK090407",0
"AK090463",0
"AK090477",0
"AK090897",0
"AK091057",0
"AK091308",0
"AK091744",0
"AK092349",0
"AK092379",0
"AK092468",0
"AK092668",0
"AK092810",0
"AK093416",0
"AK093532",0
"AK093987",0
"AK094154",0
"AK094175",0
"AK094334",0
"AK094447",0
"AK094623",0
"AK095167",0
"AK095300",0
"AK095583",0
"AK095707",0
"AK095791",0
"AK096241",0
"AK096250",0
"AK096500",0
"AK096674",0
"AK096677",0
"AK097085",0
"AK097197",0
"AK097322",0
"AK097472",0
"AK098081",0
"AK098134",0
"AK098220",0
"AK098427",0
"AK098478",0
"AK098511",0
"AK098597",0
"AK1",0
"AK123483",0
"AK123627",0
"AK123765",0
"AK123861",0
"AK124166",0
"AK124173",0
"AK124263",0
"AK124281",0
"AK124352",0
"AK124426",0
"AK124470",0
"AK124841",0
"AK124941",0
"AK125129",0
"AK126329",0
"AK128103",0
"AK128396",0
"AK128559",0
"AK128814",0
"AK129547",0
"AK129956",0
"AK130099",0
"AK130644",0
"AK130891",0
"AK2",0.4241
"AK2",-1.0827
"AK3",0.0492
"AK304575",0
"AK3L1",0
"AK4",0
"AK5",-0.1046
"AK5",0.1772
"AK6",0
"AK7",0
"AK8",0
"AK9",0
"AKAIN1",0
"AKAP1",0
"AKAP10",0
"AKAP11",0
"AKAP12",-0.4207
"AKAP13",-0.0836
"AKAP13",-3.256
"AKAP14",0
"AKAP17A",0
"AKAP2",0
"AKAP3",0
"AKAP4",0
"AKAP5",0
"AKAP6",0
"AKAP7",-0.4566
"AKAP8",0
"AKAP8L",-0.0633
"AKAP9",-0.5636
"AKAP9",0.0972
"AKD1",0
"AKIP1",0
"AKIRIN1",0
"AKIRIN2",0
"AK0.0",-0.4136
"AK0.0D1",0
"AKR1A1",0.3952
"AKR1B1",0
"AKR1B10",0
"AKR1B15",0
"AKR1C1",-0.3562
"AKR1C1",0.1841
"AKR1C1",0.1406
"AKR1C2",0
"AKR1C3",-1.1758
"AKR1C4",0
"AKR1D1",0
"AKR1E2",0
"AKR7A2",0
"AKR7A3",0
"AKT1",0
"AKT1S1",0
"AKT2",0
"AKT3",-0.1502
"AKT3",-0.0418
"AKTIP",0
"AL049390",0
"AL050122",0
"AL050185",0
"AL079294",0
"AL080082",0
"AL080232",0
"AL109784",0
"AL134462",0
"AL137318",0
"AL137400",0
"AL359650",0
"AL390143",0
"AL390214",0
"AL832142",0
"AL832146",0
"AL832806",0
"AL832820",0
"AL833114",0
"AL833452",0
"AL833696",0
"AL834280",0
"ALAD",0
"ALAS1",0
"ALAS2",0
"ALB",0
"ALCAM",0
"ALDH1",0
"ALDH12",0
"ALDH16A1",0
"ALDH18A1",0
"ALDH1A1",0
"ALDH1A2",0
"ALDH1A3",0.1946
"ALDH1A3",0.3164
"ALDH1B1",-1.0052
"ALDH1B1",-0.7749
"ALDH1L1",0
"ALDH1L2",-0.3122
"ALDH2",0
"ALDH3A1",-0.4237
"ALDH3A2",-1.1104
"ALDH3B1",0
"ALDH3B2",0.075
"ALDH4A1",-0.81
"ALDH4A1",-1.9436
"ALDH5",0
"ALDH5A1",0
"ALDH6A1",-0.1778
"ALDH7A1",-0.5603
"ALDH8A1",0
"ALDH9A1",-1.8909
"ALDOA",0
"ALDOAP2",0
"ALDOB",0
"ALDOC",0
"ALEX3",0
"ALG1",0
"ALG10",0
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",1.1791
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",1.3045
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",-1.5097
"ALG9",-1.406
"ALK",0.2191
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",-0.4595
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",0.3907
"ALMS1",-0.4676
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",0.213
"ALOX5",0
"ALOX5AP",-0.2339
"ALOX5AP",-0.0779
"ALOXE3",-0.113
"alpha-CP1",0
"ALPI",-0.0735
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",-0.2624
"ALS2CR13",0.1581
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.4125
"ALS2CR8",0.186
"ALX1",0
"ALX3",-0.413
"ALX4",0
"ALYREF",0
"AMAC1L2",-0.1265
"AMACR",-0.428
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
