"Gene","CREB5"
"ADORA2A",0.4055
"ADORA2B",0
"ADPGK",0
"ADPRH",0.6918
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",1.1887
"ADRB2",0.2107
"ADRB3",0
"ADRBK1",0.1741
"ADRM1",-0.3969
"ADRM1",-0.1619
"ADSL",0
"ADSS",0
"ADSSL1",0.715
"ADTRP",0
"AEBP1",0.9629
"AEBP1",0.2377
"AEBP2",-0.6074
"AEBP2",1.3516
"AEGL1",0
"AEN",0
"AES",-1.26
"AES",0.4341
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",-0.3091
"AFDN",0
"AFF1",0.0865
"AFF1",0.037
"AFF1",0.4265
"AFF2",0
"AFF3",0.7912
"AFF4",-0.1427
"AFF4",-0.0437
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",0.0297
"AGFG1",0
"AGFG2",0
"AGGF1",0.0528
"AGGF1",0.1208
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",0.1954
"AGPAT3",2.711
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",0.2977
"AGPAT6",0.1232
"AGPAT9",0
"AGPS",0
"AGR2",-0.3925
"AGR3",0
"AGRIN",-2.4974
"AGRIN",0.6997
"AGRN",0
"AGRP",1.5471
"AGS1",0
"AGT",0.3853
"AGTPBP1",0
"AGTR1",0.066
"AGTR1B",0
"AGTR2",0
"AGTRAP",0
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",0.056
"AHCTF1",-0.1058
"AHCTF1",-0.8858
"AHCY",-0.0788
"AHCY",-0.1814
"AHCYL1",0.3992
"AHCYL2",0
"AHDC1",-0.7513
"AHDC1",0.0503
"AHI1",0
"AH0.0K",0
"AH0.0K2",0
"AHR",-3.2004
"AHRR",0.0973
"AHSA1",0
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0
"AIDA",0
"aie-75",0
"AIF1",0
"AIF1L",0
"AIFM1",0
"AIFM2",0
"AIFM3",0.2634
"AIG1",-0.2099
"aik2",0
"aik3",0
"AIM1",-0.3487
"AIM1L",0.0619
"AIM2",0
"AIMP1",0
"AIMP2",0
"AIP",-0.5239
"AIP",-0.6125
"AIP-1",0
"AIPC",0
"AIPL1",0
